feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24001	-1.52531796838412	-0.630533405278228	-8.51348555500567	-10.5560569387573	-10.3466035731284	-12.2583763901166	-12.4971632497037	-8.89546673322278	-16.1410194394785	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24002	-1.19424290822888	-0.845743508878849	-7.92902813033107	-10.8222482573129	-10.6943734347608	-12.5948377612098	-12.5244484333184	-10.0382039835472	-15.6943734347608	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24003	-1.09091562078569	-0.927513860412535	-9.47911321848338	-10.7957209814375	-10.5445362934814	-12.0569862944182	-12.4440094175275	-9.19900529929065	-15.337094213611	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24004	-2.21379185320361	-0.364558186925306	-8.05443971336782	-10.1539753869187	-10.2832584038637	-12.4554393792464	-12.3957331331221	-9.03343385524752	-16.2832584038637	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24005	-2.37386753779655	-0.319324494842472	-9.88803453041848	-10.2552011800782	-10.1746236642312	-11.9056644244403	-12.0550420484785	-8.730493253432	-15.0290468399456	-16.8364017620032	-19.138473471621	-19.6277950947162
HEB24006	-1.54546735584497	-0.612911323551662	-10.0190998884073	-10.8181128306742	-10.6648164202076	-12.2791627277098	-12.1271596342648	-10.0529586924234	-15.0340502298733	-16.6190127305945	-19.138473471621	-19.6277950947162
HEB24011	-1.29252896857069	-0.763224967509181	-10.4661530265628	-11.3905185887259	-11.0288105918532	-12.4702457811967	-12.2292376816929	-10.6304693814467	-17.3447148991128	-16.929677399834	-19.138473471621	-19.6277950947162
HEB24013	-8.00481952899373	-0.441795248921581	-10.3636551844135	-2.96431877930125	-4.86113548625552	-3.71551413608851	-5.79435392576891	-12.4844073438742	-16.4616872673741	-8.84421980207987	-13.4616872673741	-19.6277950947162
HEB24016	-2.66451306549323	-0.257731652222241	-9.77140258894648	-10.4490143776333	-10.3842441222431	-12.3088367195851	-11.8063363790559	-8.49957473176279	-16.0637242217485	-16.4787617210274	-19.138473471621	-19.6277950947162
HEB24019	-8.30444357142985	-1.46562102050862	-11.219690719394	-4.22470357963479	-1.84721396239031	-1.8655556713618	-5.23293990885917	-16.132580055624	-16.3252251335664	-9.16535379678797	-13.4887238658492	-14.003297038679
HEB24023	-4.73236788242778	-0.0624374345027692	-9.59712007701552	-9.75168465050555	-10.0424866750255	-12.2053012873046	-11.7775527362762	-10.3078038266534	-14.8555552482775	-16.2181253276622	-18.0254802497198	-19.6277950947162
HEB24024	-7.69505338491115	-0.51800591746985	-10.6397225627563	-2.83952859746482	-4.95245823336299	-3.52748579761684	-4.93894659125378	-15.503544436473	-16.421082276281	-7.95937547180568	-10.4514559253245	-13.0060447770022
HEB24025	-1.50382132651694	-0.638468716532148	-8.46317614568709	-11.218958897672	-10.7140899881641	-12.417372456074	-12.0589184851615	-10.4836061544741	-15.3808465800489	-19.349136499311	-19.138473471621	-19.6277950947162
