feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.__.__.__.__	Antibiotics	Non_ABX	-7.58293250681719	0.517019591180597	66	37	5.50551670729556e-22	1.7287322460908e-19
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	Antibiotics	Non_ABX	-5.60318639173302	0.42340338948034	66	66	7.48965965077092e-20	1.17587656517103e-17
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__	Antibiotics	Non_ABX	-5.14065869630604	0.392688539973079	66	66	1.23957963889991e-19	1.29742668871524e-17
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__helveticus	Antibiotics	Non_ABX	-5.63581893831688	0.438857366690416	66	66	3.00263890885997e-19	2.35707154345507e-17
k__Bacteria.__.__.__.__.__.__	Antibiotics	Non_ABX	-5.59199491330451	0.452897853804503	66	66	1.78493922488072e-18	7.00588645765683e-17
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__	Antibiotics	Non_ABX	-7.12929612434381	0.573408530880716	66	66	1.30635839740344e-18	7.00588645765683e-17
Unassigned.__.__.__.__.__.__	Antibiotics	Non_ABX	-7.27897250498807	0.588293943158107	66	51	1.62485256687218e-18	7.00588645765683e-17
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__thermopalmarium	Antibiotics	Non_ABX	-6.17185569334399	0.49680974213127	66	34	1.35559358226565e-18	7.00588645765683e-17
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__.__.__	Antibiotics	Non_ABX	-7.64229794533295	0.623802332975128	66	46	2.53123150558141e-18	8.83118547502847e-17
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.g__.s__	Antibiotics	Non_ABX	-4.58518697218246	0.383177146959318	66	27	7.18753590346931e-18	2.25688627368936e-16
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala.s__biternata	Antibiotics	Non_ABX	-6.74048327261284	0.573138345026948	66	66	1.5357456549507e-17	4.38385577867747e-16
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__.s__	Antibiotics	Non_ABX	-4.52436738679939	0.395649811435815	66	30	5.16155401885526e-17	1.35060663493379e-15
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__.s__	Antibiotics	Non_ABX	-6.29407750585056	0.557000965000132	66	63	8.5780699795826e-17	2.03795413941902e-15
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__.__.__	Antibiotics	Non_ABX	-5.77922457145317	0.512132075267081	66	29	9.08641972989371e-17	2.03795413941902e-15
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__.__.__	Antibiotics	Non_ABX	-7.53908527369834	0.66927129396633	66	35	9.79760330649534e-17	2.05096495882636e-15
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria.s__	Antibiotics	Non_ABX	-6.66812352966127	0.600367524831009	66	33	1.77800893357389e-16	3.48934253213875e-15
