feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Tenericutes.c__Mollicutes	TimePoint	Intervention	1.34657420181847	0.302341356808181	24	24	0.000348552971475396	0.00592540051508174
k__Bacteria.p__Firmicutes.c__Bacilli	TimePoint	Intervention	0.597289953379092	0.308209906430821	24	24	0.0694236278309939	0.590100836563448
k__Bacteria.p__Bacteroidetes.c__Bacteroidia	TimePoint	Intervention	0.404214582708585	0.328004425154352	24	24	0.343034099855894	0.833082813935743
k__Bacteria.p__Firmicutes.c__Clostridia	TimePoint	Intervention	-0.459145049492772	0.324753316795347	24	24	0.175464213123951	0.833082813935743
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	TimePoint	Intervention	-0.152046896309366	0.106063593650919	24	24	0.288109934076301	0.833082813935743
k__Bacteria.p__Actinobacteria.c__Actinobacteria	TimePoint	Intervention	-0.302634639090069	0.223284664812687	24	24	0.308071257420978	0.833082813935743
k__Bacteria.p__Actinobacteria.c__Coriobacteriia	TimePoint	Intervention	-0.293505954603227	0.284799760721085	24	24	0.317182886216377	0.833082813935743
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	TimePoint	Intervention	0.12942503914102	0.616756769692858	24	24	0.853222311178804	0.968213102851682
k__Bacteria.__.__	TimePoint	Intervention	-0.040969216371861	0.211503365093428	24	24	0.864297060378099	0.968213102851682
k__Bacteria.p__Cyanobacteria.c__Chloroplast	TimePoint	Intervention	0.00457595949582147	0.101746808879995	24	24	0.968213102851682	0.968213102851682
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	TimePoint	Intervention	0.0408294235239168	0.165925615712638	24	24	0.808574000782762	0.968213102851682
k__Bacteria.p__Firmicutes.c__Erysipelotrichi	TimePoint	Intervention	0.0282115499030717	0.397961437124542	24	24	0.944312462855179	0.968213102851682
k__Bacteria.p__Firmicutes.__	TimePoint	Intervention	0.0952792137026834	0.206169814447059	24	24	0.649840850233713	0.968213102851682
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	TimePoint	Intervention	0.128099645384452	0.255700922798813	24	23	0.622813510584642	0.968213102851682
k__Bacteria.p__Deferribacteres.c__Deferribacteres	TimePoint	Intervention	-0.0822947898738751	0.219433597803785	24	24	0.711227300417057	0.968213102851682
Unassigned.__.__	TimePoint	Intervention	-0.570987661110813	0.820371774331955	24	14	0.558427007763854	0.968213102851682
k__Bacteria.p__Bacteroidetes.__	TimePoint	Intervention	-0.362362653526467	0.941307332513167	24	13	0.737350594334877	0.968213102851682
