feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia
HEB24001	-1.52531796838412	-1.4669927287633	-8.51348555500567	-10.5560569387573	-1.82034226942206	-10.8648950342042	-12.2583763901166	-12.2583763901166	-9.96609375697778	-12.8556172206162	-8.89546673322278	-14.3336645174209	-15.1410194394785	-16.1410194394785	-19.349136499311	-19.1945077541429	-14.6815878208412
HEB24002	-1.19424290822888	-1.18729557813282	-7.92902813033107	-10.8222482573129	-3.10438796733031	-11.1266889254714	-12.5948377612098	-12.8012886386773	-10.0219480927893	-13.179800261931	-10.0382039835472	-13.9781664007613	-15.9167658560972	-15.6943734347608	-19.349136499311	-19.1945077541429	-13.9781664007613
HEB24003	-1.09091562078569	-2.87557822436001	-9.47911321848338	-10.7957209814375	-1.36328155519293	-10.9252806152064	-12.0569862944182	-13.1444491356686	-10.3052453475716	-13.3895616335051	-9.19900529929065	-15.8225210407812	-14.4440094175275	-15.337094213611	-19.349136499311	-19.1945077541429	-13.5005929458938
HEB24004	-2.21379185320361	-0.873370300973316	-8.05443971336782	-10.1539753869187	-2.1399549166038	-10.7103687354431	-12.4554393792464	-12.3763678082552	-8.00341571034335	-12.9904766546359	-9.03343385524752	-14.2128690759723	-15.7978315766935	-16.2832584038637	-19.349136499311	-19.1945077541429	-13.9613303089763
HEB24005	-2.37396339474757	-1.79103669482014	-9.88803453041848	-10.2552011800782	-0.968797236291099	-10.6815836529511	-11.9056644244403	-12.1499012348199	-9.36269601238374	-12.2665461536722	-8.730493253432	-15.0290468399456	-14.7489389207528	-15.0290468399456	-16.8364017620032	-16.251439261282	-14.9295111663946
HEB24006	-1.54546735584497	-1.93675877125485	-10.0190998884073	-10.8181128306742	-1.35329697145555	-10.9116535985136	-12.2791627277098	-13.3336105117322	-9.67064549900978	-12.8910922760313	-10.0529586924234	-14.2970846357071	-17.2731422217224	-15.0340502298733	-16.6190127305945	-19.1945077541429	-13.4095593649655
HEB24023	-4.73236247531894	-2.41581994129589	-9.59711466990669	-9.75167924339672	-0.383345566284101	-10.4181445288614	-12.2052958801958	-12.3530495006395	-8.14512603445495	-12.2052958801958	-10.3077984195446	-14.025474842611	-15.2181199205534	-14.8555498411687	-16.2181199205534	-19.1945077541429	-13.7400726237487
HEB24025	-1.50386927235431	-1.02190011288241	-8.46317614568709	-11.218958897672	-2.74687507782771	-11.1103176376681	-12.417372456074	-12.9214149614116	-10.0807228554798	-12.3629246720516	-10.4836061544741	-15.0023349567951	-16.1178121742151	-15.3808465800489	-19.349136499311	-16.3808465800489	-14.4548471614926
HEB24037	-1.56654038742851	-2.21368221077634	-10.0040707703346	-10.4034266473811	-1.17682569215411	-10.8420509669776	-12.1403922415474	-13.179920605734	-9.78760318295523	-12.8687189174397	-11.1666237831205	-14.9348081078975	-15.7648831064551	-15.2343683897564	-16.6128800130101	-15.9348081078975	-13.4753764892602
HEB24044	-1.27197976242523	-2.11223601539334	-10.0979073192448	-10.5883658335027	-1.51301022264645	-10.8783081128001	-12.4254272623765	-12.2917488271446	-10.0730088002675	-12.3437434647828	-11.0895599765313	-14.8640002761162	-15.5269652888386	-15.9420027881174	-17.1119277895598	-15.5269652888386	-13.468071599785
