feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	TimePoint	Intervention	1.34657083058532	0.302342712378118	24	24	0.000348576205928973	0.0216117247675963
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	TimePoint	Intervention	-0.41590207434944	0.12062231477149	24	24	0.00229282810681629	0.071077671311305
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	TimePoint	Intervention	-0.869439936545449	0.357685645846636	24	24	0.0236743444241235	0.440702842830426
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	TimePoint	Intervention	-0.850881238637435	0.36278746669145	24	19	0.0284324414729307	0.440702842830426
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiaceae	TimePoint	Intervention	-0.421911127133159	0.201736995687338	24	3	0.0482549482341695	0.598361358103702
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	TimePoint	Intervention	0.409998979263453	0.329495625696392	24	24	0.339427665439256	0.85649393999928
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	TimePoint	Intervention	-0.142707687755373	0.10599789791599	24	24	0.195875980405871	0.85649393999928
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	TimePoint	Intervention	-0.137894317754337	0.101074087376367	24	24	0.190266503816772	0.85649393999928
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	TimePoint	Intervention	-0.560245660630072	0.440318739351377	24	24	0.331159674260101	0.85649393999928
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	TimePoint	Intervention	-0.203409693147352	0.132315999287411	24	24	0.14262299335378	0.85649393999928
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	TimePoint	Intervention	-0.804325475917166	0.453660141328869	24	24	0.0941502916221995	0.85649393999928
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	TimePoint	Intervention	-0.15200980247159	0.128766064828533	24	24	0.359174878064214	0.85649393999928
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	TimePoint	Intervention	-0.0757273213650176	0.0774367773392484	24	24	0.341823992876007	0.85649393999928
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	TimePoint	Intervention	-0.142648000770363	0.142364013288583	24	24	0.327240367764186	0.85649393999928
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	TimePoint	Intervention	1.11513044699297	0.590312405315023	24	24	0.199476800095606	0.85649393999928
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	TimePoint	Intervention	-0.308516867272303	0.203157411787737	24	24	0.268186621974819	0.85649393999928
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	TimePoint	Intervention	-0.494718038586926	0.330964909657548	24	22	0.149179806108752	0.85649393999928
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	TimePoint	Intervention	-0.428470459344952	0.450652867820593	24	21	0.355040239002756	0.85649393999928
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	TimePoint	Intervention	0.484143016070328	0.455704150874533	24	9	0.302911202411564	0.85649393999928
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	TimePoint	Intervention	-0.666559536485794	0.429002579812122	24	7	0.13451449027752	0.85649393999928
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	TimePoint	Intervention	-0.723396505813023	0.574934488375395	24	24	0.335299885396946	0.85649393999928
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	TimePoint	Intervention	0.674953847560752	0.243507606958561	24	24	0.109242181735164	0.85649393999928
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	TimePoint	Intervention	-0.617122348019732	0.457428220464605	24	9	0.309745222730646	0.85649393999928
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	TimePoint	Intervention	-0.293509325836346	0.284800039163217	24	24	0.317177951064901	0.85649393999928
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	TimePoint	Intervention	0.655596480984147	0.50444339269731	24	11	0.207177203226761	0.85649393999928
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	TimePoint	Intervention	-0.717293674573878	0.518852199715155	24	8	0.300966192530424	0.85649393999928
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	TimePoint	Intervention	0.719544343822171	0.660214621761043	24	24	0.389582943904495	0.862647947217095
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	TimePoint	Intervention	0.537045225050343	0.60618240738128	24	12	0.38522819958109	0.862647947217095
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	TimePoint	Intervention	0.814923761863366	0.830886793924863	24	24	0.430115782955869	0.907869042438522
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.	TimePoint	Intervention	0.227315376244175	0.237363496719851	24	3	0.439291472147672	0.907869042438522
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	TimePoint	Intervention	0.236029296566233	0.262639153885789	24	3	0.463664627143623	0.927329254287247
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	TimePoint	Intervention	0.113864419109186	0.280727637827866	24	24	0.724309022708104	0.971611857683906
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	TimePoint	Intervention	-0.341666879400984	0.473356125716446	24	24	0.545399897798483	0.971611857683906
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	TimePoint	Intervention	-0.0258336773934755	0.0821276952286726	24	24	0.756927280629122	0.971611857683906
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	TimePoint	Intervention	-0.959746840162716	1.27705763020287	24	21	0.530733167995378	0.971611857683906
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	TimePoint	Intervention	0.0429186581849182	0.143630312217299	24	24	0.767886790750184	0.971611857683906
k__Bacteria.p__Firmicutes.__.__.__	TimePoint	Intervention	0.0952758424695491	0.206170623447564	24	24	0.649853652661812	0.971611857683906
