feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Firmicutes.c__Bacilli.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Thermicanaceae.	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24001	0.346320166607856	0.255796334350416	0.00512000885623154	0.00164324608561485	0.00190616545931323	0.0961904366537283	0.00273643716572915	0.00066421736513274	0.0530681999017512	0.0291494558260858	0.0010655153565671	0.119943126388111	0.000460108903972158	0.000204108461160581	0.000172973272169984	0.000719568812227135	0.000999785513142509	0.0344874110052515	0.0247386373857512	0.000249081511924777	0.000100324497858591	0.000408216922321163	0.020348575738077	6.5729843424594e-05	6.91893088679937e-05	4.84325162075956e-05	0.00209989552414361	7.61082397547931e-05	0	3.11351889905972e-05	4.84325162075956e-05	2.76757235471975e-05	1.38378617735987e-05	1.38378617735987e-05	1.03783963301991e-05	0	0	0	0	0	1.38378617735987e-05	0	0.000179892203056784	0.000764541862991331	0	0	0	0	0	3.80541198773965e-05	0	0	0	0	0	0	0	6.91893088679937e-06	0	0	0	0
HEB24002	0.436220943390126	0.00856206825945923	0.00315217742717662	0.0010480316403177	0.00171349131938832	0.424132208248467	0.00410321899281196	0.000552304591941202	0.0123096569784359	0.0156019311801537	0.000490338710894141	0.045905941180908	0.000398736973694136	0.000161650124470596	9.96842434235341e-05	0.000490338710894141	0.000961818240600045	0.0219574752405893	0.0151708641815654	0.000188591811882362	0.000115849255870594	0.000140096774541183	0.00449387346028256	5.65775435647085e-05	4.84950373411788e-05	0	0.000951041565635339	7.54367247529447e-05	2.15533499294128e-05	4.0412531117649e-05	6.19658810470617e-05	1.61650124470596e-05	1.88591811882362e-05	0	1.61650124470596e-05	1.61650124470596e-05	0	0	0	0	8.08250622352979e-06	0	7.81308934941213e-05	0.00053883374823532	1.88591811882362e-05	0	0	0	0	6.19658810470617e-05	0	0	0	0	0	0	0	0	0	0	0	0
HEB24003	0.468531275453152	0.0104297527506661	0.0041139196819305	0.00127006916354902	0.00180846804809697	0.118092273285752	0.00140121760978505	0.000562557808854591	0.0670444662258238	0.0387509145878488	0.000545301434349849	0.154410039068432	0.000486629761033726	0.000234686693264492	8.97331474246587e-05	0.000548752709250797	0.000790341952317186	0.0570116100887668	0.055054737219929	0.00028300454187777	0.000103538247028452	0.00149440203211066	0.0138050996037936	8.62818725237103e-05	2.76101992075873e-05	0	0.00170147852616757	4.48665737123293e-05	0	2.07076494056905e-05	1.72563745047421e-05	4.48665737123293e-05	2.41589243066389e-05	0	0	0	0	0	0	3.10614741085357e-05	0	0	0.000317517290887254	0.000700608804892527	0	0	0	0	2.41589243066389e-05	8.62818725237103e-05	0	1.03538247028452e-05	0	0	0	0	0	0	0	0	0	0
HEB24004	0.214624078722663	0.0225319547505185	0.00464682383446975	0.00141435976397245	0.00241243633500265	0.514037019111411	0.00376159511694799	0.000877705527287865	0.0167240518899508	0.0229056065321353	0.000827550925728558	0.0846760138125773	0.000561731537464233	0.000178048835535538	0.000147956074599954	0.000614393869101505	0.00389701254115812	0.0626430973475739	0.0228429132801862	0.000218172516782984	8.77705527287865e-05	0.0019961531420604	0.0142739996037786	7.02164421830292e-05	3.51082210915146e-05	4.26314113254106e-05	0.00190838258933161	7.02164421830292e-05	5.26623316372719e-05	3.00927609355839e-05	5.26623316372719e-05	1.75541105457573e-05	1.25386503898266e-05	2.2569570701688e-05	0	0	1.00309203118613e-05	0	0	0	0	0	0.000152971534755885	0.000529131046450684	0	0	0	0	2.00618406237226e-05	6.26932519491332e-05	0	0	0	0	1.00309203118613e-05	0	0	0	0	0	0	0
HEB24005	0.191959955734252	0.0144141411120274	0.0053558991800582	0.00160655611623604	0.00222610568233771	0.264338299699625	0.00105537064018698	0.000818232702817028	0.0688853662392487	0.0366175157344226	0.00101050670608996	0.259642541264137	0.000546912720420781	0.000260638093325528	0.000188001247644643	0.000632367832986528	0.00151896462585615	0.0881747215231519	0.0527557137424639	0.00020936502578608	8.97278681940344e-05	0.000198683136715362	0.00371943377442414	8.5455112565747e-05	5.55458231677356e-05	4.27275562828735e-05	0.00235428835118633	8.11823569374597e-05	4.70003119111609e-05	2.13637781414368e-05	2.99092893980115e-05	3.63184228404425e-05	2.99092893980115e-05	1.28182668848621e-05	8.5455112565747e-06	1.70910225131494e-05	2.99092893980115e-05	8.5455112565747e-06	0	2.35001559555804e-05	1.28182668848621e-05	0	0.000343956828077132	0.000446502963156028	0	1.28182668848621e-05	0	1.06818890707184e-05	1.49546446990057e-05	3.20456672121551e-05	1.06818890707184e-05	0	0	0	0	0	0	0	6.40913344243103e-06	0	0	0
HEB24006	0.341578760428905	0.022851068163246	0.0041703199397924	0.00135616121925352	0.00175357110035345	0.230346218520791	0.000963718961667333	0.000553890021783029	0.186914286140082	0.0261172806235361	0.000715337785979876	0.101662415208876	0.000484343292590541	0.00020118875230684	5.71276704081151e-05	0.000611017692191144	0.00122700300789604	0.0328459266729093	0.0352154830889677	0.000253348799201206	0.000119222964329979	0.000131642023114352	0.00755078774089869	9.19010350043591e-05	3.4773364596244e-05	0	0.000941364655855462	6.70629174356134e-05	4.71924233806168e-05	2.98057410824948e-05	4.96762351374914e-05	0	2.98057410824948e-05	9.93524702749828e-06	1.7386682298122e-05	9.93524702749828e-06	1.7386682298122e-05	9.93524702749828e-06	0	0	0	0	0.000193737317036216	0.00060853388043427	0	0	1.98704940549966e-05	1.24190587843728e-05	1.7386682298122e-05	9.19010350043591e-05	9.93524702749828e-06	0	0	0	0	0	0	0	0	0	9.93524702749828e-06	0
HEB24023	0.0365104529747315	0.141536800917493	0.00651390106965901	0.00201638594676441	0.00210821021385684	0.0340574332681194	0.00129116163319766	0.0011599841087799	0.00554880928287121	0.0630682797754241	0.00113562256853089	0.479663735785978	0.000669005374530572	0.000211758003702954	0.000140547347590456	0.000734594136739451	0.0035324233361068	0.11648564168297	0.09791277819005	0.000217379897606572	0.000140547347590456	0.00038416275008058	0.00263666824079696	0.000108689948803286	6.18408329398008e-05	6.18408329398008e-05	0.000788939111141095	8.43284085542738e-05	5.80929036707219e-05	2.81094695180913e-05	5.99668683052613e-05	2.62355048835518e-05	3.37313634217095e-05	1.68656817108548e-05	1.49917170763153e-05	1.68656817108548e-05	1.87396463453942e-05	1.31177524417759e-05	1.12437878072365e-05	0	1.49917170763153e-05	0	0.000432885830578605	0.000333565704948016	9.36982317269708e-06	0	0	0	2.43615402490124e-05	7.30846207470373e-05	0	0	0	5.62189390361825e-06	2.2487575614473e-05	0	3.74792926907883e-06	0	0	0	0	0
HEB24025	0.351725204723044	0.152027074534656	0.00438039346198737	0.00134060195840384	0.00201324664732325	0.331841171479865	0.00283354504844448	0.000419524039430572	0.0412539784472454	0.016537215766604	0.000848422917731101	0.0504061648940409	0.000414836619995594	0.00018280935796416	0.000100779517852037	0.000604677107112222	0.000923421628690757	0.0215105677871162	0.0149013063837965	0.000178121938529182	8.20298401121231e-05	0.000145310002484332	0.00348509634990649	0.000119529195591951	2.81245166098708e-05	5.39053235022523e-05	0.000698425495811791	7.96861303946338e-05	2.81245166098708e-05	2.81245166098708e-05	3.046822632736e-05	1.40622583049354e-05	2.34370971748923e-05	7.03112915246769e-06	2.10933874574031e-05	1.17185485874462e-05	0	0	0	1.64059680224246e-05	0	9.37483886995692e-06	9.140467898208e-05	0.000464054524062868	1.17185485874462e-05	1.17185485874462e-05	7.03112915246769e-06	9.37483886995692e-06	3.046822632736e-05	4.45304846322954e-05	0	0	0	4.68741943497846e-06	0	0	0	0	0	0	0	0
HEB24037	0.3365654009786	0.130189334376322	0.00523822447138832	0.00160638883789242	0.00182190435900097	0.0757716652964137	0.000973810873157143	0.000738340211205211	0.0896863850065054	0.0342150844900663	0.000945873675976405	0.198940781124033	0.000490896464747248	0.000221502063361563	8.58071056265515e-05	0.000636568992903952	0.00113145648581988	0.0477486610100494	0.063313670867889	0.000249439260542301	0.00013769047181935	0.000203542436602518	0.00718185518953393	9.57846760482436e-05	4.3901309855445e-05	3.79147676024297e-05	0.000435022070385773	6.18609366144906e-05	5.58743943614754e-05	2.19506549277225e-05	3.19282253494145e-05	1.79596267590457e-05	2.59416830963993e-05	3.99102816867681e-06	7.98205633735363e-06	1.39685985903689e-05	1.19730845060304e-05	9.97757042169204e-06	0	0	0	9.97757042169204e-06	0.00050087403516894	0.000359192535180913	9.97757042169204e-06	1.59641126747073e-05	0	2.39461690120609e-05	2.19506549277225e-05	8.78026197108899e-05	0	0	0	0	0	0	0	0	0	0	0	0
HEB24044	0.412943718053712	0.117558809409506	0.00453601988082799	0.00155671966338144	0.00185323769450171	0.104962088051735	0.000912498941007032	0.000649515687215837	0.0415142893451187	0.0332276693682754	0.000818954562141707	0.173095930643021	0.000457131964643755	0.000181793792889215	0.000164143910084437	0.000737765101239728	0.000928383835531332	0.0461615034876168	0.049334952415916	0.000282398124876451	0.000109429273389625	0.000190618734291604	0.00581563638417441	7.7659484341024e-05	5.8244613255768e-05	4.58896952924233e-05	0.000458896952924233	8.47194374629352e-05	4.94196718533789e-05	3.52997656095564e-05	3.35347773290785e-05	2.11798593657338e-05	1.58848945243004e-05	2.29448476462116e-05	1.76498828047782e-05	1.76498828047782e-05	1.58848945243004e-05	7.05995312191127e-06	0	0	0	0	0.000351232667815086	0.000559501284911468	0	2.11798593657338e-05	1.05899296828669e-05	0	5.29496484143345e-06	8.82494140238909e-05	0	0	0	0	0	0	0	3.52997656095564e-06	0	0	5.29496484143345e-06	0
