feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Firmicutes.c__Bacilli.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Thermicanaceae.	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24001	-1.52982169517194	-1.96693250483657	-7.60963797896215	-9.24923573626015	-9.0351109309073	-3.3779627227864	-8.51348555500567	-10.5560569387573	-4.23600857708817	-5.10038723891621	-9.87423289878356	-3.05957761178644	-11.0857370039773	-12.2583763901166	-12.4971632497037	-10.4405797213374	-9.96609375697778	-4.85778636106527	-5.33709015150402	-11.9710944380362	-13.2830384443509	-11.2583763901166	-5.6189283705914	-13.8930919260349	-13.8190913445911	-14.3336645174209	-8.89546673322278	-13.6815878208412	-16.6881797210012	-14.9710944380362	-14.3336645174209	-15.1410194394785	-16.1410194394785	-16.1410194394785	-16.5560569387573	-17.6881797210012	-18.2731422217224	-19.349136499311	-18.1452512594946	-17.9314714245875	-16.1410194394785	-19.0863617321916	-12.4405797213374	-10.353116880087	-18.0401751862908	-19.1945058304213	-18.5547483591206	-18.1452512594946	-18.5269474645698	-14.6815878208412	-19.5641643790172	-18.1792114978687	-19.2081366979644	-19.777140780457	-18.349136499311	-19.5641643790172	-19.0401751862908	-17.1410194394785	-18.777140780457	-19.777140780457	-19.349136499311	-18.7208621298642
HEB24002	-1.19686905805923	-6.86782494746984	-8.30943554234759	-9.89810201183217	-9.188845401534	-1.23741405072695	-7.92902813033107	-10.8222482573129	-6.34406562960991	-6.00213157532861	-10.9939337166197	-4.44517530939149	-11.2922749911894	-12.5948377612098	-13.2922749911894	-10.9939337166197	-10.0219480927893	-5.50914401281256	-6.04255292126633	-12.3724453398734	-13.0754636021163	-12.8012886386773	-7.7978247833737	-14.1094109340396	-14.331803355376	-18.6231741972432	-10.0382039835472	-13.6943734347608	-15.5017283568184	-14.5948377612098	-13.9781664007613	-15.9167658560972	-15.6943734347608	-18.9348081078975	-15.9167658560972	-15.9167658560972	-18.2731422217224	-19.349136499311	-18.1452512594946	-17.9314714245875	-16.9167658560972	-19.0863617321916	-13.6437473616908	-10.8578721670436	-15.6943734347608	-19.1945058304213	-18.5547483591206	-18.1452512594946	-18.5269474645698	-13.9781664007613	-19.5641643790172	-18.1792114978687	-19.2081366979644	-19.777140780457	-18.349136499311	-19.5641643790172	-19.0401751862908	-20.349136499311	-18.777140780457	-19.777140780457	-19.349136499311	-18.7208621298642
HEB24003	-1.09378274084458	-6.58315123226373	-7.9252706569664	-9.62087722137155	-9.11101617589111	-3.08201352182885	-9.47910326024338	-10.7957110231975	-3.8987379311428	-4.68962582891603	-10.8406584292515	-2.69516154148208	-11.0048878250298	-12.0569763361782	-13.4439994592875	-10.8315562221442	-10.3052353893316	-4.13260044397331	-4.18298948303036	-11.7868871728105	-13.23754858182	-9.38621596270183	-6.17865489276647	-13.5005829876538	-15.1444391774286	-18.6231741972432	-9.19899534105065	-14.4439994592875	-16.6881797210012	-15.5594766767074	-15.8225110825412	-14.4439994592875	-15.337084255371	-18.9348081078975	-18.0570023066714	-17.6881797210012	-18.2731422217224	-19.349136499311	-18.1452512594946	-14.9745141759862	-18.5164339253087	-19.0863617321916	-11.6208772213715	-10.4791032602434	-18.0401751862908	-19.1945058304213	-18.5547483591206	-18.1452512594946	-15.337084255371	-13.5005829876538	-19.5641643790172	-16.5594766767074	-19.2081366979644	-19.777140780457	-18.349136499311	-19.5641643790172	-19.0401751862908	-20.349136499311	-18.777140780457	-19.777140780457	-19.349136499311	-18.7208621298642
HEB24004	-2.22011615343851	-5.47188371035376	-7.7495393327238	-9.46563514635227	-8.69529341498102	-0.960055833979292	-8.05443971336782	-10.1539753869187	-5.90193176500292	-5.44815542437271	-10.2388642845052	-3.56190283479138	-10.7978315766935	-12.4554393792464	-12.7225434493892	-10.6685485597485	-8.00341571034335	-3.99670064225575	-5.45210953264438	-12.1622430029023	-13.4759034818061	-8.96856187820742	-6.13046655222458	-13.7978315766935	-14.7978315766935	-14.5177236575007	-9.03343385524752	-13.7978315766935	-14.2128690759723	-15.0202239980299	-14.2128690759723	-15.7978315766935	-16.2832584038637	-15.4352614973088	-18.0570023066714	-17.6881797210012	-16.6051864987511	-19.349136499311	-18.1452512594946	-17.9314714245875	-18.5164339253087	-19.0863617321916	-12.6744491611882	-10.8840873100439	-18.0401751862908	-19.1945058304213	-18.5547483591206	-18.1452512594946	-15.6051864987511	-13.9613303089763	-19.5641643790172	-18.1792114978687	-19.2081366979644	-19.777140780457	-16.6051864987511	-19.5641643790172	-19.0401751862908	-20.349136499311	-18.777140780457	-19.777140780457	-19.349136499311	-18.7208621298642
HEB24005	-2.38112270940442	-6.11637131550418	-7.54465548116922	-9.28181291032552	-8.81126219972465	-1.91954262418855	-9.88803453041848	-10.2552011800782	-3.85965865526883	-4.7713222730033	-9.95070538866376	-1.94540131308114	-10.8364017620032	-11.9056644244403	-12.3769701433659	-10.6269483963742	-9.36269601238374	-3.50349107549181	-4.24452883545235	-12.2216919178879	-13.4440843392244	-12.2972429508951	-8.07070127435206	-13.5144736671158	-14.1359620438621	-14.5144736671158	-8.730493253432	-13.5884742485596	-14.3769701433659	-15.5144736671158	-15.0290468399456	-14.7489389207528	-15.0290468399456	-16.251439261282	-16.8364017620032	-15.8364017620032	-15.0290468399456	-16.8364017620032	-18.1452512594946	-15.3769701433659	-16.251439261282	-19.0863617321916	-11.5054848838885	-11.1290426299223	-18.0401751862908	-16.251439261282	-18.5547483591206	-16.5144736671158	-16.0290468399456	-14.9295111663946	-16.5144736671158	-18.1792114978687	-19.2081366979644	-19.777140780457	-18.349136499311	-19.5641643790172	-19.0401751862908	-20.349136499311	-17.251439261282	-19.777140780457	-19.349136499311	-18.7208621298642
HEB24006	-1.54970982477833	-5.45159458476272	-7.90562621565743	-9.5262555896746	-9.15548835732328	-2.11812418075719	-10.0190998884073	-10.8181128306742	-2.41955125423777	-5.25885150097532	-10.4490877291521	-3.29814168426401	-11.0116824168448	-12.2791627277098	-14.0954507745374	-10.6764982252552	-9.67064549900978	-4.92814172130214	-4.82764631589945	-11.946587388623	-13.0340502298733	-12.8910922760313	-7.04915712226351	-13.4095593649655	-14.8116578085369	-18.6231741972432	-10.0529586924234	-13.864125228431	-14.3710852171509	-15.0340502298733	-14.2970846357071	-17.2731422217224	-15.0340502298733	-16.6190127305945	-15.8116578085369	-16.6190127305945	-15.8116578085369	-16.6190127305945	-18.1452512594946	-17.9314714245875	-18.5164339253087	-19.0863617321916	-12.3336105117322	-10.6823747915919	-18.0401751862908	-19.1945058304213	-15.6190127305945	-16.2970846357071	-15.8116578085369	-13.4095593649655	-16.6190127305945	-18.1792114978687	-19.2081366979644	-19.777140780457	-18.349136499311	-19.5641643790172	-19.0401751862908	-20.349136499311	-18.777140780457	-19.777140780457	-16.6190127305945	-18.7208621298642
HEB24023	-4.77554662178679	-2.8207508785914	-7.26226247579658	-8.95401248005436	-8.88976555650658	-4.87588647909445	-9.59711466990669	-9.75167924339672	-7.49360606743343	-3.98694160638825	-9.78230085913803	-1.05990472388955	-10.5456945785819	-12.2052958801958	-12.7966561521151	-10.4107649984958	-8.14512603445495	-3.10177595931591	-3.35235903752058	-12.1674938474834	-12.7966561521151	-11.3459947431055	-8.56706822937445	-13.1674938474834	-13.9810807232525	-13.9810807232525	-10.3077984195446	-13.5336217462813	-14.0712785322241	-15.1185842470025	-14.025474842611	-15.2181199205534	-14.8555498411687	-15.8555498411687	-16.025474842611	-15.8555498411687	-15.7035467477236	-16.2181199205534	-16.4405123418898	-17.9314714245875	-16.025474842611	-19.0863617321916	-11.1737258011949	-11.5497414116446	-16.7035467477236	-19.1945058304213	-18.5547483591206	-18.1452512594946	-15.3250351244699	-13.7400726237487	-19.5641643790172	-18.1792114978687	-19.2081366979644	-17.4405123418898	-15.4405123418898	-19.5641643790172	-18.025474842611	-20.349136499311	-18.777140780457	-19.777140780457	-19.349136499311	-18.7208621298642
HEB24025	-1.50747937230393	-2.71759981846489	-7.83472382119106	-9.54290333815783	-8.95626035379775	-1.59143520255099	-8.46317614568709	-11.218958897672	-4.59932293322013	-5.9181398293787	-10.202928787853	-4.31025599735614	-11.2351691248532	-12.417372456074	-13.2765099202341	-10.691547419513	-10.0807228554798	-5.53881058352395	-6.06841737379824	-12.4548471614926	-13.5734916579913	-12.7485783645493	-8.1645857428838	-13.0303493329647	-15.1178121742151	-14.1792127188792	-10.4836061544741	-13.6153118336859	-15.1178121742151	-15.1178121742151	-15.0023349567951	-16.1178121742151	-15.3808465800489	-17.1178121742151	-15.5328496734939	-16.3808465800489	-18.2731422217224	-19.349136499311	-18.1452512594946	-15.8954197528786	-18.5164339253087	-16.7027746749362	-13.417372456074	-11.0734180548566	-16.3808465800489	-16.3808465800489	-17.1178121742151	-16.7027746749362	-15.0023349567951	-14.4548471614926	-19.5641643790172	-18.1792114978687	-19.2081366979644	-17.7027746749362	-18.349136499311	-19.5641643790172	-19.0401751862908	-20.349136499311	-18.777140780457	-19.777140780457	-19.349136499311	-18.7208621298642
HEB24037	-1.57104122006795	-2.9413168328098	-7.57670640045661	-9.28196313489548	-9.10033705791323	-3.72219773423579	-10.0040707703346	-10.4034266473811	-3.47896719877106	-4.86922367983595	-10.0460648589992	-2.3295890485061	-10.9922936025582	-12.1403922415474	-13.5085433531954	-10.6173954941326	-9.78760318295523	-4.3883959127781	-3.98133914566861	-11.9690238232354	-12.8262836511193	-12.262382765926	-7.12142772097273	-13.3498456071763	-14.4753764892602	-14.6868805944539	-11.1666237831205	-13.9806117975106	-14.1274531858399	-15.4753764892602	-14.9348081078975	-15.7648831064551	-15.2343683897564	-17.9348081078975	-16.9348081078975	-16.1274531858399	-16.3498456071763	-16.6128800130101	-18.1452512594946	-17.9314714245875	-18.5164339253087	-16.6128800130101	-10.9632645539467	-11.4429550115678	-16.6128800130101	-15.9348081078975	-18.5547483591206	-15.3498456071763	-15.4753764892602	-13.4753764892602	-19.5641643790172	-18.1792114978687	-19.2081366979644	-19.777140780457	-18.349136499311	-19.5641643790172	-19.0401751862908	-20.349136499311	-18.777140780457	-19.777140780457	-19.349136499311	-18.7208621298642
HEB24044	-1.27598293120377	-3.08854544177306	-7.78435732120975	-9.32727511973347	-9.0757363527375	-3.25205976943839	-10.0978894949761	-10.588348009234	-4.59024818779633	-4.91147108569301	-10.2539289701634	-2.5303562864748	-11.0951016776044	-12.4254094381078	-12.572751154183	-10.4045508332101	-10.0729909759987	-4.43716597621583	-4.34124607237423	-11.7899818704036	-13.1577136549041	-12.3570224631275	-7.42584721539557	-13.6524783466537	-14.0675158459325	-14.4114702471499	-11.0895421522625	-13.5269474645698	-14.3045550432334	-14.7899818704036	-14.8639824518474	-15.5269474645698	-15.9419849638487	-15.4114702471499	-15.7899818704036	-15.7899818704036	-15.9419849638487	-17.111909965291	-18.1452512594946	-17.9314714245875	-18.5164339253087	-19.0863617321916	-11.4752853447473	-10.8035709351516	-18.0401751862908	-15.5269474645698	-16.5269474645698	-18.1452512594946	-17.5269474645698	-13.4680537755163	-19.5641643790172	-18.1792114978687	-19.2081366979644	-19.777140780457	-18.349136499311	-19.5641643790172	-19.0401751862908	-18.111909965291	-18.777140780457	-19.777140780457	-17.5269474645698	-18.7208621298642
