feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	TimePoint	Intervention	1.34657629169614	0.302342045916757	24	24	0.000348555389113168	0.0292786526855061
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4	TimePoint	Intervention	-0.423722309674177	0.122445312868909	24	24	0.00222506987155864	0.093452934605463
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	TimePoint	Intervention	0.410004440374275	0.329499040173427	24	24	0.339426986406475	0.897396738486954
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	TimePoint	Intervention	-0.142702226644562	0.105997635003677	24	24	0.195891201870592	0.897396738486954
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	TimePoint	Intervention	-0.128820128177865	0.100800624077885	24	24	0.218435475271523	0.897396738486954
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	TimePoint	Intervention	-0.56024019951926	0.440312679411965	24	24	0.331158190186511	0.897396738486954
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	TimePoint	Intervention	-0.203404232036535	0.1323160418333	24	24	0.142633170753169	0.897396738486954
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	TimePoint	Intervention	-0.804320014806343	0.453659709048161	24	24	0.0941520587712952	0.897396738486954
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	TimePoint	Intervention	-0.150408670497524	0.121240196918974	24	24	0.340548439072371	0.897396738486954
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	TimePoint	Intervention	-0.0757218602541975	0.0774380213880904	24	24	0.341865424185506	0.897396738486954
