feature	k__Bacteria	Unassigned
HEB24007	0.999987583130938	1.24168690616324e-05
HEB24008	0.999993856474968	6.14352503179274e-06
HEB24017	0.999992565373599	7.43462640073008e-06
HEB24040	0.999995678079131	4.32192086908642e-06
HEB24042	1	0
HEB24058	0.999994319601918	5.68039808229761e-06
HEB24088	1	0
HEB24090	0.999992047650478	7.95234952166618e-06
HEB24097	1	0
HEB24098	1	0
HEB24099	0.999996338887241	3.66111275861185e-06
HEB24100	0.999991692782482	8.3072175182603e-06
HEB24139	0.999995013074057	4.98692594248745e-06
HEB24140	1	0
HEB24141	0.999993591140392	6.40885960752144e-06
HEB24142	1	0
HEB24143	1	0
HEB24144	1	0
HEB24175	1	0
HEB24176	0.999993289648948	6.71035105201529e-06
HEB24177	1	0
HEB24178	0.999986709619208	1.32903807915603e-05
HEB24179	0.999994073789226	5.92621077424627e-06
HEB24180	0.99999100997974	8.99002026023657e-06
