feature	k__Bacteria	Unassigned
HEB24007	-1.79138666358587e-05	-16.2973390334623
HEB24008	-8.86326032282794e-06	-17.3125018865927
HEB24017	-1.07259385109283e-05	-17.0373083224542
HEB24040	-6.23522727902108e-06	-17.819895911477
HEB24042	0	-19.0592863614329
HEB24058	-8.1951054194381e-06	-17.4255765319829
HEB24088	0	-19.0592863614329
HEB24090	-1.1472860836485e-05	-16.940187401698
HEB24097	0	-19.0592863614329
HEB24098	0	-19.0592863614329
HEB24099	-5.28187888978502e-06	-18.0592863614329
HEB24100	-1.19848312974779e-05	-16.877203238516
HEB24139	-7.19463126612936e-06	-17.6134177906643
HEB24140	0	-19.0592863614329
HEB24141	-9.24605960196836e-06	-17.2515009027987
HEB24142	0	-19.0592863614329
HEB24143	0	-19.0592863614329
HEB24144	0	-19.0592863614329
HEB24175	0	-19.0592863614329
HEB24176	-9.68102266697118e-06	-17.1851803263334
HEB24177	0	-19.0592863614329
HEB24178	-1.91740938753021e-05	-16.1992580336131
HEB24179	-8.5497402290375e-06	-17.3644586305794
HEB24180	-1.2969915946908e-05	-16.7632442022708
