feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	Day_Num	Day_Num	-0.535230754709636	0.136854431839236	60	60	0.00024716424529358	0.0439952356622572
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__	Day_Num	Day_Num	-0.524144683570309	0.15306610462033	60	60	0.00128794734975091	0.114627314127831
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.__	Day_Num	Day_Num	-0.173203873516926	0.0550909217894166	60	59	0.00264615790901298	0.157005369268103
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__	Day_Num	Day_Num	-0.280632775874671	0.0956921554350408	60	60	0.00483217484382703	0.215031780550303
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.__.__	Day_Num	Day_Num	0.356883960551841	0.125877284589245	60	8	0.00632708816606962	0.225244338712079
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium.s__	Day_Num	Day_Num	-0.363280347878941	0.140365249561451	60	60	0.0128005616628566	0.303022690109132
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4.s__	Day_Num	Day_Num	-0.113444868482572	0.0461485500393587	60	60	0.0170237466353445	0.303022690109132
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces.s__	Day_Num	Day_Num	-0.346922657755919	0.138355498265963	60	47	0.0150331186590577	0.303022690109132
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium.s__	Day_Num	Day_Num	-0.292116522547357	0.117630124315029	60	60	0.0166397473718837	0.303022690109132
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__thermopalmarium	Day_Num	Day_Num	0.266934868174782	0.106827766543956	60	9	0.0153701681924984	0.303022690109132
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum.s__	Day_Num	Day_Num	0.43945034879702	0.185500611985853	60	60	0.0219972181873248	0.342423916239411
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__	Day_Num	Day_Num	0.324953253603704	0.138342629879703	60	58	0.0230847583981625	0.342423916239411
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium.s__	Day_Num	Day_Num	0.293198348395757	0.128771581634169	60	60	0.0273886030330743	0.375013179991325
