feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia	Day_Num	Day_Num	0.3253305302911	0.171120035940074	24	24	0.0743673757306618	0.341241502286207
k__Bacteria.p__Firmicutes.c__Clostridia	Day_Num	Day_Num	-0.234074028185213	0.131680954812528	24	24	0.0933650273599465	0.341241502286207
k__Bacteria.p__Actinobacteria.c__Actinobacteria	Day_Num	Day_Num	-0.161058523813504	0.0761050831476995	24	24	0.0458712657437467	0.341241502286207
k__Bacteria.p__Tenericutes.c__Mollicutes	Day_Num	Day_Num	0.469921982670158	0.186316700344392	24	24	0.0219285023381534	0.341241502286207
Unassigned.__.__	Day_Num	Day_Num	-0.382713077895172	0.220256249159264	24	11	0.100365147731237	0.341241502286207
k__Bacteria.p__Firmicutes.c__Bacilli	Day_Num	Day_Num	0.302619798384629	0.235497088756993	24	24	0.216016236436344	0.408030668824206
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	Day_Num	Day_Num	0.218127865406988	0.150989970000692	24	24	0.166735577172513	0.408030668824206
k__Bacteria.__.__	Day_Num	Day_Num	-0.0849000138455983	0.064058946166456	24	24	0.202594874163026	0.408030668824206
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	Day_Num	Day_Num	-0.0772263501210536	0.0558509441966978	24	24	0.184645315310338	0.408030668824206
k__Bacteria.p__Actinobacteria.c__Coriobacteriia	Day_Num	Day_Num	-0.14400641832028	0.131478472226827	24	24	0.28866713305273	0.490734126189642
k__Bacteria.p__Bacteroidetes.__	Day_Num	Day_Num	-0.14062511908204	0.176557338339114	24	7	0.434262161013222	0.671132430656798
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	Day_Num	Day_Num	-0.056615735899044	0.0837413689261516	24	24	0.506036643360563	0.716885244760798
k__Bacteria.p__Deferribacteres.c__Deferribacteres	Day_Num	Day_Num	-0.0481985166634512	0.0979299770212363	24	24	0.628892233414619	0.822397536003733
k__Bacteria.p__Cyanobacteria.c__Chloroplast	Day_Num	Day_Num	-0.00705299670934684	0.0466522669116004	24	24	0.881611421146554	0.915751363755942
k__Bacteria.p__Firmicutes.c__Erysipelotrichi	Day_Num	Day_Num	0.0554373031872717	0.196079424980777	24	24	0.780798361538799	0.915751363755942
k__Bacteria.p__Firmicutes.__	Day_Num	Day_Num	0.015730006068147	0.111096383058867	24	24	0.889069163376371	0.915751363755942
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	Day_Num	Day_Num	0.0213438571442167	0.19945775071414	24	22	0.915751363755942	0.915751363755942
