feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	Day_Num	Day_Num	-0.503165717383983	0.17980044154443	24	24	0.0123451419786757	0.145591198416228
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	Day_Num	Day_Num	-0.512903444318747	0.18049736927967	24	24	0.0112721330101477	0.145591198416228
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	Day_Num	Day_Num	0.610811606163324	0.203602930680737	24	24	0.00805445954030976	0.145591198416228
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	Day_Num	Day_Num	-0.157311008402035	0.0582048568992778	24	24	0.0129992141443061	0.145591198416228
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	Day_Num	Day_Num	-0.545149618875681	0.177591846923698	24	24	0.00694088697024583	0.145591198416228
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	Day_Num	Day_Num	0.76501343824425	0.28832434190851	24	24	0.0167252196884239	0.15610205042529
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	Day_Num	Day_Num	0.46991638791565	0.186317223767861	24	24	0.0219301708154787	0.160772956226777
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	Day_Num	Day_Num	-0.424350643263926	0.173576391853125	24	20	0.0229675651752538	0.160772956226777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	Day_Num	Day_Num	-0.334498733112546	0.140283593661332	24	24	0.0290245323746852	0.180597090331374
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	Day_Num	Day_Num	-0.274955123443447	0.133893153588684	24	6	0.0557347858985674	0.283740728210889
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	Day_Num	Day_Num	0.428277817929052	0.210337757257038	24	8	0.0539514936074318	0.283740728210889
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	Day_Num	Day_Num	0.328449659596338	0.172479418914212	24	24	0.0739385383578968	0.318504472926325
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	Day_Num	Day_Num	-0.0833853893934648	0.043771608525019	24	24	0.0738381994074556	0.318504472926325
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	Day_Num	Day_Num	-0.0911684809354109	0.0495544421476777	24	24	0.0833316280198501	0.324315946796426
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	Day_Num	Day_Num	0.640702806425157	0.377850614916416	24	24	0.104060015435848	0.324315946796426
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	Day_Num	Day_Num	-0.110374033170734	0.0643038156680197	24	24	0.10424441147028	0.324315946796426
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	Day_Num	Day_Num	-0.158299004172149	0.0893105099944395	24	24	0.0901681723887856	0.324315946796426
Unassigned.__.__.__.__	Day_Num	Day_Num	-0.382717803131234	0.220257471145844	24	11	0.100363014975629	0.324315946796426
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae	Day_Num	Day_Num	0.213964402425058	0.132842508211319	24	4	0.121509212223243	0.35813241497377
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	Day_Num	Day_Num	-0.258524571230719	0.166884899435161	24	24	0.139767892967895	0.375901288384962
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	Day_Num	Day_Num	-0.334603185727878	0.216691075685608	24	21	0.140962983144361	0.375901288384962
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	Day_Num	Day_Num	0.218122270652479	0.150989328108302	24	24	0.166744149458931	0.405985755204355
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	Day_Num	Day_Num	-0.463236426785031	0.322663700260777	24	21	0.165164884993485	0.405985755204355
k__Bacteria.__.__.__.__	Day_Num	Day_Num	-0.0849056086001067	0.0640606222241505	24	24	0.202577786317113	0.436321385913783
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	Day_Num	Day_Num	-0.0788477289125968	0.0588631259658355	24	24	0.198038656820297	0.436321385913783
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	Day_Num	Day_Num	-0.28081017214337	0.20870354737504	24	7	0.192169341651427	0.436321385913783
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	Day_Num	Day_Num	-0.33578691839886	0.285726527919737	24	20	0.252475973154382	0.523653870246126
