feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Thermicanaceae.	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24001	-1.52982169517194	-1.96693250483657	-7.60963797896215	-9.24923573626015	-9.0351109309073	-3.3779627227864	-8.51348555500567	-10.5560569387573	-4.23600857708817	-5.10038723891621	-9.87423289878356	-3.05957761178644	-11.0857370039773	-12.2583763901166	-12.4971632497037	-10.4405797213374	-9.96609375697778	-4.85778636106527	-5.33709015150402	-11.9710944380362	-13.2830384443509	-11.2583763901166	-5.6189283705914	-13.8930919260349	-13.8190913445911	-14.3336645174209	-8.89546673322278	-13.6815878208412	-16.6881728897084	-14.9710944380362	-14.3336645174209	-15.1410194394785	-16.1410194394785	-16.1410194394785	-16.5560569387573	-18.0636715643208	-18.2731353904296	-19.332458386144	-17.7064622921882	-16.1410194394785	-19.2914247929094	-12.4405797213374	-10.353116880087	-17.7035251190856	-18.0863565485147	-18.1178121742151	-17.7027746749362	-18.5269474645698	-14.6815878208412	-19.5641606567738	-17.5594766767074	-18.7027746749362	-17.7417434694334	-17.1410194394785	-18.6881728897084	-18.7208621298642
HEB24002	-1.19686905805923	-6.86782494746984	-8.30943554234759	-9.89810201183217	-9.188845401534	-1.23741405072695	-7.92902813033107	-10.8222482573129	-6.34406562960991	-6.00213157532861	-10.9939337166197	-4.44517530939149	-11.2922749911894	-12.5948377612098	-13.2922749911894	-10.9939337166197	-10.0219480927893	-5.50914401281256	-6.04255292126633	-12.3724453398734	-13.0754636021163	-12.8012886386773	-7.7978247833737	-14.1094109340396	-14.331803355376	-18.6231694331534	-10.0382039835472	-13.6943734347608	-15.5017283568184	-14.5948377612098	-13.9781664007613	-15.9167658560972	-15.6943734347608	-18.9348081078975	-15.9167658560972	-15.9167658560972	-18.2731353904296	-19.332458386144	-17.7064622921882	-16.9167658560972	-19.2914247929094	-13.6437473616908	-10.8578721670436	-15.6943734347608	-18.0863565485147	-18.1178121742151	-17.7027746749362	-18.5269474645698	-13.9781664007613	-19.5641606567738	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24003	-1.09378274084458	-6.58315123226373	-7.9252706569664	-9.62087722137155	-9.11101617589111	-3.08201352182885	-9.47910326024338	-10.7957110231975	-3.8987379311428	-4.68962582891603	-10.8406584292515	-2.69516154148208	-11.0048878250298	-12.0569763361782	-13.4439994592875	-10.8315562221442	-10.3052353893316	-4.13260044397331	-4.18298948303036	-11.7868871728105	-13.23754858182	-9.38621596270183	-6.17865489276647	-13.5005829876538	-15.1444391774286	-18.6231694331534	-9.19899534105065	-14.4439994592875	-16.6881728897084	-15.5594766767074	-15.8225110825412	-14.4439994592875	-15.337084255371	-18.9348081078975	-18.2914247929094	-18.0636715643208	-18.2731353904296	-19.332458386144	-14.9745141759862	-17.9167658560972	-19.2914247929094	-11.6208772213715	-10.4791032602434	-17.7035251190856	-18.0863565485147	-18.1178121742151	-17.7027746749362	-15.337084255371	-13.5005829876538	-19.5641606567738	-16.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24004	-2.22011615343851	-5.47188371035376	-7.7495393327238	-9.46563514635227	-8.69529341498102	-0.960055833979292	-8.05443971336782	-10.1539753869187	-5.90193176500292	-5.44815542437271	-10.2388642845052	-3.56190283479138	-10.7978315766935	-12.4554393792464	-12.7225434493892	-10.6685485597485	-8.00341571034335	-3.99670064225575	-5.45210953264438	-12.1622430029023	-13.4759034818061	-8.96856187820742	-6.13046655222458	-13.7978315766935	-14.7978315766935	-14.5177236575007	-9.03343385524752	-13.7978315766935	-14.2128690759723	-15.0202239980299	-14.2128690759723	-15.7978315766935	-16.2832584038637	-15.4352614973088	-18.2914247929094	-18.0636715643208	-16.6051864987511	-19.332458386144	-17.7064622921882	-17.9167658560972	-19.2914247929094	-12.6744491611882	-10.8840873100439	-17.7035251190856	-18.0863565485147	-18.1178121742151	-17.7027746749362	-15.6051864987511	-13.9613303089763	-19.5641606567738	-17.5594766767074	-18.7027746749362	-16.6051864987511	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24005	-2.38111346294976	-6.11636206904952	-7.54464623471455	-9.28180366387086	-8.81125295326998	-1.91953337773388	-9.88802528396381	-10.2551919336235	-3.85964940881417	-4.77131302654863	-9.9506961422091	-1.94539206662648	-10.8363925155485	-11.9056551779856	-12.3769608969112	-10.6269391499195	-9.36268676592908	-3.50348182903714	-4.24451958899769	-12.2216826714333	-13.4440750927697	-12.2972337044405	-8.07069202789739	-13.5144644206611	-14.1359527974074	-14.5144644206611	-8.73048400697733	-13.5884650021049	-14.3769608969112	-15.5144644206611	-15.0290375934909	-14.7489296742982	-15.0290375934909	-16.2514300148273	-16.8363925155485	-15.8363925155485	-15.0290375934909	-16.8363925155485	-15.3769608969112	-16.2514300148273	-19.2914247929094	-11.5054756374339	-11.1290333834676	-17.7035251190856	-16.2514300148273	-18.1178121742151	-16.5144644206611	-16.0290375934909	-14.92950191994	-16.5144644206611	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24006	-1.54970982477833	-5.45159458476272	-7.90562621565743	-9.5262555896746	-9.15548835732328	-2.11812418075719	-10.0190998884073	-10.8181128306742	-2.41955125423777	-5.25885150097532	-10.4490877291521	-3.29814168426401	-11.0116824168448	-12.2791627277098	-14.0954507745374	-10.6764982252552	-9.67064549900978	-4.92814172130214	-4.82764631589945	-11.946587388623	-13.0340502298733	-12.8910922760313	-7.04915712226351	-13.4095593649655	-14.8116578085369	-18.6231694331534	-10.0529586924234	-13.864125228431	-14.3710852171509	-15.0340502298733	-14.2970846357071	-18.0636715643208	-15.0340502298733	-16.6190127305945	-15.8116578085369	-16.6190127305945	-15.8116578085369	-16.6190127305945	-17.7064622921882	-17.9167658560972	-19.2914247929094	-12.3336105117322	-10.6823747915919	-17.7035251190856	-18.0863565485147	-15.6190127305945	-16.2970846357071	-15.8116578085369	-13.4095593649655	-16.6190127305945	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-16.6190127305945	-18.7208621298642
HEB24016	-2.67202519371509	-1.75958767088247	-7.70282448014111	-9.4216198713928	-9.0440808359629	-1.89587123333746	-9.77134993151874	-10.4489617202056	-8.58591329787689	-4.81167146227959	-10.230781550156	-2.80486632787016	-11.0357655677509	-12.3087840621573	-12.5879381333544	-10.8252668249957	-9.68429319724951	-4.83395147108336	-4.694278696115	-12.405460081569	-13.671354141542	-12.4343149442412	-7.58844478657851	-13.7061195597027	-14.1567809687123	-13.8157440508772	-8.49952207433505	-13.7782693454585	-15.2563166422632	-14.8937465628785	-14.4787090635996	-17.0636715643208	-16.0636715643208	-16.2563166422632	-16.4787090635996	-17.0636715643208	-18.2731353904296	-16.4787090635996	-17.7064622921882	-17.9167658560972	-19.2914247929094	-11.8445030438586	-9.54797172603674	-17.7035251190856	-18.0863565485147	-18.1178121742151	-17.7027746749362	-15.1567809687123	-13.0192774449623	-19.5641606567738	-17.5594766767074	-18.7027746749362	-16.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24023	-4.77552499314878	-2.82072924995339	-7.26224084715857	-8.95399085141635	-8.88974392786857	-4.87586485045644	-9.59709304126868	-9.75165761475871	-7.49358443879542	-3.98691997775025	-9.78227923050002	-1.05988309525154	-10.5456729499439	-12.2052742515578	-12.7966345234771	-10.4107433698578	-8.14510440581695	-3.1017543306779	-3.35233740888257	-12.1674722188454	-12.7966345234771	-11.3459731144675	-8.56704660073644	-13.1674722188454	-13.9810590946145	-13.9810590946145	-10.3077767909066	-13.5336001176433	-14.0712569035861	-15.1185626183645	-14.025453213973	-15.2180982919154	-14.8555282125307	-15.8555282125307	-16.025453213973	-15.8555282125307	-15.7035251190856	-16.2180982919154	-17.7064622921882	-16.025453213973	-19.2914247929094	-11.1737041725569	-11.5497197830066	-16.7035251190856	-18.0863565485147	-18.1178121742151	-17.7027746749362	-15.3250134958319	-13.7400509951107	-19.5641606567738	-17.5594766767074	-17.4404907132518	-15.4404907132518	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24025	-1.50747937230393	-2.71759981846489	-7.83472382119106	-9.54290333815783	-8.95626035379775	-1.59143520255099	-8.46317614568709	-11.218958897672	-4.59932293322013	-5.9181398293787	-10.202928787853	-4.31025599735614	-11.2351691248532	-12.417372456074	-13.2765099202341	-10.691547419513	-10.0807228554798	-5.53881058352395	-6.06841737379824	-12.4548471614926	-13.5734916579913	-12.7485783645493	-8.1645857428838	-13.0303493329647	-15.1178121742151	-14.1792127188792	-10.4836061544741	-13.6153118336859	-15.1178121742151	-15.1178121742151	-15.0023349567951	-16.1178121742151	-15.3808465800489	-17.1178121742151	-15.5328496734939	-16.3808465800489	-18.2731353904296	-19.332458386144	-15.8954197528786	-17.9167658560972	-16.7027746749362	-13.417372456074	-11.0734180548566	-16.3808465800489	-16.3808465800489	-17.1178121742151	-16.7027746749362	-15.0023349567951	-14.4548471614926	-19.5641606567738	-17.5594766767074	-17.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24034	-0.744918392783138	-4.43218121494638	-8.25525118035588	-9.80157683247007	-9.53988073382027	-3.03606421712198	-8.92401004166254	-10.9077205004353	-5.60678573732857	-5.71269831194261	-10.8905453566272	-3.3373421065029	-11.6189994509379	-12.091752448073	-12.3256405082473	-10.8905453566272	-10.2525058036171	-5.32311799847857	-5.06636802120968	-11.9968040440177	-12.6620681728298	-12.445934741965	-5.28387185829565	-14.0434972794658	-14.1621417759644	-14.969496698022	-8.64576636050066	-14.4840698708518	-16.6881728897084	-16.1214997914671	-15.3845341973008	-15.4840698708518	-16.4840698708518	-16.4840698708518	-17.2914247929094	-16.969496698022	-18.2731353904296	-19.332458386144	-16.7064622921882	-17.9167658560972	-18.2914247929094	-11.5035222335179	-9.57717927524324	-17.7035251190856	-18.0863565485147	-18.1178121742151	-17.7027746749362	-15.0434972794658	-14.0434972794658	-19.5641606567738	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
