feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces	Day_Num	Day_Num	-0.653559093008738	0.161841007645358	24	18	0.000853429463473379	0.0665674981509236
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Day_Num	Day_Num	-0.503170924538625	0.179800713106527	24	24	0.0123444994874951	0.13113573488586
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Day_Num	Day_Num	-0.599289380449602	0.217316974106658	24	24	0.0134498189626523	0.13113573488586
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Day_Num	Day_Num	0.858527991367173	0.26937035662893	24	24	0.0053944514357337	0.13113573488586
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	Day_Num	Day_Num	0.610806399008682	0.203602666392672	24	24	0.00805483185612335	0.13113573488586
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4	Day_Num	Day_Num	-0.157316215556678	0.0582008493755838	24	24	0.0129911751941218	0.13113573488586
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	Day_Num	Day_Num	-0.545154826030323	0.177592366219952	24	24	0.00694058484648269	0.13113573488586
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.__	Day_Num	Day_Num	-0.274210897581836	0.0988503452381044	24	4	0.0129967384146344	0.13113573488586
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Day_Num	Day_Num	-0.541475386595524	0.214141239006591	24	24	0.021641566986486	0.155514023387556
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Day_Num	Day_Num	-0.298946120832863	0.114907629164477	24	24	0.0186175254467598	0.155514023387556
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	Day_Num	Day_Num	0.469911180761008	0.186317278226469	24	24	0.0219314648367066	0.155514023387556
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Day_Num	Day_Num	0.714743622772704	0.298875498138004	24	24	0.0286172979289392	0.174128046137784
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Day_Num	Day_Num	-0.334503940267188	0.140282572931009	24	24	0.029021341022964	0.174128046137784
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__	Day_Num	Day_Num	0.247103725318275	0.10798610807793	24	3	0.0320925647916727	0.178801432410748
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	Day_Num	Day_Num	-0.535630387863352	0.23836396626645	24	24	0.0382010725130445	0.198645577067831
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Day_Num	Day_Num	-0.351051864331857	0.172985675031681	24	24	0.0583765759463313	0.239651206516518
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Day_Num	Day_Num	-0.146441078059674	0.0706021414976091	24	24	0.0535661853501939	0.239651206516518
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Jeotgalicoccus	Day_Num	Day_Num	-0.274955405738533	0.133893576637248	24	6	0.0557352546132597	0.239651206516518
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__	Day_Num	Day_Num	0.41016993794983	0.197654663512744	24	8	0.0498674136551525	0.239651206516518
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Day_Num	Day_Num	-0.104584019874131	0.0535458222888714	24	24	0.0674616063021081	0.240408290682188
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Day_Num	Day_Num	-0.233356407799592	0.119642082626894	24	24	0.0678074666026684	0.240408290682188
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Day_Num	Day_Num	-0.403334436344412	0.20453029457171	24	24	0.0651049846707089	0.240408290682188
