feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	Day_Num	Day_Num	0.325330626306299	0.171119971782232	24	24	0.0743671990536965	0.416230231292613
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	Day_Num	Day_Num	0.640708497194865	0.377851120278916	24	24	0.104057557823153	0.416230231292613
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	Day_Num	Day_Num	-0.234436239942148	0.131752164742692	24	24	0.093062282576813	0.416230231292613
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	Day_Num	Day_Num	-0.190802281333028	0.103716926868364	24	24	0.0793542951889053	0.416230231292613
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	Day_Num	Day_Num	0.469922078685357	0.186316940712268	24	24	0.0219286248532327	0.416230231292613
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	Day_Num	Day_Num	-0.158293313402441	0.0893107330006562	24	24	0.0901797549199872	0.416230231292613
Unassigned.__.__.__	Day_Num	Day_Num	-0.382712981879972	0.220256481623597	24	11	0.100365557543202	0.416230231292613
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	Day_Num	Day_Num	-0.0691981730903506	0.0439768583458097	24	24	0.134025456950266	0.416968088289717
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales	Day_Num	Day_Num	0.213965356873121	0.13284113288591	24	4	0.121503988823248	0.416968088289717
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	Day_Num	Day_Num	0.218127961422187	0.150990020723004	24	24	0.16673553541046	0.436363488266727
k__Bacteria.__.__.__	Day_Num	Day_Num	-0.0848999178303992	0.0640592400484833	24	24	0.202597333838123	0.436363488266727
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	Day_Num	Day_Num	-0.0788420381428891	0.0588627726278464	24	24	0.198066906186731	0.436363488266727
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	Day_Num	Day_Num	-0.280813549841487	0.208707277077491	24	7	0.192171839278218	0.436363488266727
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	Day_Num	Day_Num	-0.10209460183968	0.0973159481304741	24	24	0.30881660371796	0.576457660273525
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	Day_Num	Day_Num	-0.144006322305081	0.131478605564262	24	24	0.288667916657513	0.576457660273525
k__Bacteria.p__Bacteroidetes.__.__	Day_Num	Day_Num	-0.140624532141678	0.176557566459173	24	7	0.434264637643761	0.759963115876581
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	Day_Num	Day_Num	-0.264238179347125	0.374045342224308	24	24	0.487333506059331	0.760240334617457
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	Day_Num	Day_Num	0.21235329789993	0.300064418206403	24	12	0.488725929396936	0.760240334617457
k__Bacteria.p__Firmicutes.c__Clostridia.__	Day_Num	Day_Num	-0.113369871090944	0.268008547218713	24	24	0.676395415316207	0.89623028502802
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	Day_Num	Day_Num	-0.0332080527654526	0.0924504876655258	24	24	0.722871375028432	0.89623028502802
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	Day_Num	Day_Num	0.0350836650555302	0.0798197119178001	24	24	0.664560249731287	0.89623028502802
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Day_Num	Day_Num	-0.0481984206482528	0.097929765654237	24	24	0.628892176817505	0.89623028502802
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	Day_Num	Day_Num	-0.0383126827109381	0.112287569136657	24	3	0.736189162701588	0.89623028502802
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	Day_Num	Day_Num	0.0554373992024714	0.196079186543185	24	24	0.780797733118687	0.910930688638469
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	Day_Num	Day_Num	-0.0070529006941478	0.0466523518531234	24	24	0.881613233687374	0.915750619033304
k__Bacteria.p__Firmicutes.__.__	Day_Num	Day_Num	0.0157301020833461	0.11109631575943	24	24	0.889068424308399	0.915750619033304
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	Day_Num	Day_Num	0.0213440086150853	0.199457396034947	24	22	0.915750619033304	0.915750619033304
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	Day_Num	Day_Num	-0.0378090215383607	0.193045299147148	24	7	0.846520880289503	0.915750619033304
