feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24001	100421	74724	2035	27805	791	192	81731	133	59	50	289	118	20	17	607	22	9	14	8	4	0	0	0	0	11	0	2	0
HEB24002	162208	3749	1816	157426	1523	205	43106	148	60	37	357	52	18	12	353	28	15	23	6	7	0	0	0	0	23	0	0	0
HEB24003	136027	3548	1716	34217	406	163	112192	141	68	26	229	433	8	14	493	13	6	5	13	7	0	0	0	0	25	0	0	0
HEB24004	85961	9879	2815	204981	1500	350	89679	224	71	59	1554	796	14	21	761	28	12	21	7	5	0	0	0	0	25	4	0	0
HEB24005	90300	7972	3555	123732	494	383	239065	256	122	88	711	93	26	57	1102	38	10	14	17	14	4	0	6	0	15	5	0	0
HEB24006	137927	10034	2389	92739	388	223	157526	195	81	23	494	53	14	18	379	27	12	20	0	12	4	0	0	8	37	4	0	0
HEB24016	86428	163081	3685	147239	627	392	143525	261	108	89	666	99	30	48	1514	39	18	24	4	8	6	0	0	0	66	5	0	0
HEB24023	20075	77210	4617	18174	689	619	408905	357	113	75	1885	205	33	68	421	45	15	32	14	18	7	0	0	0	39	12	0	0
HEB24025	150448	65800	2735	141588	1209	179	63501	177	78	43	394	62	12	44	298	34	12	13	6	10	0	4	5	3	19	0	0	0
HEB24034	383474	30795	2962	78226	1321	334	141651	204	147	125	526	115	35	39	1602	28	9	15	14	7	0	2	0	0	38	0	0	0
HEB24037	169188	66520	3543	37971	488	370	221557	246	111	43	567	102	22	36	218	31	11	16	9	13	5	5	8	0	44	0	0	0
HEB24044	234617	67952	3623	59469	517	368	198411	259	103	93	526	108	40	55	260	48	20	19	12	9	4	0	12	6	50	0	2	0
HEB24059	164277	62849	2365	9675	381	202	121786	167	114	75	319	771	25	33	1355	26	10	6	0	9	0	0	0	6	21	0	0	0
HEB24081	24259	455185	4059	5738	568	567	167251	235	106	94	886	116	24	57	829	25	11	21	16	11	2	6	0	0	95	0	0	0
HEB24106	213645	22197	3576	16102	1926	574	338261	317	113	52	493	251	28	66	318	45	14	26	16	11	0	0	0	0	87	2	0	0
HEB24110	61425	8597	4473	2425	688	787	503557	396	119	89	422	272	43	66	166	49	20	25	25	13	2	0	0	0	40	0	3	5
HEB24113	64562	7708	2816	4546	437	308	277250	254	77	37	331	123	25	46	183	42	8	18	13	9	0	0	0	0	22	4	0	0
HEB24122	232145	81112	4434	296416	589	446	156429	358	126	84	1435	241	43	68	1052	53	21	20	16	9	5	4	0	10	65	2	0	0
HEB24133	150697	119519	2572	54329	606	290	102458	167	107	52	423	57	24	42	611	17	12	14	13	8	0	4	0	5	28	0	0	2
HEB24134	276314	6766	2906	186210	2141	259	127916	229	96	48	483	363	28	35	1754	27	16	18	14	10	0	0	0	0	20	2	0	0
HEB24135	236675	98758	3478	37732	737	280	148105	257	95	66	419	80	36	56	901	48	17	19	13	13	0	0	0	0	31	9	0	6
HEB24136	257878	86170	3375	160585	5111	617	117221	267	114	55	539	67	34	47	1294	34	14	28	8	7	3	0	6	0	88	4	0	0
HEB24137	164944	65973	3969	150777	496	397	161269	270	121	57	7433	157	34	54	517	41	22	30	12	13	3	2	4	9	27	0	0	0
HEB24138	271142	106293	3441	103167	523	377	169634	239	109	53	523	61	21	50	656	24	13	13	12	10	0	0	6	0	89	3	0	4
