feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24001	-1.52531796838412	-1.95173537488003	-7.15020636032485	-3.3779627227864	-8.51348555500567	-10.5560569387573	-1.82242367355891	-11.0857370039773	-12.2583763901166	-12.4971632497037	-9.96609375697778	-11.2583763901166	-13.8190913445911	-14.0535565982281	-8.89546673322278	-13.6815878208412	-14.9710944380362	-14.3336645174209	-15.1410194394785	-16.1410194394785	-19.332458386144	-19.2914697605648	-18.0863617321916	-18.1178121742151	-14.6815878208412	-19.5641774067937	-17.1410194394785	-18.7208621298642
HEB24002	-1.19424290822888	-6.62943824653027	-7.67517986952745	-1.23741405072695	-7.92902813033107	-10.8222482573129	-3.10612728271594	-11.2922749911894	-12.5948377612098	-13.2922749911894	-10.0219480927893	-12.8012886386773	-14.331803355376	-14.9167658560972	-10.0382039835472	-13.6943734347608	-14.5948377612098	-13.9781664007613	-15.9167658560972	-15.6943734347608	-19.332458386144	-19.2914697605648	-18.0863617321916	-18.1178121742151	-13.9781664007613	-19.5641774067937	-19.1119277895598	-18.7208621298642
HEB24003	-1.09091562078569	-6.3516588413675	-7.39961529816901	-3.08202348006885	-9.47911321848338	-10.7957209814375	-1.36883885490902	-11.0048977832698	-12.0569862944182	-13.4440094175275	-10.3052453475716	-9.38622592094183	-15.1444491356686	-14.337094213611	-9.19900529929065	-14.4440094175275	-15.5594866349474	-15.8225210407812	-14.4440094175275	-15.337094213611	-19.332458386144	-19.2914697605648	-18.0863617321916	-18.1178121742151	-13.5005929458938	-19.5641774067937	-19.1119277895598	-18.7208621298642
HEB24004	-2.21379185320361	-5.33503720143456	-7.14626729178347	-0.960055833979292	-8.05443971336782	-10.1539753869187	-2.1527039282916	-10.7978315766935	-12.4554393792464	-12.7225434493892	-8.00341571034335	-8.96856187820742	-14.7978315766935	-14.2128690759723	-9.03343385524752	-13.7978315766935	-15.0202239980299	-14.2128690759723	-15.7978315766935	-16.2832584038637	-19.332458386144	-19.2914697605648	-18.0863617321916	-18.1178121742151	-13.9613303089763	-16.6051864987511	-19.1119277895598	-18.7208621298642
HEB24005	-2.37395414829291	-5.87566652070943	-7.04075867104171	-1.91953337773388	-9.88802528396381	-10.2551919336235	-0.969349111490951	-10.8363925155485	-11.9056551779856	-12.3769608969112	-9.36268676592908	-12.2972337044405	-14.1359527974074	-13.0035025013837	-8.73048400697733	-13.5884650021049	-15.5144644206611	-15.0290375934909	-14.7489296742982	-15.0290375934909	-16.8363925155485	-19.2914697605648	-16.2514300148273	-18.1178121742151	-14.92950191994	-16.5144644206611	-19.1119277895598	-18.7208621298642
HEB24006	-1.54546735584497	-5.32640350783016	-7.39682159213812	-2.11812418075719	-10.0190998884073	-10.8181128306742	-1.35378228801916	-11.0116824168448	-12.2791627277098	-14.0954507745374	-9.67064549900978	-12.8910922760313	-14.8116578085369	-14.4490877291521	-10.0529586924234	-13.864125228431	-15.0340502298733	-14.2970846357071	-18.0637163232569	-15.0340502298733	-16.6190127305945	-19.2914697605648	-18.0863617321916	-15.6190127305945	-13.4095593649655	-16.6190127305945	-19.1119277895598	-18.7208621298642
HEB24016	-2.66450516700159	-1.74848714036014	-7.21626741927445	-1.89591599227356	-9.77139469045485	-10.4490064791417	-1.93277379321089	-11.035810326687	-12.3088288210934	-12.5879828922905	-9.68433795618562	-12.4343597031773	-14.1568257276484	-13.4787538225357	-8.49956683327115	-13.7783141043946	-14.8937913218146	-14.4787538225357	-17.0637163232569	-16.0637163232569	-16.4787538225357	-19.2914697605648	-18.0863617321916	-18.1178121742151	-13.0193222038984	-16.7417882283695	-19.1119277895598	-18.7208621298642
HEB24023	-4.73236247531894	-2.78897475007463	-6.85273482556161	-4.87588647909445	-9.59711466990669	-9.75167924339672	-0.38406866424581	-10.5456945785819	-12.2052958801958	-12.7966561521151	-8.14512603445495	-11.3459947431055	-13.9810807232525	-12.9380120013606	-10.3077984195446	-13.5336217462813	-15.1185842470025	-14.025474842611	-15.2181199205534	-14.8555498411687	-16.2181199205534	-19.2914697605648	-18.0863617321916	-18.1178121742151	-13.7400726237487	-15.4405123418898	-19.1119277895598	-18.7208621298642
HEB24025	-1.50386927235431	-2.69697471142625	-7.2854495572563	-1.59143520255099	-8.46317614568709	-11.218958897672	-2.74828298407391	-11.2351691248532	-12.417372456074	-13.2765099202341	-10.0807228554798	-12.7485783645493	-15.1178121742151	-13.2433430562989	-10.4836061544741	-13.6153118336859	-15.1178121742151	-15.0023349567951	-16.1178121742151	-15.3808465800489	-19.332458386144	-16.7027746749362	-16.3808465800489	-17.1178121742151	-14.4548471614926	-19.5641774067937	-19.1119277895598	-18.7208621298642
HEB24034	-0.742700521548801	-4.38106125284768	-7.75911383527596	-3.03610918477741	-8.92405500931798	-10.9077654680908	-2.17948849952	-11.6190444185933	-12.0917974157284	-12.3256854759027	-10.2525507712725	-12.4459797096204	-14.1621867436198	-14.0060675417026	-8.64581132815609	-14.4841148385072	-16.1215447591225	-15.3845791649563	-15.4841148385072	-16.4841148385072	-19.332458386144	-18.2914697605648	-18.0863617321916	-18.1178121742151	-14.0435422471212	-19.5641774067937	-19.1119277895598	-18.7208621298642
