feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria	Day_Num	Day_Num	-0.141916395954934	0.0607013814656692	24	24	0.0288874477778209	0.144437238889104
k__Bacteria.p__Tenericutes	Day_Num	Day_Num	0.469921982670158	0.186316700344392	24	24	0.0219285023381534	0.144437238889104
k__Bacteria.p__Bacteroidetes	Day_Num	Day_Num	0.325326840769499	0.171122366998186	24	24	0.0743739580341637	0.247913193447212
k__Bacteria.p__Firmicutes	Day_Num	Day_Num	-0.079798269182529	0.0523861459516067	24	24	0.14607633675827	0.250011712580323
k__Bacteria.p__Verrucomicrobia	Day_Num	Day_Num	0.218127865406988	0.150989970000692	24	24	0.166735577172513	0.250011712580323
k__Bacteria.p__Proteobacteria	Day_Num	Day_Num	-0.0723073068523236	0.0510858688901736	24	24	0.175008198806226	0.250011712580323
Unassigned.__	Day_Num	Day_Num	-0.382713077895172	0.220256249159264	24	11	0.100365147731237	0.250011712580323
k__Bacteria.__	Day_Num	Day_Num	-0.0849000138455983	0.064058946166456	24	24	0.202594874163026	0.253243592703782
k__Bacteria.p__Deferribacteres	Day_Num	Day_Num	-0.0481985166634512	0.0979299770212363	24	24	0.628892233414619	0.698769148238466
k__Bacteria.p__Cyanobacteria	Day_Num	Day_Num	-0.00705299670934684	0.0466522669116004	24	24	0.881611421146554	0.881611421146554
