feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	TimePoint	Intervention	1.34657484101928	0.302341708577732	24	24	0.000348555262741855	0.0104566578822557
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	TimePoint	Intervention	0.404215221909399	0.328003349229043	24	24	0.343032274622764	0.968208299620492
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	TimePoint	Intervention	-0.238588514709666	1.90202672732088	24	24	0.911648037772291	0.968208299620492
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	TimePoint	Intervention	-0.0478665541150068	0.186587304975655	24	24	0.821513748461527	0.968208299620492
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	TimePoint	Intervention	0.719548354256124	0.660216027578841	24	24	0.389581624733323	0.968208299620492
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	TimePoint	Intervention	0.129425678341853	0.616755497020121	24	24	0.853221305542398	0.968208299620492
k__Bacteria.__.__.__	TimePoint	Intervention	-0.0409685771710532	0.211504513543326	24	24	0.864299863940793	0.968208299620492
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	TimePoint	Intervention	-0.460213252140104	0.325015450503125	24	24	0.174844461101009	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	TimePoint	Intervention	-0.152005792037655	0.128765354165212	24	24	0.359182757716051	0.968208299620492
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	TimePoint	Intervention	0.00457659869661406	0.101745818268818	24	24	0.968208299620492	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	TimePoint	Intervention	-0.0181575979783841	0.186175724700359	24	24	0.923446673512824	0.968208299620492
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	TimePoint	Intervention	0.0282121891038809	0.39796147343166	24	24	0.944311208426759	0.968208299620492
k__Bacteria.p__Firmicutes.c__Clostridia.__	TimePoint	Intervention	-0.0632601105879475	0.733856159953206	24	24	0.939158669432019	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	TimePoint	Intervention	-0.0890333148154872	0.192327615187516	24	24	0.647964431487517	0.968208299620492
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	TimePoint	Intervention	-0.35406052149016	0.514605992803552	24	24	0.562520503086346	0.968208299620492
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	TimePoint	Intervention	-0.308512856838377	0.203156231702446	24	24	0.26818906589309	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	TimePoint	Intervention	0.0429226686188587	0.143629802056675	24	24	0.767864967251362	0.968208299620492
k__Bacteria.p__Firmicutes.__.__	TimePoint	Intervention	0.0952798529035053	0.206169935678255	24	24	0.649838862626368	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	TimePoint	Intervention	0.128100284585249	0.255701244794196	24	23	0.622812222722634	0.968208299620492
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	TimePoint	Intervention	-0.0822941506730659	0.219433787556338	24	24	0.711229673736267	0.968208299620492
Unassigned.__.__.__	TimePoint	Intervention	-0.570987021910068	0.820373026095587	24	14	0.558427948125081	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	TimePoint	Intervention	-0.666557337202095	0.429002024239928	24	7	0.134515232212476	0.968208299620492
k__Bacteria.p__Bacteroidetes.__.__	TimePoint	Intervention	-0.362362121199119	0.941307559161845	24	13	0.737351012335154	0.968208299620492
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	TimePoint	Intervention	-0.167809800615904	0.521383296537812	24	10	0.750600797425508	0.968208299620492
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	TimePoint	Intervention	-0.29350531540243	0.284799899621705	24	24	0.317184138045121	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	TimePoint	Intervention	0.767493798194298	0.67629232609175	24	16	0.374134550264722	0.968208299620492
k__Bacteria.p__Firmicutes.c__Bacilli.__	TimePoint	Intervention	0.481087614929488	0.999282133073316	24	5	0.677736923039106	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	TimePoint	Intervention	-0.139083837190065	0.371038645585652	24	3	0.712407329525133	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__	TimePoint	Intervention	0.236029774645326	0.262639404600076	24	3	0.463664218081923	0.968208299620492
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales	TimePoint	Intervention	0.260700890463125	0.521389508156478	24	3	0.6666568455051	0.968208299620492
