feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24001	-1.52531796838412	-1.95173537488003	-7.15020636032485	-3.3779627227864	-8.51348555500567	-10.5560569387573	-1.82242367355891	-11.0857370039773	-12.2583763901166	-12.4971632497037	-9.96609375697778	-11.2583763901166	-13.8190913445911	-14.0535565982281	-8.89546673322278	-13.6815878208412	-14.9710944380362	-14.3336645174209	-15.1410194394785	-16.1410194394785	-19.349136499311	-19.0863617321916	-19.1945058304213	-18.5547547818697	-14.6815878208412	-19.564181128994	-19.564181128994	-17.1410194394785	-18.7771472032062	-18.7208621298642
HEB24002	-1.19424290822888	-6.62943824653027	-7.67517986952745	-1.23741405072695	-7.92902813033107	-10.8222482573129	-3.10612728271594	-11.2922749911894	-12.5948377612098	-13.2922749911894	-10.0219480927893	-12.8012886386773	-14.331803355376	-14.9167658560972	-10.0382039835472	-13.6943734347608	-14.5948377612098	-13.9781664007613	-15.9167658560972	-15.6943734347608	-19.349136499311	-19.0863617321916	-19.1945058304213	-18.5547547818697	-13.9781664007613	-19.564181128994	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24003	-1.09091562078569	-6.3516588413675	-7.39961529816901	-3.08202348006885	-9.47911321848338	-10.7957209814375	-1.36883885490902	-11.0048977832698	-12.0569862944182	-13.4440094175275	-10.3052453475716	-9.38622592094183	-15.1444491356686	-14.337094213611	-9.19900529929065	-14.4440094175275	-15.5594866349474	-15.8225210407812	-14.4440094175275	-15.337094213611	-19.349136499311	-19.0863617321916	-19.1945058304213	-18.5547547818697	-13.5005929458938	-19.564181128994	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24004	-2.21379185320361	-5.33503720143456	-7.14626729178347	-0.960055833979292	-8.05443971336782	-10.1539753869187	-2.1527039282916	-10.7978315766935	-12.4554393792464	-12.7225434493892	-8.00341571034335	-8.96856187820742	-14.7978315766935	-14.2128690759723	-9.03343385524752	-13.7978315766935	-15.0202239980299	-14.2128690759723	-15.7978315766935	-16.2832584038637	-19.349136499311	-19.0863617321916	-19.1945058304213	-18.5547547818697	-13.9613303089763	-16.6051864987511	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24005	-2.37396339474757	-5.8756757671641	-7.04076791749638	-1.91954262418855	-9.88803453041848	-10.2552011800782	-0.969358357945616	-10.8364017620032	-11.9056644244403	-12.3769701433659	-9.36269601238374	-12.2972429508951	-14.1359620438621	-13.0035117478384	-8.730493253432	-13.5884742485596	-15.5144736671158	-15.0290468399456	-14.7489389207528	-15.0290468399456	-16.8364017620032	-19.0863617321916	-16.251439261282	-18.5547547818697	-14.9295111663946	-16.5144736671158	-19.564181128994	-20.349136499311	-17.251439261282	-18.7208621298642
HEB24006	-1.54546735584497	-5.32640350783016	-7.39682159213812	-2.11812418075719	-10.0190998884073	-10.8181128306742	-1.35378228801916	-11.0116824168448	-12.2791627277098	-14.0954507745374	-9.67064549900978	-12.8910922760313	-14.8116578085369	-14.4490877291521	-10.0529586924234	-13.864125228431	-15.0340502298733	-14.2970846357071	-17.2731422217224	-15.0340502298733	-16.6190127305945	-19.0863617321916	-19.1945058304213	-15.6190127305945	-13.4095593649655	-16.6190127305945	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24023	-4.73236247531894	-2.78897475007463	-6.85273482556161	-4.87588647909445	-9.59711466990669	-9.75167924339672	-0.38406866424581	-10.5456945785819	-12.2052958801958	-12.7966561521151	-8.14512603445495	-11.3459947431055	-13.9810807232525	-12.9380120013606	-10.3077984195446	-13.5336217462813	-15.1185842470025	-14.025474842611	-15.2181199205534	-14.8555498411687	-16.2181199205534	-19.0863617321916	-19.1945058304213	-18.5547547818697	-13.7400726237487	-15.4405123418898	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24025	-1.50386927235431	-2.69697471142625	-7.2854495572563	-1.59143520255099	-8.46317614568709	-11.218958897672	-2.74828298407391	-11.2351691248532	-12.417372456074	-13.2765099202341	-10.0807228554798	-12.7485783645493	-15.1178121742151	-13.2433430562989	-10.4836061544741	-13.6153118336859	-15.1178121742151	-15.0023349567951	-16.1178121742151	-15.3808465800489	-19.349136499311	-16.7027746749362	-16.3808465800489	-17.1178121742151	-14.4548471614926	-19.564181128994	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24037	-1.56654038742851	-2.91330755972283	-7.14405235777914	-3.72219773423579	-10.0040707703346	-10.4034266473811	-1.17748972457518	-10.9922936025582	-12.1403922415474	-13.5085433531954	-9.78760318295523	-12.262382765926	-14.4753764892602	-13.7648831064551	-11.1666237831205	-13.9806117975106	-15.4753764892602	-14.9348081078975	-15.7648831064551	-15.2343683897564	-16.6128800130101	-16.6128800130101	-15.9348081078975	-18.5547547818697	-13.4753764892602	-19.564181128994	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24044	-1.27197976242523	-3.05969939621235	-7.28895869910647	-3.25207759370716	-10.0979073192448	-10.5883658335027	-1.51379530348318	-11.0951195018732	-12.4254272623765	-12.5727689784517	-10.0730088002675	-12.3570402873963	-13.7899996946724	-13.3305680760351	-11.0895599765313	-13.5269652888386	-14.7899996946724	-14.8640002761162	-15.5269652888386	-15.9420027881174	-17.1119277895598	-19.0863617321916	-15.5269652888386	-16.5269652888386	-13.468071599785	-19.564181128994	-19.564181128994	-18.1119277895598	-18.7771472032062	-18.7208621298642
