feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Tenericutes	TimePoint	Intervention	1.34657420181847	0.302341356808181	24	24	0.000348552971475396	0.00348552971475396
k__Bacteria.p__Bacteroidetes	TimePoint	Intervention	0.404210732378191	0.327985418128657	24	24	0.343015803468284	0.960330067086776
k__Bacteria.p__Firmicutes	TimePoint	Intervention	-0.0849305995048603	0.131256435334215	24	24	0.583941545546245	0.960330067086776
k__Bacteria.p__Verrucomicrobia	TimePoint	Intervention	0.12942503914102	0.616756769692858	24	24	0.853222311178804	0.960330067086776
k__Bacteria.__	TimePoint	Intervention	-0.040969216371861	0.211503365093428	24	24	0.864297060378099	0.960330067086776
k__Bacteria.p__Proteobacteria	TimePoint	Intervention	-0.101029889499084	0.108060197736611	24	24	0.448516995949441	0.960330067086776
k__Bacteria.p__Actinobacteria	TimePoint	Intervention	-0.281698063243884	0.196920761243857	24	24	0.288852936577901	0.960330067086776
k__Bacteria.p__Deferribacteres	TimePoint	Intervention	-0.0822947898738751	0.219433597803785	24	24	0.711227300417057	0.960330067086776
Unassigned.__	TimePoint	Intervention	-0.570987661110813	0.820371774331955	24	14	0.558427007763854	0.960330067086776
k__Bacteria.p__Cyanobacteria	TimePoint	Intervention	0.00457595949582147	0.101746808879995	24	24	0.968213102851682	0.968213102851682
