feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24001	100421	186716	791	192	222	59	50	607	4	0
HEB24002	162208	206529	1523	205	224	60	63	353	7	0
HEB24003	136027	152340	406	163	194	68	52	493	7	0
HEB24004	85961	309725	1500	350	320	71	74	761	5	0
HEB24005	90306	375142	494	383	405	122	110	1102	14	4
HEB24006	137927	263255	388	223	248	81	90	379	12	4
HEB24023	20075	511028	689	619	506	113	152	421	18	7
HEB24025	150453	274093	1209	179	254	78	100	298	10	0
HEB24037	169196	330276	488	370	336	111	111	218	13	5
HEB24044	234629	330108	517	368	426	103	159	260	9	4
HEB24106	213645	380906	1926	574	429	113	198	318	11	0
HEB24122	232145	540089	589	446	528	126	196	1052	9	5
HEB24133	150697	279372	606	290	274	107	92	611	8	0
HEB24134	276314	324662	2141	259	337	96	82	1754	10	0
HEB24135	236675	288591	737	280	404	95	135	901	13	0
HEB24136	257884	367988	5111	617	382	114	169	1294	7	3
HEB24137	164948	389608	496	397	397	121	131	517	13	3
HEB24138	271148	383132	523	377	345	109	163	656	10	0
HEB24169	540479	789869	1371	1059	792	221	304	1546	29	4
HEB24170	321756	1018137	1271	850	1029	273	415	3969	33	10
HEB24171	396062	614251	1199	775	655	183	252	1291	16	7
HEB24172	146505	1200041	1965	3887	1281	315	414	6558	37	13
HEB24173	463100	783542	1069	666	851	206	260	1654	17	9
HEB24174	334763	1159222	1127	665	754	228	288	2821	28	5
