feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24001	-1.52531796838412	-0.630533405278228	-8.51348555500567	-10.5560569387573	-10.3466035731284	-12.2583763901166	-12.4971632497037	-8.89546673322278	-16.1410194394785	-19.349136499311
HEB24002	-1.19424290822888	-0.845743508878849	-7.92902813033107	-10.8222482573129	-10.6943734347608	-12.5948377612098	-12.5244484333184	-10.0382039835472	-15.6943734347608	-19.349136499311
HEB24003	-1.09091562078569	-0.927513860412535	-9.47911321848338	-10.7957209814375	-10.5445362934814	-12.0569862944182	-12.4440094175275	-9.19900529929065	-15.337094213611	-19.349136499311
HEB24004	-2.21379185320361	-0.364558186925306	-8.05443971336782	-10.1539753869187	-10.2832584038637	-12.4554393792464	-12.3957331331221	-9.03343385524752	-16.2832584038637	-19.349136499311
HEB24005	-2.37386753779655	-0.319324494842472	-9.88803453041848	-10.2552011800782	-10.1746236642312	-11.9056644244403	-12.0550420484785	-8.730493253432	-15.0290468399456	-16.8364017620032
HEB24006	-1.54546735584497	-0.612911323551662	-10.0190998884073	-10.8181128306742	-10.6648164202076	-12.2791627277098	-12.1271596342648	-10.0529586924234	-15.0340502298733	-16.6190127305945
HEB24023	-4.73236247531894	-0.062432027393932	-9.59711466990669	-9.75167924339672	-10.0424812679167	-12.2052958801958	-11.7775473291674	-10.3077984195446	-14.8555498411687	-16.2181199205534
HEB24025	-1.50382132651694	-0.638468716532148	-8.46317614568709	-11.218958897672	-10.7140899881641	-12.417372456074	-12.0589184851615	-10.4836061544741	-15.3808465800489	-19.349136499311
HEB24037	-1.56647217167168	-0.601495495623395	-10.0040707703346	-10.4034266473811	-10.5424906851187	-12.1403922415474	-12.1403922415474	-11.1666237831205	-15.2343683897564	-16.6128800130101
HEB24044	-1.27190597451656	-0.779349213156029	-10.0979073192448	-10.5883658335027	-10.3772181693339	-12.4254272623765	-11.7990448342754	-11.0895599765313	-15.9420027881174	-17.1119277895598
HEB24106	-1.48521940582567	-0.650999946107696	-8.27868344599498	-10.0251685071627	-10.4452415963389	-12.3698964714232	-11.5607188137588	-10.8771924785541	-15.7306438152011	-19.349136499311
HEB24122	-1.73951444646281	-0.521343489357564	-10.3620573051635	-10.7632812290737	-10.5197870096356	-12.5869012054941	-11.9494712848788	-9.5252621397017	-16.3942561275517	-17.2422530341066
HEB24133	-1.51957095865221	-0.629034221241848	-9.4776881463912	-10.5409530398492	-10.6228300469036	-11.979395143463	-12.1973001738071	-9.46583356004542	-15.7208621298642	-19.349136499311
HEB24134	-1.13218756250318	-0.899557688979857	-8.14406761757888	-11.1913284102778	-10.8115319167825	-12.6231741972432	-12.8505846933463	-8.43170366551966	-15.886208603077	-19.349136499311
HEB24135	-1.15716876183584	-0.871049775321087	-9.48419574930057	-10.8804335414507	-10.3515050756438	-12.4398609500647	-11.9329009613448	-9.1943332625821	-15.3092768402545	-19.349136499311
HEB24136	-1.29677948108641	-0.783843026173854	-6.95375234572219	-10.004015542573	-10.6957133936867	-12.4402522075577	-11.8722627854402	-8.9355203197299	-16.4657872996648	-17.6881797210012
HEB24137	-1.75470997247139	-0.514697956510543	-10.1321654218047	-10.4533665350487	-10.4533665350487	-12.167498494917	-12.0529387306542	-10.0723412618767	-15.3859220140505	-17.5013992314705
HEB24138	-1.27563317027343	-0.776872171527226	-10.2936870374713	-10.7659334604496	-10.8939016220527	-12.5561698489413	-11.9756260194872	-9.96680216910019	-16.0024260788309	-19.349136499311
HEB24169	-1.30525746090953	-0.757882623131014	-9.9281236435318	-10.3006496253187	-10.7197798792314	-12.5612339399196	-12.1012089858674	-9.75481189538618	-15.4911555041835	-18.349136499311
HEB24170	-2.06650645970825	-0.40461371362902	-10.0503656707393	-10.6307949547192	-10.3550867188503	-12.2693568448244	-11.6651464595099	-8.40755413874439	-15.3177198663858	-17.0401858908569
HEB24171	-1.35724226161197	-0.72414024943735	-9.72499308175534	-10.354556525008	-10.5972579287448	-12.4369091868855	-11.9753291016696	-9.61833573986238	-15.9526090251696	-17.145254103112
HEB24172	-3.21566221949563	-0.181600330081854	-9.43593899933236	-8.45181120413914	-10.0531978361367	-12.0770445780911	-11.682765638979	-7.69721241008527	-15.1667992308494	-16.6758128783372
HEB24173	-1.43411737219883	-0.675430520059225	-10.1930354659568	-10.875703236606	-10.5220662819913	-12.568581076494	-12.2327137906488	-9.56333808450597	-16.1676187624269	-17.0851566022349
HEB24174	-2.1636552931399	-0.371710399617801	-10.3781640488581	-11.1392253186418	-10.9580151357616	-12.6835458348656	-12.346510847588	-9.05444489844473	-15.7090809269727	-18.1945077541429
