feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__.s__	TimePoint	Intervention	1.34657269055218	0.302340985371613	24	24	0.00034855261833366	0.0313697356500294
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4.s__	TimePoint	Intervention	-0.423725910818146	0.122446065187271	24	24	0.002225026461356	0.10012619076102
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	TimePoint	Intervention	0.410000839230302	0.329498389213181	24	24	0.339429478021365	0.979103109541539
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__.s__	TimePoint	Intervention	-0.326265374699845	2.09269575342281	24	24	0.890421153070966	0.979103109541539
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__.s__	TimePoint	Intervention	-0.142705827788521	0.105998717111415	24	24	0.195884810838696	0.979103109541539
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	TimePoint	Intervention	-0.128823729321833	0.100801669683062	24	24	0.218427738299707	0.979103109541539
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__cereus	TimePoint	Intervention	0.113809632684847	0.281780785263447	24	24	0.725383772806127	0.979103109541539
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__	TimePoint	Intervention	-0.103291365626391	0.165510852280405	24	24	0.596274091029888	0.979103109541539
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__	TimePoint	Intervention	0.719546203789017	0.660213546366245	24	24	0.38958133008302	0.979103109541539
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	TimePoint	Intervention	0.129423527874766	0.616753883265474	24	24	0.853223316015779	0.979103109541539
k__Bacteria.__.__.__.__.__.__	TimePoint	Intervention	-0.0409707276381396	0.21150503040339	24	24	0.86429319703337	0.979103109541539
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__.s__	TimePoint	Intervention	0.718091637543973	0.789280634725189	24	24	0.458961397367143	0.979103109541539
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__helveticus	TimePoint	Intervention	-0.100224692128406	0.170560914651992	24	24	0.616295881893114	0.979103109541539
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__	TimePoint	Intervention	-0.560243800663226	0.440314402872111	24	24	0.331157261053002	0.979103109541539
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__.s__	TimePoint	Intervention	-0.203407833180503	0.132316466714327	24	24	0.14262774183788	0.979103109541539
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__	TimePoint	Intervention	-0.804323615950315	0.45366060232157	24	24	0.0941512993913745	0.979103109541539
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__.s__	TimePoint	Intervention	-0.150412271641507	0.121241928409151	24	24	0.340544839098087	0.979103109541539
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__	TimePoint	Intervention	0.00457444822953911	0.101741911681215	24	24	0.968224186102188	0.979103109541539
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala.s__biternata	TimePoint	Intervention	-0.0181597484454794	0.186175439212223	24	24	0.923437520440365	0.979103109541539
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__	TimePoint	Intervention	-0.00803225304456924	0.113371798879852	24	24	0.944344913606739	0.979103109541539
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__	TimePoint	Intervention	-0.183248456992956	0.138836766374208	24	24	0.317695194512557	0.979103109541539
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	TimePoint	Intervention	-0.419996772682568	0.440696566395856	24	24	0.441157699553962	0.979103109541539
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__	TimePoint	Intervention	-0.41880399904318	0.646868332997233	24	24	0.583742790293742	0.979103109541539
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium.s__	TimePoint	Intervention	-0.930834395867474	0.438979281263259	24	24	0.0489785650153519	0.979103109541539
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__	TimePoint	Intervention	-0.0829147869192831	0.400035239425235	24	24	0.838262493657447	0.979103109541539
