feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia	TimePoint	Intervention	0.748566231535279	0.233158280283032	24	24	0.00512968695908013	0.0872046783043623
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	TimePoint	Intervention	0.659809541542773	0.354873036470747	24	24	0.0803842060680819	0.683265751578696
k__Bacteria.p__Firmicutes.c__Bacilli	TimePoint	Intervention	-0.597948776330004	0.398380753005799	24	24	0.151714669667319	0.773024258203798
k__Bacteria.p__Bacteroidetes.__	TimePoint	Intervention	-0.877583057812256	0.436187072491227	24	17	0.181888060753835	0.773024258203798
k__Bacteria.__.__	TimePoint	Intervention	-0.0904494017015008	0.291049091160285	24	24	0.785372822250675	0.938940857875584
k__Bacteria.p__Firmicutes.c__Clostridia	TimePoint	Intervention	-0.265474574962905	0.328359179871094	24	24	0.429979167084631	0.938940857875584
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	TimePoint	Intervention	0.125687427430708	0.116370354447614	24	24	0.295199179007409	0.938940857875584
k__Bacteria.p__Cyanobacteria.c__Chloroplast	TimePoint	Intervention	0.0175083053553421	0.202382471743852	24	24	0.938940857875584	0.938940857875584
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	TimePoint	Intervention	-0.0398645515690503	0.242701913852188	24	24	0.884631017653742	0.938940857875584
k__Bacteria.p__Firmicutes.c__Erysipelotrichi	TimePoint	Intervention	0.268944356546197	0.606796337391024	24	24	0.663195182724364	0.938940857875584
k__Bacteria.p__Actinobacteria.c__Actinobacteria	TimePoint	Intervention	0.0749357588495805	0.332137367216417	24	24	0.842457263092382	0.938940857875584
k__Bacteria.p__Tenericutes.c__Mollicutes	TimePoint	Intervention	-0.206400374541356	0.492961854579908	24	24	0.680681681502507	0.938940857875584
k__Bacteria.p__Firmicutes.__	TimePoint	Intervention	0.233952688494287	0.274710529144264	24	24	0.484121761856774	0.938940857875584
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	TimePoint	Intervention	-0.132453320234556	0.328285343901227	24	23	0.72565304697217	0.938940857875584
k__Bacteria.p__Deferribacteres.c__Deferribacteres	TimePoint	Intervention	0.0792220982247004	0.382435771494139	24	22	0.838352681674436	0.938940857875584
Unassigned.__.__	TimePoint	Intervention	-0.0762803521974975	0.559396747238864	24	14	0.904022769853246	0.938940857875584
k__Bacteria.p__Actinobacteria.c__Coriobacteriia	TimePoint	Intervention	-0.0193139511520744	0.237756841272135	24	24	0.936204550699515	0.938940857875584
