feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia
HEB24007	150217	168379	691	340	81286	224	82	68	596	62	658	14	0	15	5	3	38
HEB24008	195648	249498	314	231	40735	197	75	60	470	42	988	20	7	0	3	3	28
HEB24017	91982	360261	455	405	82584	266	96	83	1066	80	669	14	11	12	4	5	30
HEB24040	98001	677204	1194	972	375918	525	206	184	1212	188	1060	47	30	18	5	9	120
HEB24042	278916	66392	1349	406	200292	256	126	88	1135	64	726	22	13	12	0	6	43
HEB24058	151705	180674	507	352	189969	258	113	79	1287	75	3037	24	13	7	3	7	22
HEB24088	152111	143986	575	353	122103	196	86	48	1581	60	934	15	12	6	0	0	45
HEB24090	94815	304318	14390	372	87425	185	65	73	617	60	558	9	11	5	4	9	80
HEB24097	206924	67562	4535	217	50371	216	97	56	160187	64	280	13	12	0	0	0	19
HEB24098	78799	37052	740	681	275672	282	78	79	549	58	847	19	11	11	0	0	58
HEB24099	396879	218526	71341	599	128751	304	126	79	504	83	2034	34	21	12	3	7	120
HEB24100	208611	54775	489	372	215200	287	84	73	503	82	963	23	10	15	4	0	18
HEB24139	277801	220286	1156	443	100134	242	88	67	564	68	644	11	11	7	3	3	45
HEB24140	297093	379123	402	220	40821	241	102	77	438	87	268	16	14	9	0	0	49
HEB24141	189568	82424	5276	294	117310	287	86	66	72195	56	469	24	13	9	3	0	22
HEB24142	161927	191113	2756	500	170103	264	107	73	485	71	600	28	11	12	0	5	106
HEB24143	148011	111240	15124	188	83590	186	74	58	277	51	624	9	9	3	0	3	34
HEB24144	159045	133298	314	230	92806	177	63	39	348	61	643	16	7	9	0	0	21
HEB24175	446115	505177	1808	860	204909	619	213	154	1947	151	2864	62	29	20	0	7	106
HEB24176	346448	311876	815	588	230559	429	198	149	988	167	1728	37	28	13	6	4	108
HEB24177	292142	99408	6938	1197	562058	680	280	186	64108	243	786	48	34	30	0	6	61
HEB24178	736044	112251	3875	1690	484320	793	340	267	2427	265	11792	58	40	28	18	9	140
HEB24179	645112	510241	32931	968	326037	701	282	214	991	245	653	63	38	31	9	17	144
HEB24180	398304	587524	1096	877	230516	559	241	234	1235	249	2493	55	25	30	11	7	118
