feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	TimePoint	Intervention	0.750909955811852	0.233981296131768	24	24	0.00514390222793517	0.274597621012656
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	TimePoint	Intervention	0.398903132921804	0.139243566550715	24	24	0.00900320068893955	0.274597621012656
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	TimePoint	Intervention	-1.84102031293672	1.21957550607046	24	24	0.270222301208072	0.970802383618676
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	TimePoint	Intervention	-0.137958084842832	0.134564603627753	24	24	0.413064964366495	0.970802383618676
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	TimePoint	Intervention	-0.136586638307284	0.105714305209876	24	24	0.325502044773418	0.970802383618676
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	TimePoint	Intervention	0.00601695450673232	0.0929950612774424	24	24	0.949166140132683	0.970802383618676
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	TimePoint	Intervention	0.735939852387186	1.23859754080182	24	24	0.612652667705619	0.970802383618676
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	TimePoint	Intervention	0.65981040907756	0.354875239689308	24	24	0.0803856150710781	0.970802383618676
k__Bacteria.__.__.__.__	TimePoint	Intervention	-0.0904485341666792	0.291050187504922	24	24	0.785375555985969	0.970802383618676
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	TimePoint	Intervention	-1.12996572075793	1.06004084380675	24	24	0.39808486804701	0.970802383618676
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	TimePoint	Intervention	-0.152106029867757	0.403680454197577	24	24	0.742545001766109	0.970802383618676
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	TimePoint	Intervention	-0.178549556050657	0.139929934913999	24	24	0.330107510091195	0.970802383618676
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	TimePoint	Intervention	-0.461859412484941	0.60929468648892	24	24	0.527580720694657	0.970802383618676
