feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Firmicutes.c__Bacilli.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.
HEB24007	149831	4833	1612	543	778	160320	691	340	705	9996	285	42308	197	82	55	220	596	11935	13206	95	62	309	2304	30	27	19	658	24	0	11	14	0	15	0	0	5	5	5	0	6	8	0	57	431	0	3	3	9	5	38	2	0	0	0	0	0	0	0	0	0	0
HEB24008	195250	172990	1848	553	652	73116	314	231	984	6514	335	15765	171	75	52	247	470	7641	6799	96	55	257	2543	26	26	18	988	16	0	8	20	7	0	0	4	0	0	3	0	0	0	0	34	167	0	3	4	0	5	28	0	0	0	0	0	0	4	0	0	0	0
HEB24017	91544	189345	2779	838	993	165804	455	405	11357	8345	495	38649	235	96	66	290	1066	10746	9750	85	49	69	3116	46	31	27	669	37	20	11	14	11	12	10	4	6	0	4	0	6	0	0	40	434	0	5	0	4	12	30	2	0	0	0	7	2	0	0	0	0	0
HEB24040	97055	652401	5403	1801	1806	14790	1194	972	17526	35413	985	223127	487	206	145	652	1212	50533	42776	179	90	176	5148	87	33	56	1060	57	45	33	47	30	18	19	12	17	18	5	0	16	0	0	285	774	0	9	12	6	28	120	4	0	0	2	0	0	0	3	2	0	0
HEB24042	278333	20373	2178	785	806	41817	1349	406	2766	20999	426	117099	224	126	73	349	1135	31793	24054	136	82	571	2472	40	25	14	726	24	12	15	22	13	12	7	3	4	0	0	0	12	0	4	75	411	7	6	0	9	0	43	0	7	0	0	0	0	0	0	0	3	0
HEB24058	151142	43852	2507	809	1038	132030	507	352	86880	9557	428	52267	234	113	60	350	1287	15235	15896	140	66	265	9243	57	24	28	3037	24	20	16	24	11	7	7	6	6	11	3	0	0	3	0	64	479	0	7	0	0	6	22	0	0	0	3	0	0	7	0	0	0	0
HEB24088	151740	111832	1926	639	782	28445	575	353	15986	8482	362	57567	178	86	33	239	1581	15779	19937	68	49	60	3859	45	16	15	934	30	0	15	15	12	6	15	0	0	9	0	6	0	0	0	115	271	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	2	2
HEB24090	94473	287350	1955	688	723	13198	14390	372	2819	8847	400	52288	165	65	60	228	617	9381	12268	69	30	60	1362	33	18	27	558	22	15	13	9	11	5	8	8	0	3	4	0	0	0	0	71	276	0	9	0	7	5	80	0	0	0	0	4	0	0	2	0	0	0
HEB24097	206420	5585	1655	626	693	58689	4535	217	6628	4076	310	19338	193	97	48	293	160187	6521	10358	129	65	49	3177	26	21	26	280	28	9	8	13	12	0	10	5	0	5	0	0	0	2	0	61	119	0	0	0	7	7	19	0	0	0	0	0	0	2	0	2	0	2
HEB24098	78387	15863	2285	699	890	16885	740	681	121207	15532	426	70564	248	78	50	248	549	36357	16724	113	33	278	14134	43	32	0	847	23	24	18	19	11	11	11	8	7	5	0	0	11	0	0	95	699	0	0	0	7	15	58	5	0	4	0	0	6	4	2	0	0	0
HEB24099	396176	19911	2319	749	1030	194148	71341	599	7893	10251	363	54519	264	126	60	419	504	26631	18239	150	113	1772	8789	43	40	32	2034	37	22	12	34	21	12	8	3	0	8	3	0	0	6	0	161	416	0	7	0	13	15	120	0	0	3	0	0	7	0	0	0	0	0
HEB24100	208024	5753	2216	789	888	44691	489	372	46270	16292	433	95196	255	84	52	374	503	32125	17623	111	91	836	6312	55	22	14	963	42	15	16	23	10	15	11	10	7	9	4	0	0	0	5	130	326	0	0	0	0	18	18	2	0	0	3	0	0	5	5	0	0	2
HEB24139	277293	10329	1915	699	956	206027	1156	443	869	12127	360	52166	217	88	52	312	564	15971	15850	100	81	87	2424	42	20	22	644	27	16	15	11	11	7	4	6	5	8	3	0	0	0	5	69	513	0	3	0	11	0	45	0	0	0	0	0	0	0	0	0	0	0
HEB24140	296528	160258	2224	803	1035	214394	402	220	964	4558	406	13553	207	102	58	338	438	8760	8783	141	80	66	3634	30	34	36	268	32	12	14	16	14	9	6	0	9	6	0	0	0	0	0	43	412	0	0	0	0	6	49	2	0	4	3	3	0	0	0	0	0	0
HEB24141	189051	14414	1946	708	829	64150	5276	294	11063	7448	377	37128	263	86	44	310	72195	17812	14265	138	53	69	29046	42	19	0	469	31	22	11	24	13	9	9	6	0	6	3	0	11	0	5	124	291	0	0	2	7	0	22	0	0	0	0	0	9	0	0	0	0	0
HEB24142	161424	28625	2374	725	1053	157923	2756	500	91179	10268	389	33039	231	107	54	314	485	15067	10568	114	51	70	9253	40	28	11	600	30	16	13	28	11	12	11	5	9	0	0	0	9	0	0	50	534	10	5	4	13	19	106	0	0	3	0	0	6	0	3	0	2	0
HEB24143	147630	11030	1406	483	640	97418	15124	188	1235	7034	263	39817	170	74	45	239	277	20455	11666	95	41	87	2960	32	16	23	624	25	17	13	9	9	3	0	0	0	0	0	0	0	0	0	89	184	0	3	0	6	14	34	0	3	0	0	0	0	0	0	0	0	0
HEB24144	158665	79261	1663	517	646	50918	314	230	18211	8546	288	43596	158	63	34	228	348	10569	9371	100	38	195	1978	33	19	22	643	24	14	5	16	7	9	8	2	0	10	0	0	0	0	0	92	193	5	0	0	6	8	21	0	0	3	0	0	0	0	0	0	0	0
HEB24175	444965	156332	4548	1540	1980	339924	1808	860	1997	25093	831	86459	538	213	121	709	1947	41804	36034	269	131	373	11748	86	72	30	2864	68	34	22	62	29	20	22	11	19	0	0	9	0	2	5	205	1052	12	7	6	19	24	106	6	0	5	5	3	0	5	4	0	0	0
