feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Firmicutes.c__Bacilli.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.
HEB24007	0.372086381674688	0.0120021456349739	0.00400319858547028	0.00134847198009328	0.00193206482599	0.39813448959218	0.00171601130431759	0.000844347096191001	0.00175077853769016	0.0248238046280154	0.000707761536513045	0.105066579251908	0.000489224641028315	0.000203636652610771	0.000136585559677956	0.000546342238711824	0.00148009079214658	0.0296390664501165	0.0327954345655834	0.000235920512171015	0.000153969176364241	0.000767362508008881	0.0057216932636002	7.45012143697942e-05	6.70510929328148e-05	4.7184102434203e-05	0.00163405996851082	5.96009714958354e-05	0	2.73171119355912e-05	3.47672333725706e-05	0	3.72506071848971e-05	0	0	1.24168690616324e-05	1.24168690616324e-05	1.24168690616324e-05	0	1.49002428739588e-05	1.98669904986118e-05	0	0.000141552307302609	0.00107033411311271	0	7.45012143697942e-06	7.45012143697942e-06	2.23503643109383e-05	1.24168690616324e-05	9.4368204868406e-05	4.96674762465295e-06	0	0	0	0	0	0	0	0	0	0
HEB24008	0.399841087485844	0.354256131749942	0.00378441141958433	0.00113245644752713	0.00133519277357629	0.149729992074853	0.000643022286660974	0.000473051427448041	0.00201507621042802	0.0133396406856993	0.000686026961883523	0.0322842240420709	0.000350180926812186	0.000153588125794819	0.000106487767217741	0.000505816894284269	0.000962485588314196	0.0156475582559761	0.0139232755637196	0.000196592801017368	0.000112631292249534	0.000526295311056912	0.00520766138528298	5.32438836088704e-05	5.32438836088704e-05	3.68611501907564e-05	0.00202326757713708	3.2765466836228e-05	0	1.6382733418114e-05	4.09568335452849e-05	1.43348917408497e-05	0	0	8.19136670905699e-06	0	0	6.14352503179274e-06	0	0	0	0	6.96266170269844e-05	0.000341989560103129	0	6.14352503179274e-06	8.19136670905699e-06	0	1.02392083863212e-05	5.73395669633989e-05	0	0	0	0	0	0	8.19136670905699e-06	0	0	0	0
HEB24017	0.170149492306062	0.351928642190546	0.00516522589266962	0.00155756002089138	0.001845652864851	0.308173844515363	0.000845691896784698	0.000752758721313852	0.0211088414764479	0.0155105469860842	0.000920038437161375	0.0718354859754545	0.000436785924712976	0.000178431696904024	0.000122671791621517	0.000539012417730906	0.00198133530103844	0.0199731980721942	0.018121969216815	0.000157986398300438	9.1074511961429e-05	0.000128247782149767	0.00579159549534312	8.54985214331783e-05	5.76185687919245e-05	5.01839147542568e-05	0.00124344588779992	6.8770549848426e-05	3.71732701883384e-05	2.04452986035861e-05	2.60212891318369e-05	2.04452986035861e-05	2.2303962113003e-05	1.85866350941692e-05	7.43465403766767e-06	1.11519810565015e-05	0	7.43465403766767e-06	0	1.11519810565015e-05	0	0	7.43465403766768e-05	0.000806659963086943	0	9.29331754708459e-06	0	7.43465403766767e-06	2.2303962113003e-05	5.57599052825076e-05	3.71732701883384e-06	0	0	0	1.30106445659184e-05	3.71732701883384e-06	0	0	0	0	0
HEB24040	0.083894111291194	0.563933873581848	0.00467034035656402	0.00155678011885467	0.00156110210696921	0.0127844408427877	0.00103209076175041	0.000840194489465154	0.01514943273906	0.0306109130199892	0.000851431658562939	0.192870448406267	0.000420961642355483	0.000178065910318747	0.000125337655321448	0.000563587250135062	0.00104764991896272	0.043680605078336	0.03697547271745	0.00015472717450027	7.77957860615883e-05	0.00015213398163155	0.00444991896272285	7.52025931928687e-05	2.85251215559157e-05	4.84062668827661e-05	0.000916261480280929	4.92706645056726e-05	3.88978930307942e-05	2.85251215559157e-05	4.06266882766072e-05	2.59319286871961e-05	1.55591572123177e-05	1.64235548352242e-05	1.03727714748784e-05	1.46947595894111e-05	1.55591572123177e-05	4.32198811453268e-06	0	1.38303619665046e-05	0	0	0.000246353322528363	0.00066904376012966	0	7.77957860615883e-06	1.03727714748784e-05	5.18638573743922e-06	2.4203133441383e-05	0.000103727714748784	3.45759049162615e-06	0	0	1.72879524581307e-06	0	0	0	2.59319286871961e-06	1.72879524581307e-06	0	0
HEB24042	0.506201736486216	0.037052192795801	0.00396110911055095	0.00142767247556589	0.00146586498765109	0.0760522037079473	0.00245341422871131	0.000738388566980573	0.00503049944893661	0.0381906933941504	0.000774762388014099	0.212966903460242	0.000407386795575488	0.000229155072511212	0.000132764446772369	0.000634723177035024	0.00206421434365259	0.0578216446059442	0.0437467945570214	0.000247341983027975	0.000149132666237456	0.00103847259050716	0.00449580427974378	7.27476420670515e-05	4.54672762919072e-05	2.5461674723468e-05	0.00132036970351698	4.36485852402309e-05	2.18242926201155e-05	2.72803657751443e-05	4.00112031368783e-05	2.36429836717917e-05	2.18242926201155e-05	1.2730837361734e-05	5.45607315502886e-06	7.27476420670515e-06	0	0	0	2.18242926201155e-05	0	7.27476420670515e-06	0.000136401828875722	0.000747482022238954	1.2730837361734e-05	1.09121463100577e-05	0	1.63682194650866e-05	0	7.82037152220804e-05	0	1.2730837361734e-05	0	0	0	0	0	0	0	5.45607315502886e-06	0
HEB24058	0.286183326075019	0.0830325866737356	0.00474693730710242	0.00153181981709049	0.00196542517940659	0.249995266317005	0.00095999091132865	0.000666502565656183	0.164504951432412	0.018095923352205	0.000810406528695586	0.0989661636339538	0.000443072728305531	0.000213962471361218	0.000113608391873213	0.000662715619260409	0.00243690000568042	0.0288470641698067	0.0300986499536099	0.000265086247704164	0.000124969231060534	0.000501770397440024	0.0175013727680685	0.000107927972279552	4.54433567492852e-05	5.30172495408328e-05	0.00575047810198247	4.54433567492852e-05	3.78694639577377e-05	3.02955711661901e-05	4.54433567492852e-05	2.08282051767557e-05	1.32543123852082e-05	1.32543123852082e-05	1.13608391873213e-05	1.13608391873213e-05	2.08282051767557e-05	5.68041959366065e-06	0	0	5.68041959366065e-06	0	0.000121182284664761	0.000906973661787817	0	1.32543123852082e-05	0	0	1.13608391873213e-05	4.16564103535114e-05	0	0	0	5.68041959366065e-06	0	0	1.32543123852082e-05	0	0	0	0
HEB24088	0.359478904837827	0.264935052628337	0.00456278087991073	0.00151381982464328	0.00185259327522855	0.0673874881251614	0.00136220093766805	0.000836272923472736	0.0378715551122809	0.0200942406144355	0.000857594329453627	0.136378819789108	0.00042169002939985	0.000203737879372961	7.81784885966014e-05	0.000566201781048113	0.0037454603173099	0.0373811627747204	0.0472316523378922	0.000161095067411179	0.000116083210340408	0.000142142706539275	0.00914214507558439	0.000106607029904456	3.79047217438067e-05	3.55356766348188e-05	0.00221268813179472	7.10713532696376e-05	0	3.55356766348188e-05	3.55356766348188e-05	2.8428541307855e-05	1.42142706539275e-05	3.55356766348188e-05	0	0	2.13214059808913e-05	0	1.42142706539275e-05	0	0	0	0.000272440187533611	0.000642011224535726	0	0	0	0	0	0.000106607029904456	0	0	0	0	0	0	0	0	0	4.73809021797584e-06	4.73809021797584e-06
HEB24090	0.187820579090092	0.571276908762694	0.00388671082871434	0.00136780411772658	0.00143738717604116	0.0262387772467375	0.0286085774041941	0.000739568505514954	0.00560441832539424	0.0175886090545452	0.000795234952166618	0.10395311294722	0.00032803441776873	0.000129225679727075	0.000119285242824993	0.000453283922734972	0.00122664991371701	0.0186502477156876	0.0243898559829502	0.000137178029248742	5.96426214124963e-05	0.000119285242824993	0.00270777501212733	6.5606883553746e-05	3.57855728474978e-05	5.36783592712467e-05	0.00110935275827243	4.3737922369164e-05	2.98213107062482e-05	2.58451359454151e-05	1.78927864237489e-05	2.1868961184582e-05	9.94043690208272e-06	1.59046990433324e-05	1.59046990433324e-05	0	5.96426214124963e-06	7.95234952166618e-06	0	0	0	0	0.000141154204009575	0.000548712116994966	0	1.78927864237489e-05	0	1.39166116629158e-05	9.94043690208272e-06	0.000159046990433324	0	0	0	0	7.95234952166618e-06	0	0	3.97617476083309e-06	0	0	0
HEB24097	0.420790414083697	0.0113851102735077	0.00337374350987559	0.00127611083817651	0.00141269139114428	0.119638448852621	0.0092446687717739	0.00044235791035831	0.0135112821652299	0.00830899005815885	0.000631939871940443	0.039420816914788	0.000393433533175824	0.00019773602444588	9.78487543649718e-05	0.000597285104769515	0.326543716988786	0.0132931609836246	0.0211149457856745	0.000262968527355862	0.000132503521535899	9.98872700809087e-05	0.00647636442953157	5.30014086143597e-05	4.28088300346752e-05	5.30014086143597e-05	0.000570784400462335	5.70784400462335e-05	1.83466414434322e-05	1.63081257274953e-05	2.65007043071799e-05	2.44621885912429e-05	0	2.03851571593691e-05	1.01925785796846e-05	0	1.01925785796846e-05	0	0	0	4.07703143187382e-06	0	0.000124349458672152	0.000242583370196493	0	0	0	1.42696100115584e-05	1.42696100115584e-05	3.87317986028013e-05	0	0	0	0	0	0	4.07703143187382e-06	0	4.07703143187382e-06	0	4.07703143187382e-06
HEB24098	0.198480260092775	0.0401660015800028	0.0057857475641623	0.00176990702291004	0.00225352968582251	0.0427537626349586	0.00187372131180748	0.00172433001802824	0.306902890594932	0.039327891101343	0.00107865578220269	0.178671987359977	0.000627949845038183	0.000197500354487816	0.000126602791338343	0.000627949845038183	0.00139009864889501	0.092057953693763	0.0423461016468491	0.000286122308424656	8.35578422833067e-05	0.00070391151984119	0.0357880770555229	0.000108878400550975	8.10257864565398e-05	0	0.00214465128527154	5.8237284015638e-05	6.07693398424048e-05	4.55770048818036e-05	4.81090607085705e-05	2.78526140944356e-05	2.78526140944356e-05	2.78526140944356e-05	2.02564466141349e-05	1.77243907873681e-05	1.26602791338343e-05	0	0	2.78526140944356e-05	0	0	0.000240545303542853	0.00176990702291004	0	0	0	1.77243907873681e-05	3.7980837401503e-05	0.000146859237952478	1.26602791338343e-05	0	1.01282233070675e-05	0	0	1.51923349606012e-05	1.01282233070675e-05	5.06411165353374e-06	0	0	0
