feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Firmicutes.c__Bacilli.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.
HEB24007	-1.42629050595533	-6.38056384892198	-7.96463109982174	-9.53445874054535	-9.01564078336352	-1.32867224026714	-9.18672522796145	-10.209876192212	-9.15778768106355	-5.332131942263	-10.4644490192976	-3.25062426112727	-10.9972153088933	-12.2617151237316	-12.837907414825	-10.837907414825	-9.40009860788755	-5.07635618238057	-4.93036119773699	-12.0494115200188	-12.6650708179628	-10.3478041004453	-7.4493421269074	-13.7123765327412	-13.8643796261862	-14.3713396149061	-9.25732335461447	-14.0343046276286	-16.8705894809492	-15.1598355097124	-14.8119122062921	-17.0901094652563	-14.7123765327412	-18.1983802913855	-19.0592863614329	-16.2973390334623	-16.2973390334623	-16.2973390334623	-19.3691766437191	-16.0343046276286	-15.6192671283497	-18.8300174864129	-12.786377114185	-9.86772306926061	-18.9007359351929	-17.0343046276286	-17.0343046276286	-15.4493421269074	-16.2973390334623	-13.3713396149061	-17.6192671283497	-18.185130307017	-19.0592863614329	-20.14180155942	-19.784214142998	-19.0373029594949	-18.9040494899974	-19.7700928077381	-20.14180155942	-19.0105800075329	-19.6377015293591
HEB24008	-1.32250136450982	-1.49713527020229	-8.04571534589783	-9.78632871707918	-9.54873623308281	-2.73956486157542	-10.6028436384223	-11.0457153458978	-8.95494988197465	-6.22813638291798	-10.5094471019688	-4.95302683774319	-11.479611872428	-12.668645696818	-13.1970246691728	-10.9490971557292	-10.0209474407489	-5.99791864231853	-6.16635753292585	-12.3125018865927	-13.1161046737892	-10.89183983812	-7.58514864062378	-14.1970246691728	-14.1970246691728	-14.7275393858716	-8.94909715572921	-14.8974643873139	-16.8705894809492	-15.8974643873139	-14.5755362924265	-16.0901094652563	-17.8705934942268	-18.1983802913855	-16.8974643873139	-18.0686680818985	-18.3552249009769	-17.3125018865927	-19.3691766437191	-18.185130307017	-20.1519455813003	-18.8300174864129	-13.8100015460635	-11.5137600948398	-18.9007359351929	-17.3125018865927	-16.8974643873139	-18.5568390586989	-16.5755362924265	-14.0901094652563	-19.9494097316357	-18.185130307017	-19.0592863614329	-20.14180155942	-19.784214142998	-19.0373029594949	-16.8974643873139	-19.7700928077381	-20.14180155942	-19.0105800075329	-19.6377015293591
HEB24017	-2.55512524830744	-1.50664516032609	-7.59695284029433	-9.32649652579554	-9.08165305196652	-1.69818367297379	-10.2075802244088	-10.3755248617229	-5.56600878882762	-6.01060662524493	-10.0860182445279	-3.79915949344615	-11.1607860129299	-12.4523404587737	-12.9929088401364	-10.85739386948	-8.97931123673571	-5.64579083678777	-5.78611645597055	-12.6279120233572	-13.4225931153797	-12.9287785027167	-7.43182344143322	-13.5137410034379	-14.083106649108	-14.2824154573314	-9.65144055885343	-13.8278495938659	-14.7153748646075	-15.5778713408576	-15.2299480374373	-15.5778713408576	-15.4523404587737	-15.7153748646075	-17.0373029594949	-16.4523404587737	-18.3552249009769	-17.0373029594949	-19.3691766437191	-16.4523404587737	-20.1519455813003	-18.8300174864129	-13.7153748646075	-10.2757517270504	-18.9007359351929	-16.7153748646075	-18.8364572394867	-17.0373029594949	-15.4523404587737	-14.1304123638864	-18.0373029594949	-18.185130307017	-19.0592863614329	-20.14180155942	-16.2299480374373	-18.0373029594949	-18.9040494899974	-19.7700928077381	-20.14180155942	-19.0105800075329	-19.6377015293591
HEB24040	-3.57528664143558	-0.82640209156932	-7.74225659279259	-9.32721909351375	-9.32321938193916	-6.28946712743359	-9.92021443815522	-10.2169890558142	-6.04459241586969	-5.02981011355515	-10.1978216450763	-2.37429598417918	-11.2140235973377	-12.4553010322368	-12.9618924694051	-10.7930734051889	-9.89862757594707	-4.5168633486848	-4.75728759802141	-12.6579857821558	-13.6499484630903	-12.6823699407827	-7.81200522119932	-13.6988580635713	-15.0974074400616	-14.3344466373624	-10.0919530099695	-14.3089115452553	-14.6499484630903	-15.0974074400616	-14.5872127077424	-15.2349109638115	-15.9718765579777	-15.8938740459764	-16.5568390586989	-16.0543387181697	-15.9718765579777	-17.8198734645327	-19.3691766437191	-16.14180155942	-20.1519455813003	-18.8300174864129	-11.9869834503679	-10.5456118032756	-18.9007359351929	-16.9718765579777	-16.5568390586989	-17.5568390586989	-15.3344466373624	-13.2349109638115	-18.14180155942	-18.185130307017	-19.0592863614329	-19.14180155942	-19.784214142998	-19.0373029594949	-18.9040494899974	-18.5568390586989	-19.14180155942	-19.0105800075329	-19.6377015293591
HEB24042	-0.982215638375637	-4.75429726419328	-7.97987984318155	-9.45211923811947	-9.41403205337049	-3.7168661373218	-8.67099344895019	-10.4033321647133	-7.63508264074796	-4.71063507585722	-10.3339584616726	-2.23129885187188	-11.2613131598409	-12.0913881583985	-12.8788435230184	-10.6215848556888	-8.92019149972018	-4.11224654617773	-4.51467887902653	-11.9812052406481	-12.7111160772804	-9.91132114653561	-7.79720505399408	-13.7467399870111	-14.4248118921237	-15.2613131598409	-9.5648423439027	-14.4837055811773	-15.4837055811773	-15.1617774862899	-14.6092364632612	-15.3682283637574	-15.4837055811773	-16.2613131598409	-17.4837055811773	-17.0686680818985	-18.3552249009769	-19.0592863614329	-19.3691766437191	-15.4837055811773	-20.1519455813003	-17.0686680818985	-12.8398493914026	-10.3856734982168	-16.2613131598409	-16.4837055811773	-18.8364572394867	-15.8987430804561	-17.8705894809492	-13.6424033271964	-19.9494097316357	-16.2613131598409	-19.0592863614329	-20.14180155942	-19.784214142998	-19.0373029594949	-18.9040494899974	-19.7700928077381	-20.14180155942	-17.4837055811773	-19.6377015293591
HEB24058	-1.8049884762457	-3.59017854721655	-7.71878728847168	-9.35053767687564	-8.99094284094773	-2.00002731730255	-10.0246916323023	-10.5511019506683	-2.60379708661389	-5.7881914660565	-10.2690665829045	-3.33692083530495	-11.1401688497222	-12.1903546068904	-13.1036429736971	-10.5593224574733	-8.68073723108491	-5.11543168973177	-5.05415741205594	-11.8812505523606	-12.9661394499472	-10.9606850198551	-5.83638810154511	-13.1776435551409	-14.4255710685845	-14.203178647248	-7.44210237613815	-14.4255710685845	-14.6886054744183	-15.0105335693056	-14.4255710685845	-15.5511019506683	-16.203178647248	-16.203178647248	-16.4255710685845	-16.4255710685845	-15.5511019506683	-17.4255710685845	-19.3691766437191	-18.185130307017	-17.4255710685845	-18.8300174864129	-13.0105335693056	-10.1066517235694	-18.9007359351929	-16.203178647248	-18.8364572394867	-18.5568390586989	-16.4255710685845	-14.5511019506683	-19.9494097316357	-18.185130307017	-19.0592863614329	-17.4255710685845	-19.784214142998	-19.0373029594949	-16.203178647248	-19.7700928077381	-20.14180155942	-19.0105800075329	-19.6377015293591
HEB24088	-1.47602098285646	-1.91628936062664	-7.77587091228476	-9.36759077918123	-9.07623810282087	-3.8913754395461	-9.51984475429648	-10.223738526857	-4.72274152623098	-5.63707413253179	-10.187417013045	-2.87430848980593	-11.2115294691618	-12.2609981454261	-13.6428687807698	-10.7863960921475	-8.06064124776985	-4.74154474366565	-4.40410218259484	-12.5998000588779	-13.072553056013	-12.7803723045197	-6.77325157158697	-13.1954098037985	-14.6872629001282	-14.7803723045197	-8.81998416041856	-13.7803723045197	-16.8705894809492	-14.7803723045197	-14.7803723045197	-15.1023003994071	-16.1023003994071	-14.7803723045197	-19.0592863614329	-18.0686680818985	-15.5173378986859	-19.0592863614329	-16.1023003994071	-18.185130307017	-20.1519455813003	-18.8300174864129	-11.8417728491838	-10.6051138587744	-18.9007359351929	-18.7700928077381	-18.8364572394867	-18.5568390586989	-17.8705894809492	-13.1954098037985	-19.9494097316357	-18.185130307017	-19.0592863614329	-20.14180155942	-19.784214142998	-19.0373029594949	-18.9040494899974	-19.7700928077381	-20.14180155942	-17.6872629001282	-17.6872629001282
HEB24090	-2.4125729502947	-0.80773787808788	-8.0072345095033	-9.51392264699592	-9.4423355647469	-5.25215569928408	-5.12740843007035	-10.40102859059	-7.47921963912759	-5.82921479391512	-10.2963312119233	-3.26599513355233	-11.5738651874522	-12.9178195886696	-13.0332968060895	-11.1072973875333	-9.6710607225486	-5.74466139705182	-5.35757495043099	-12.8316629449198	-14.0332968060895	-13.0332968060895	-8.52867641368594	-13.8957932823396	-14.7702624002557	-14.1852998995345	-9.81606608986883	-14.4807557830607	-15.0332968060895	-15.2397476835569	-15.7702624002557	-15.4807557830607	-16.6182593068106	-15.940187401698	-15.940187401698	-18.0686680818985	-17.3552249009769	-16.940187401698	-19.3691766437191	-18.185130307017	-20.1519455813003	-18.8300174864129	-12.7904402821933	-10.8316629449198	-18.9007359351929	-15.7702624002557	-18.8364572394867	-16.1328324796404	-16.6182593068106	-12.6182593068107	-19.9494097316357	-18.185130307017	-19.0592863614329	-20.14180155942	-16.940187401698	-19.0373029594949	-18.9040494899974	-17.940187401698	-20.14180155942	-19.0105800075329	-19.6377015293591
HEB24097	-1.24882625554097	-6.45670792462674	-8.21143398830284	-9.6140306430648	-9.46733794786021	-3.06324698415813	-6.75716265458154	-11.1424982575529	-6.20969160277597	-6.91111115383161	-10.6279250847232	-4.66489851621672	-11.3115924527293	-12.3041366478103	-13.3190869892763	-10.7092926355752	-1.61465194519566	-6.23317198560044	-5.56559164686657	-11.8928222345742	-12.881681676969	-13.2893396458822	-7.27060011528393	-14.2036097718563	-14.5117320672187	-14.2036097718563	-10.7747664730525	-14.0966945679398	-15.7341244885551	-15.9040494899974	-15.2036097718563	-15.3190869892763	-17.8705934942268	-15.5821213951101	-16.5821213951101	-18.0686680818985	-16.5821213951101	-19.0592863614329	-19.3691766437191	-18.185130307017	-17.9040494899974	-18.8300174864129	-12.9733121524345	-12.0092317266895	-18.9007359351929	-18.7700928077381	-18.8364572394867	-16.0966945679398	-16.0966945679398	-14.6561219765538	-19.9494097316357	-18.185130307017	-19.0592863614329	-20.14180155942	-19.784214142998	-19.0373029594949	-17.9040494899974	-19.7700928077381	-17.9040494899974	-19.0105800075329	-17.9040494899974
HEB24098	-2.33293256400473	-4.63788133774687	-7.43328090572156	-9.14211071029156	-8.79359782981324	-4.54780479677216	-9.05987789515068	-9.17974836765493	-1.70414586085444	-4.66830336375852	-9.85654973544116	-2.48461463210705	-10.6370630452801	-12.3058571368047	-12.9474031658923	-10.6370630452801	-9.4905970166618	-3.44131381574075	-4.56162702762286	-11.7710803932518	-13.5468652363085	-10.4723182829435	-4.8043771620023	-13.1649946009649	-13.591259355667	-16.5511483888956	-8.8650411963348	-14.06769739961	-14.0062968549458	-14.4213343542247	-14.3433318422234	-15.1318277370297	-15.1318277370297	-15.1318277370297	-15.591259355667	-15.7839044336094	-16.2693312607796	-19.0592863614329	-19.3691766437191	-15.1318277370297	-20.1519455813003	-18.8300174864129	-12.021403747336	-9.14211071029156	-18.9007359351929	-18.7700928077381	-18.8364572394867	-15.7839044336094	-14.6843687600585	-12.7332783605394	-16.2693312607796	-18.185130307017	-16.591259355667	-20.14180155942	-19.784214142998	-16.0062968549458	-16.591259355667	-17.591259355667	-20.14180155942	-19.0105800075329	-19.6377015293591
