feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	TimePoint	Intervention	0.75091180280642	0.233982762149648	24	24	0.00514403747150324	0.378133878146276
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	TimePoint	Intervention	0.398904979916368	0.139244180314599	24	24	0.00900318757491133	0.378133878146276
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	TimePoint	Intervention	-1.9092137431983	1.27984286649212	24	24	0.274283135355015	0.977205254753955
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	TimePoint	Intervention	-0.137956237848274	0.134561131752334	24	24	0.413060188427887	0.977205254753955
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	TimePoint	Intervention	-0.135861761503837	0.110150236602948	24	24	0.342707898502456	0.977205254753955
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	TimePoint	Intervention	-0.241543563243059	0.172978009531772	24	24	0.297393335248727	0.977205254753955
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	TimePoint	Intervention	0.735941699381743	1.23860132004238	24	24	0.61265281018884	0.977205254753955
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	TimePoint	Intervention	0.65981225607215	0.354873937021133	24	24	0.0803837705060394	0.977205254753955
k__Bacteria.__.__.__.__.__	TimePoint	Intervention	-0.0904466871720423	0.291044658508862	24	24	0.785375846658509	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	TimePoint	Intervention	-1.25439771761696	1.12163214526228	24	24	0.379709942247826	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	TimePoint	Intervention	-0.152104182873211	0.403676410419842	24	24	0.74254551278812	0.977205254753955
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	TimePoint	Intervention	-0.178547709056096	0.139926668360359	24	24	0.330102709615115	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	TimePoint	Intervention	-0.461857565490379	0.609291051054841	24	24	0.527579998680866	0.977205254753955
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	TimePoint	Intervention	0.0888659378651495	0.121283343451595	24	24	0.473715825477559	0.977205254753955
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	TimePoint	Intervention	-0.0618509958918018	0.252677777011101	24	24	0.829448858805498	0.977205254753955
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	TimePoint	Intervention	0.132787008118189	0.178508711065377	24	24	0.534476030912661	0.977205254753955
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	TimePoint	Intervention	-0.137401533943925	0.102214775849164	24	24	0.19653467286326	0.977205254753955
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__	TimePoint	Intervention	-0.57535717529895	0.23423746114254	24	24	0.133374212034997	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	TimePoint	Intervention	-0.074294633319309	0.467864292681325	24	24	0.888415986568867	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	TimePoint	Intervention	0.281809876584093	0.433002711456026	24	24	0.523858203286907	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	TimePoint	Intervention	-0.504368097783241	0.574542515480479	24	24	0.472605631122585	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	TimePoint	Intervention	-0.118689747105726	0.565952084445701	24	24	0.836381314869604	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	TimePoint	Intervention	-0.399016059338766	0.770338729495958	24	24	0.656079085044182	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	TimePoint	Intervention	-0.10448411314526	0.242158817613771	24	24	0.708184329743269	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	TimePoint	Intervention	-0.0472759009509283	0.294362980049671	24	24	0.887158996455076	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	TimePoint	Intervention	0.0373169928314268	0.193587907864223	24	24	0.864943335485058	0.977205254753955
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	TimePoint	Intervention	0.40638516486986	0.274585922752203	24	24	0.277008855746844	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	TimePoint	Intervention	0.365943534243253	1.19848463564757	24	24	0.788957511279433	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	TimePoint	Intervention	0.133663600257261	0.450603463055022	24	24	0.793065035915253	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	TimePoint	Intervention	0.644283646062633	0.511338929814419	24	24	0.224694605775925	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4	TimePoint	Intervention	-0.166553192695776	0.170907249793564	24	24	0.343460509055199	0.977205254753955
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	TimePoint	Intervention	0.300589957958246	0.191601597800221	24	24	0.25723998653712	0.977205254753955
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	TimePoint	Intervention	-0.125393556863677	0.730256272203573	24	24	0.86569162108876	0.977205254753955
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__	TimePoint	Intervention	-0.248514227666571	0.339007419187458	24	22	0.471258790174105	0.977205254753955
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	TimePoint	Intervention	-0.206397660011981	0.49296078001109	24	24	0.680684861876051	0.977205254753955
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium	TimePoint	Intervention	-0.527066889255362	0.237335206877667	24	24	0.0402436125641509	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	TimePoint	Intervention	0.137733613011821	0.309167517118442	24	24	0.660312702396992	0.977205254753955
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	TimePoint	Intervention	0.183803170916694	0.216037547116836	24	24	0.48449563607109	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__	TimePoint	Intervention	0.167881732315946	0.552743933904418	24	21	0.790022422508958	0.977205254753955
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	TimePoint	Intervention	-0.186527687847944	0.213170608816048	24	24	0.391018289635485	0.977205254753955
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	TimePoint	Intervention	0.14772264794323	0.272810532297472	24	24	0.642427378881831	0.977205254753955
k__Bacteria.p__Firmicutes.__.__.__.__	TimePoint	Intervention	0.233955403023724	0.274707340023851	24	24	0.484112973723959	0.977205254753955
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	TimePoint	Intervention	-0.0922825891212323	0.328281836990834	24	23	0.805040835750913	0.977205254753955
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	TimePoint	Intervention	0.0792244859804328	0.382437582662088	24	22	0.838348636938267	0.977205254753955
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	TimePoint	Intervention	-0.535097816804099	0.380890674842548	24	21	0.178072413512725	0.977205254753955
