feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia	Day_Num	Day_Num	0.367001634913349	0.151150133791947	24	24	0.0265719426039471	0.306287824827008
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	Day_Num	Day_Num	0.362979719307601	0.166777280244391	24	24	0.0439103172733898	0.306287824827008
k__Bacteria.__.__	Day_Num	Day_Num	-0.134174747553848	0.075163742317533	24	24	0.0920986917960368	0.306287824827008
k__Bacteria.p__Firmicutes.c__Clostridia	Day_Num	Day_Num	-0.273169577283528	0.1507981825304	24	24	0.087769751104779	0.306287824827008
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	Day_Num	Day_Num	-0.126255241758726	0.0784882608116677	24	24	0.126118516105239	0.306287824827008
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	Day_Num	Day_Num	-0.136716549721133	0.0834680839229765	24	23	0.119806958889607	0.306287824827008
k__Bacteria.p__Bacteroidetes.__	Day_Num	Day_Num	-0.44514995709219	0.227990490764534	24	15	0.0637197457644691	0.306287824827008
k__Bacteria.p__Tenericutes.c__Mollicutes	Day_Num	Day_Num	-0.216706051330326	0.156658877936799	24	24	0.184471630838945	0.392002215532757
k__Bacteria.p__Cyanobacteria.c__Chloroplast	Day_Num	Day_Num	-0.0591079813887068	0.05598576950353	24	24	0.302530946449145	0.514302608963547
k__Bacteria.p__Actinobacteria.c__Actinobacteria	Day_Num	Day_Num	-0.0730340878159793	0.0672682236142693	24	24	0.292761791602314	0.514302608963547
k__Bacteria.p__Firmicutes.c__Erysipelotrichi	Day_Num	Day_Num	0.160890228728447	0.328848458289055	24	24	0.630914984572141	0.856690751394054
k__Bacteria.p__Deferribacteres.c__Deferribacteres	Day_Num	Day_Num	-0.0745082294877281	0.173103284204341	24	22	0.672292716303522	0.856690751394054
Unassigned.__.__	Day_Num	Day_Num	-0.115324167832345	0.205296575868222	24	12	0.579968698450804	0.856690751394054
k__Bacteria.p__Actinobacteria.c__Coriobacteriia	Day_Num	Day_Num	-0.041275250178918	0.10739958472351	24	24	0.705510030559809	0.856690751394054
k__Bacteria.p__Firmicutes.c__Bacilli	Day_Num	Day_Num	-0.0428200136878379	0.240076884437874	24	24	0.860548808689919	0.950631117148738
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	Day_Num	Day_Num	0.00790443946641961	0.05883920880492	24	24	0.894711639669401	0.950631117148738
k__Bacteria.p__Firmicutes.__	Day_Num	Day_Num	0.00459752763018996	0.101510680315128	24	24	0.964403075834009	0.964403075834009
