feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	Day_Num	Day_Num	0.369086951775279	0.15306247266227	24	24	0.0274877677131252	0.357402985948641
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	Day_Num	Day_Num	-0.905211472148816	0.298977641345819	24	24	0.00759262118349399	0.357402985948641
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	Day_Num	Day_Num	-0.0996809510698629	0.0475023973586339	24	24	0.0511138932713266	0.357402985948641
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	Day_Num	Day_Num	-0.0882514104912855	0.0428141874751479	24	24	0.054913733335638	0.357402985948641
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	Day_Num	Day_Num	0.960783206753216	0.433860455384758	24	24	0.0407445108721994	0.357402985948641
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	Day_Num	Day_Num	0.362978385122124	0.16677689762389	24	24	0.0439105760394305	0.357402985948641
k__Bacteria.__.__.__.__	Day_Num	Day_Num	-0.134176081739323	0.0751646199094122	24	24	0.0920992097149718	0.357402985948641
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	Day_Num	Day_Num	-0.259770512137352	0.13751158983856	24	24	0.0760627842723208	0.357402985948641
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	Day_Num	Day_Num	-0.114798868739845	0.0559790096277048	24	24	0.0560343835836402	0.357402985948641
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	Day_Num	Day_Num	-0.463591477624448	0.189751429199318	24	24	0.0257696617713328	0.357402985948641
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	Day_Num	Day_Num	-0.144787934800982	0.0811532085452953	24	24	0.0882027202692465	0.357402985948641
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	Day_Num	Day_Num	-0.267606384626503	0.139671445801442	24	24	0.0723415259118104	0.357402985948641
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	Day_Num	Day_Num	0.125674493138588	0.0642850675518049	24	24	0.06341117469221	0.357402985948641
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	Day_Num	Day_Num	-0.278344343115938	0.158178152519953	24	20	0.0964420755734429	0.357402985948641
k__Bacteria.p__Bacteroidetes.__.__.__	Day_Num	Day_Num	-0.445151313472071	0.227990765948477	24	15	0.0637192946525453	0.357402985948641
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	Day_Num	Day_Num	0.325535572608707	0.136187264354949	24	6	0.0286803976749232	0.357402985948641
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	Day_Num	Day_Num	-0.238189794955991	0.133252891146617	24	4	0.0916970203043849	0.357402985948641
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	Day_Num	Day_Num	0.338384066220473	0.202567576042212	24	6	0.113132289355007	0.395963012742526
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	Day_Num	Day_Num	-0.272592057381565	0.176029058728677	24	5	0.135753124486966	0.427622342133942
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	Day_Num	Day_Num	-0.159973704457931	0.100580999542063	24	5	0.130146124089891	0.427622342133942
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	Day_Num	Day_Num	0.304116518380105	0.215430077056817	24	24	0.176088268856565	0.484229145135717
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	Day_Num	Day_Num	-0.202130110901494	0.146506363613729	24	22	0.18155174969104	0.484229145135717
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	Day_Num	Day_Num	-0.216707385515803	0.156658568988457	24	24	0.184468245765987	0.484229145135717
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	Day_Num	Day_Num	-0.114506860831945	0.080280744784471	24	23	0.171879778059945	0.484229145135717
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	Day_Num	Day_Num	0.278294293475505	0.205912428397762	24	19	0.194241249954604	0.489487949885603
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae	Day_Num	Day_Num	-0.107430628186367	0.0811051414872675	24	3	0.202840757684622	0.491498759005046
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	Day_Num	Day_Num	0.0850421505407949	0.0708278637277551	24	24	0.246335990183841	0.57478397709563
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	Day_Num	Day_Num	-0.0945263467143131	0.0822950396694402	24	24	0.266615451455231	0.599884765774269
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	Day_Num	Day_Num	-0.0591093155741839	0.0559869024421284	24	24	0.30252984450047	0.657220007018263
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	Day_Num	Day_Num	0.0743198303941047	0.0757601683143483	24	24	0.337264219370452	0.70825486067795
