feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Firmicutes.c__Bacilli.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.
HEB24007	0.372086381674688	0.0120021456349739	0.00400319858547028	0.00134847198009328	0.00193206482599	0.39813448959218	0.00171601130431759	0.000844347096191001	0.00175077853769016	0.0248238046280154	0.000707761536513045	0.105066579251908	0.000489224641028315	0.000203636652610771	0.000136585559677956	0.000546342238711824	0.00148009079214658	0.0296390664501165	0.0327954345655834	0.000235920512171015	0.000153969176364241	0.000767362508008881	0.0057216932636002	7.45012143697942e-05	6.70510929328148e-05	4.7184102434203e-05	0.00163405996851082	5.96009714958354e-05	0	2.73171119355912e-05	3.47672333725706e-05	0	3.72506071848971e-05	0	0	1.24168690616324e-05	1.24168690616324e-05	1.24168690616324e-05	0	1.49002428739588e-05	1.98669904986118e-05	0	0.000141552307302609	0.00107033411311271	0	7.45012143697942e-06	7.45012143697942e-06	2.23503643109383e-05	1.24168690616324e-05	9.4368204868406e-05	4.96674762465295e-06	0	0	0	0	0	0	0	0	0	0	0	0
HEB24008	0.399841087485844	0.354256131749942	0.00378441141958433	0.00113245644752713	0.00133519277357629	0.149729992074853	0.000643022286660974	0.000473051427448041	0.00201507621042802	0.0133396406856993	0.000686026961883523	0.0322842240420709	0.000350180926812186	0.000153588125794819	0.000106487767217741	0.000505816894284269	0.000962485588314196	0.0156475582559761	0.0139232755637196	0.000196592801017368	0.000112631292249534	0.000526295311056912	0.00520766138528298	5.32438836088704e-05	5.32438836088704e-05	3.68611501907564e-05	0.00202326757713708	3.2765466836228e-05	0	1.6382733418114e-05	4.09568335452849e-05	1.43348917408497e-05	0	0	8.19136670905699e-06	0	0	6.14352503179274e-06	0	0	0	0	6.96266170269844e-05	0.000341989560103129	0	6.14352503179274e-06	8.19136670905699e-06	0	1.02392083863212e-05	5.73395669633989e-05	0	0	0	0	0	0	8.19136670905699e-06	0	0	0	0	0	0
HEB24010	0.11180340818919	0.533409363446477	0.00529304804842205	0.00172580054015778	0.00175248817737671	0.0628974233975853	0.000962534115696245	0.000658295051400389	0.00261005092001181	0.0270043305139327	0.000960754939881649	0.147225019481975	0.00044123560201972	0.000204605218678499	0.00013877571353846	0.000558661205783033	0.000951859060808671	0.0506904981336446	0.0383572513868675	0.000174359229830373	9.96338456173562e-05	0.00132370680605916	0.00677688067779482	8.89587907297823e-05	7.29462083984215e-05	5.87128018816563e-05	0.00246593767902957	5.33752744378694e-05	3.55835162919129e-05	3.20251646627216e-05	3.55835162919129e-05	2.49084614043391e-05	1.95709339605521e-05	0	1.24542307021695e-05	1.24542307021695e-05	2.13501097751478e-05	0	1.06750548875739e-05	1.42334065167652e-05	1.77917581459565e-05	0	0.000279330602891517	0.000620932359293881	5.33752744378694e-06	3.55835162919129e-06	0	1.60125823313608e-05	2.13501097751478e-05	4.80377469940825e-05	0	0	0	5.33752744378694e-06	0	0	0	0	0	3.55835162919129e-06	0	0	0
HEB24017	0.170149492306062	0.351928642190546	0.00516522589266962	0.00155756002089138	0.001845652864851	0.308173844515363	0.000845691896784698	0.000752758721313852	0.0211088414764479	0.0155105469860842	0.000920038437161375	0.0718354859754545	0.000436785924712976	0.000178431696904024	0.000122671791621517	0.000539012417730906	0.00198133530103844	0.0199731980721942	0.018121969216815	0.000157986398300438	9.1074511961429e-05	0.000128247782149767	0.00579159549534312	8.54985214331783e-05	5.76185687919245e-05	5.01839147542568e-05	0.00124344588779992	6.8770549848426e-05	3.71732701883384e-05	2.04452986035861e-05	2.60212891318369e-05	2.04452986035861e-05	2.2303962113003e-05	1.85866350941692e-05	7.43465403766767e-06	1.11519810565015e-05	0	7.43465403766767e-06	0	1.11519810565015e-05	0	0	7.43465403766768e-05	0.000806659963086943	0	9.29331754708459e-06	0	7.43465403766767e-06	2.2303962113003e-05	5.57599052825076e-05	3.71732701883384e-06	0	0	0	1.30106445659184e-05	3.71732701883384e-06	0	0	0	0	0	0	0
HEB24040	0.0838928059898366	0.56392509938257	0.00467026769113479	0.00155675589704493	0.00156107781791402	0.0127842419307576	0.00103207470353784	0.000840181416950401	0.0151491970303217	0.0306104367473915	0.000851418411210026	0.192867447551329	0.000420955092649018	0.000178063139806361	0.000125335705203506	0.00056357848132887	0.00104763361866655	0.0436799254555088	0.0369748974192082	0.000154724767113294	7.77945756435556e-05	0.000152131614591842	0.00444984972681138	7.52014231221038e-05	2.85246777359704e-05	4.84055137337679e-05	0.000916247224246322	4.92698979075852e-05	3.88972878217778e-05	2.85246777359704e-05	4.06260561694124e-05	2.59315252145185e-05	1.55589151287111e-05	1.64232993025284e-05	1.03726100858074e-05	1.46945309548938e-05	1.55589151287111e-05	4.32192086908642e-06	0	1.38301467810766e-05	0	0	0.000246349489537926	0.000669033350534578	0	7.77945756435556e-06	1.03726100858074e-05	5.18630504290371e-06	2.4202756866884e-05	0.000103726100858074	3.45753669526914e-06	0	0	1.72876834763457e-06	0	0	0	2.59315252145185e-06	1.55589151287111e-05	1.72876834763457e-06	0	0	0
HEB24042	0.506201736486216	0.037052192795801	0.00396110911055095	0.00142767247556589	0.00146586498765109	0.0760522037079473	0.00245341422871131	0.000738388566980573	0.00503049944893661	0.0381906933941504	0.000774762388014099	0.212966903460242	0.000407386795575488	0.000229155072511212	0.000132764446772369	0.000634723177035024	0.00206421434365259	0.0578216446059442	0.0437467945570214	0.000247341983027975	0.000149132666237456	0.00103847259050716	0.00449580427974378	7.27476420670515e-05	4.54672762919072e-05	2.5461674723468e-05	0.00132036970351698	4.36485852402309e-05	2.18242926201155e-05	2.72803657751443e-05	4.00112031368783e-05	2.36429836717917e-05	2.18242926201155e-05	1.2730837361734e-05	5.45607315502886e-06	7.27476420670515e-06	0	0	0	2.18242926201155e-05	0	7.27476420670515e-06	0.000136401828875722	0.000747482022238954	1.2730837361734e-05	1.09121463100577e-05	0	1.63682194650866e-05	0	7.82037152220804e-05	0	1.2730837361734e-05	0	0	0	0	0	0	0	0	0	5.45607315502886e-06	0
HEB24058	0.286182242318208	0.0830322722349716	0.00474691933077337	0.00153181401619292	0.00196541773647497	0.249994319601918	0.000959987275908296	0.000666500041656253	0.164504328463339	0.0180958548241727	0.000810403459741125	0.0989657888558163	0.000443071050419213	0.000213961661099877	0.000113607961645952	0.000662713109601388	0.00243689077730567	0.0288469549279347	0.0300985359720676	0.000265085243840555	0.000124968757810547	0.000501768497269622	0.0175013064915589	0.000107927563563655	4.54431846583809e-05	5.3017048768111e-05	0.00575045632531261	4.54431846583809e-05	3.78693205486507e-05	3.02954564389206e-05	4.54431846583809e-05	2.08281263017579e-05	1.32542621920278e-05	1.32542621920278e-05	1.13607961645952e-05	1.13607961645952e-05	2.08281263017579e-05	5.68039808229761e-06	0	0	5.68039808229761e-06	0	0.000121181825755682	0.000906970227140185	0	1.32542621920278e-05	0	0	1.13607961645952e-05	4.16562526035158e-05	0	0	0	5.68039808229761e-06	0	0	1.32542621920278e-05	0	0	0	3.78693205486507e-06	0	0
HEB24065	0.252314877209011	0.0463897562338895	0.00512131559646303	0.00163002537959447	0.00186410213123336	0.00951060935143716	0.0017080509634741	0.000651158963650008	0.00851330052475752	0.0395334353813394	0.000915027301861123	0.386215291028335	0.000547597734137044	0.000229820810700003	0.000151795226820372	0.000753301546183343	0.00265854443982596	0.108237089957824	0.117926448828694	0.000270961573109263	0.000117747699309261	0.00104270553002779	0.0100213222641038	9.50493476351864e-05	5.10712912666673e-05	4.96526442870377e-05	0.00136615704138335	8.08628778388899e-05	5.39085852259266e-05	3.26288805314819e-05	6.80950550222231e-05	2.55356456333337e-05	3.54661744907412e-05	1.84424107351854e-05	1.41864697962965e-05	1.27678228166668e-05	7.09323489814824e-06	0	0	1.56051167759261e-05	3.83034684500005e-05	4.25594093888894e-06	0.00113491758370372	0.000446873798583339	0	5.67458791851859e-06	0	1.56051167759261e-05	2.8372939592593e-05	6.10018201240749e-05	5.67458791851859e-06	0	0	0	4.25594093888894e-06	0	4.25594093888894e-06	0	0	0	0	0	0
HEB24067	0.437869066056986	0.158418762445608	0.00416287664609812	0.00147831288770886	0.00154223107243241	0.00660160123247372	0.000940744564905639	0.000762101433242373	0.0309380403340135	0.0343322598356155	0.00069490539289197	0.181607952077751	0.000381870180527899	0.00019503240979751	0.000178643131663266	0.000604764363153625	0.0011996951594267	0.0607829158164729	0.0380952380952381	0.00019503240979751	0.000129475297260532	0.000748990010734977	0.0314657750899362	5.7362473469856e-05	4.58899787758848e-05	4.42510509624604e-05	0.00437265940621645	6.22792569101294e-05	4.26121231490359e-05	3.27785562684892e-05	2.29449893879424e-05	2.78617728282158e-05	1.8028205947669e-05	2.1306061574518e-05	1.31114225073957e-05	1.31114225073957e-05	9.83356688054675e-06	0	9.83356688054675e-06	1.14724946939712e-05	4.91678344027337e-06	0	0.000288451295162705	0.00142422826986585	0	8.19463906712229e-06	0	1.14724946939712e-05	1.8028205947669e-05	0.000101613524432316	6.55571125369783e-06	0	0	0	0	0	0	0	0	0	4.91678344027337e-06	0	0
HEB24088	0.359478904837827	0.264935052628337	0.00456278087991073	0.00151381982464328	0.00185259327522855	0.0673874881251614	0.00136220093766805	0.000836272923472736	0.0378715551122809	0.0200942406144355	0.000857594329453627	0.136378819789108	0.00042169002939985	0.000203737879372961	7.81784885966014e-05	0.000566201781048113	0.0037454603173099	0.0373811627747204	0.0472316523378922	0.000161095067411179	0.000116083210340408	0.000142142706539275	0.00914214507558439	0.000106607029904456	3.79047217438067e-05	3.55356766348188e-05	0.00221268813179472	7.10713532696376e-05	0	3.55356766348188e-05	3.55356766348188e-05	2.8428541307855e-05	1.42142706539275e-05	3.55356766348188e-05	0	0	2.13214059808913e-05	0	1.42142706539275e-05	0	0	0	0.000272440187533611	0.000642011224535726	0	0	0	0	0	0.000106607029904456	0	0	0	0	0	0	0	0	0	0	0	4.73809021797584e-06	4.73809021797584e-06
