feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Firmicutes.c__Bacilli.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.
HEB24007	-1.42629050595533	-6.38056384892198	-7.96463109982174	-9.53445874054535	-9.01564078336352	-1.32867224026714	-9.18672522796145	-10.209876192212	-9.15778768106355	-5.332131942263	-10.4644490192976	-3.25062426112727	-10.9972153088933	-12.2617151237316	-12.837907414825	-10.837907414825	-9.40009860788755	-5.07635618238057	-4.93036119773699	-12.0494115200188	-12.6650708179628	-10.3478041004453	-7.4493421269074	-13.7123765327412	-13.8643796261862	-14.3713396149061	-9.25732335461447	-14.0343046276286	-16.8705894809492	-15.1598355097124	-14.8119122062921	-17.0901094652563	-14.7123765327412	-18.1983802913855	-19.0592863614329	-16.2973390334623	-16.2973390334623	-16.2973390334623	-18.4443401343056	-16.0343046276286	-15.6192671283497	-18.8420904391061	-12.786377114185	-9.86772306926061	-18.515396986715	-17.0343046276286	-17.0343046276286	-15.4493421269074	-16.2973390334623	-13.3713396149061	-17.6192671283497	-18.4443401343056	-19.0592863614329	-20.1418240063643	-18.8705894809492	-19.0373029594949	-18.9040494899974	-19.5568615056432	-16.971899004922	-20.1418240063643	-19.0105390327041	-19.0106182496565	-18.9040494899974
HEB24008	-1.32250136450982	-1.49713527020229	-8.04571534589783	-9.78632871707918	-9.54873623308281	-2.73956486157542	-10.6028436384223	-11.0457153458978	-8.95494988197465	-6.22813638291798	-10.5094471019688	-4.95302683774319	-11.479611872428	-12.668645696818	-13.1970246691728	-10.9490971557292	-10.0209474407489	-5.99791864231853	-6.16635753292585	-12.3125018865927	-13.1161046737892	-10.89183983812	-7.58514864062378	-14.1970246691728	-14.1970246691728	-14.7275393858716	-8.94909715572921	-14.8974643873139	-16.8705894809492	-15.8974643873139	-14.5755362924265	-16.0901094652563	-17.8705934942268	-18.1983802913855	-16.8974643873139	-18.0686680818985	-18.3552249009769	-17.3125018865927	-18.4443401343056	-17.4523404587737	-18.9040494899974	-18.8420904391061	-13.8100015460635	-11.5137600948398	-18.515396986715	-17.3125018865927	-16.8974643873139	-18.5568615056432	-16.5755362924265	-14.0901094652563	-19.4555519816703	-18.4443401343056	-19.0592863614329	-20.1418240063643	-18.8705894809492	-19.0373029594949	-16.8974643873139	-19.5568615056432	-16.971899004922	-20.1418240063643	-19.0105390327041	-19.0106182496565	-18.9040494899974
HEB24010	-3.16096392725457	-0.906684944765616	-7.56168553435346	-9.17851855036164	-9.15637957309239	-3.99085527167912	-10.0208747036093	-10.5689780269198	-8.58170633176274	-5.21066540805404	-10.0235438903853	-2.76390523045333	-11.1461631770493	-12.2548694364918	-12.8149572685739	-10.8057387385445	-10.0369644061476	-4.30214084846703	-4.70435684670255	-12.4856496433209	-13.2930045653785	-9.5612006763281	-7.20516291487279	-13.4565032976614	-13.742807482818	-14.0559653680777	-8.66364794529892	-14.1934688918276	-14.7784313925488	-14.9304344859938	-14.7784313925488	-15.2930045653785	-15.6409278687988	-18.1983802913855	-16.2930045653785	-16.2930045653785	-15.515396986715	-19.0592863614329	-16.515396986715	-16.1003594874361	-15.7784313925488	-18.8420904391061	-11.8057387385445	-10.6532762612265	-17.515396986715	-18.1003594874361	-18.8364572394867	-15.9304344859938	-15.515396986715	-14.3454719852727	-19.4555519816703	-18.4443401343056	-19.0592863614329	-17.515396986715	-18.8705894809492	-19.0373029594949	-18.9040494899974	-19.5568615056432	-16.971899004922	-18.1003594874361	-19.0105390327041	-19.0106182496565	-18.9040494899974
HEB24017	-2.55512524830744	-1.50664516032609	-7.59695284029433	-9.32649652579554	-9.08165305196652	-1.69818367297379	-10.2075802244088	-10.3755248617229	-5.56600878882762	-6.01060662524493	-10.0860182445279	-3.79915949344615	-11.1607860129299	-12.4523404587737	-12.9929088401364	-10.85739386948	-8.97931123673571	-5.64579083678777	-5.78611645597055	-12.6279120233572	-13.4225931153797	-12.9287785027167	-7.43182344143322	-13.5137410034379	-14.083106649108	-14.2824154573314	-9.65144055885343	-13.8278495938659	-14.7153748646075	-15.5778713408576	-15.2299480374373	-15.5778713408576	-15.4523404587737	-15.7153748646075	-17.0373029594949	-16.4523404587737	-18.3552249009769	-17.0373029594949	-18.4443401343056	-16.4523404587737	-18.9040494899974	-18.8420904391061	-13.7153748646075	-10.2757517270504	-18.515396986715	-16.7153748646075	-18.8364572394867	-17.0373029594949	-15.4523404587737	-14.1304123638864	-18.0373029594949	-18.4443401343056	-19.0592863614329	-20.1418240063643	-16.2299480374373	-18.0373029594949	-18.9040494899974	-19.5568615056432	-16.971899004922	-20.1418240063643	-19.0105390327041	-19.0106182496565	-18.9040494899974
HEB24040	-3.5753090883799	-0.826424538513643	-7.74227903973691	-9.32724154045807	-9.32324182888349	-6.28948957437792	-9.92023688509954	-10.2170115027586	-6.04461486281401	-5.02983256049947	-10.1978440920206	-2.3743184311235	-11.214046044282	-12.4553234791811	-12.9619149163494	-10.7930958521333	-9.8986500228914	-4.51688579562913	-4.75731004496573	-12.6580082291001	-13.6499709100347	-12.682392387727	-7.81202766814364	-13.6988805105156	-15.0974298870059	-14.3344690843067	-10.0919754569138	-14.3089339921996	-14.6499709100347	-15.0974298870059	-14.5872351546867	-15.2349334107558	-15.971899004922	-15.8938964929208	-16.5568615056432	-16.054361165114	-15.971899004922	-17.819895911477	-18.4443401343056	-16.1418240063643	-18.9040494899974	-18.8420904391061	-11.9870058973122	-10.5456342502199	-18.515396986715	-16.971899004922	-16.5568615056432	-17.5568615056432	-15.3344690843067	-13.2349334107558	-18.1418240063643	-18.4443401343056	-19.0592863614329	-19.1418240063643	-18.8705894809492	-19.0373029594949	-18.9040494899974	-18.5568615056432	-15.971899004922	-19.1418240063643	-19.0105390327041	-19.0106182496565	-18.9040494899974
HEB24042	-0.982215638375637	-4.75429726419328	-7.97987984318155	-9.45211923811947	-9.41403205337049	-3.7168661373218	-8.67099344895019	-10.4033321647133	-7.63508264074796	-4.71063507585722	-10.3339584616726	-2.23129885187188	-11.2613131598409	-12.0913881583985	-12.8788435230184	-10.6215848556888	-8.92019149972018	-4.11224654617773	-4.51467887902653	-11.9812052406481	-12.7111160772804	-9.91132114653561	-7.79720505399408	-13.7467399870111	-14.4248118921237	-15.2613131598409	-9.5648423439027	-14.4837055811773	-15.4837055811773	-15.1617774862899	-14.6092364632612	-15.3682283637574	-15.4837055811773	-16.2613131598409	-17.4837055811773	-17.0686680818985	-18.3552249009769	-19.0592863614329	-18.4443401343056	-15.4837055811773	-18.9040494899974	-17.0686680818985	-12.8398493914026	-10.3856734982168	-16.2613131598409	-16.4837055811773	-18.8364572394867	-15.8987430804561	-17.8705894809492	-13.6424033271964	-19.4555519816703	-16.2613131598409	-19.0592863614329	-20.1418240063643	-18.8705894809492	-19.0373029594949	-18.9040494899974	-19.5568615056432	-16.971899004922	-20.1418240063643	-19.0105390327041	-17.4837055811773	-18.9040494899974
HEB24058	-1.80499393964414	-3.59018401061499	-7.71879275187012	-9.35054314027408	-8.99094830434617	-2.00003278070099	-10.0246970957007	-10.5511074140668	-2.60380255001233	-5.78819692945494	-10.2690720463029	-3.33692629870339	-11.1401743131207	-12.1903600702889	-13.1036484370955	-10.5593279208717	-8.68074269448335	-5.11543715313021	-5.05416287545439	-11.8812560157591	-12.9661449133456	-10.9606904832535	-5.83639356494355	-13.1776490185393	-14.4255765319829	-14.2031841106465	-7.4421078395366	-14.4255765319829	-14.6886109378167	-15.0105390327041	-14.4255765319829	-15.5511074140668	-16.2031841106465	-16.2031841106465	-16.4255765319829	-16.4255765319829	-15.5511074140668	-17.4255765319829	-18.4443401343056	-17.4523404587737	-17.4255765319829	-18.8420904391061	-13.0105390327041	-10.1066571869679	-18.515396986715	-16.2031841106465	-18.8364572394867	-18.5568615056432	-16.4255765319829	-14.5511074140668	-19.4555519816703	-18.4443401343056	-19.0592863614329	-17.4255765319829	-18.8705894809492	-19.0373029594949	-16.2031841106465	-19.5568615056432	-16.971899004922	-20.1418240063643	-18.0105390327041	-19.0106182496565	-18.9040494899974
HEB24065	-1.98670282062673	-4.43004992455448	-7.60926981805276	-9.26088985718118	-9.06730337950496	-6.71624650612794	-9.19343326306759	-10.5847025964135	-6.87606572530577	-4.66078286167834	-10.0938975895167	-1.37252281031388	-10.8345959025592	-12.0872029369427	-12.6855859534261	-10.3744848890231	-8.5551477021681	-3.20773313796816	-3.08404076915123	-11.8496241117915	-13.0520135084804	-9.90545250010357	-6.64078331217883	-13.3609637493695	-14.257127938385	-14.2977699228823	-9.51566095198383	-13.5941629256626	-14.1791254263837	-14.9034909837703	-13.8420904391061	-15.257127938385	-14.7831967500526	-15.7266132216862	-16.1051248449399	-16.257127938385	-17.1051248449399	-19.0592863614329	-18.4443401343056	-15.96762132119	-14.6721654376638	-17.8420904391061	-9.78319675005257	-11.12784492144	-18.515396986715	-17.4270529398273	-18.8364572394867	-15.96762132119	-15.1051248449399	-14.0007881851252	-17.4270529398273	-18.4443401343056	-19.0592863614329	-20.1418240063643	-17.8420904391061	-19.0373029594949	-17.8420904391061	-19.5568615056432	-16.971899004922	-20.1418240063643	-19.0105390327041	-19.0106182496565	-18.9040494899974
HEB24067	-1.19142856293777	-2.65818488267545	-7.908203475331	-9.40183263373515	-9.340765344262	-7.24296828898375	-10.0539093303148	-10.3577293509951	-5.01447437275308	-4.86429136754118	-10.4908958024273	-2.46110071950545	-11.3546301123363	-12.3239984936826	-12.4506319322136	-10.6913392509301	-9.70311641870649	-4.04019030574924	-4.71424551766612	-12.3239984936826	-12.9150355088134	-10.3827659019325	-4.99007270881821	-14.0895332400456	-14.4114613349329	-14.4639287548271	-7.83727330580595	-13.9708887435469	-14.5183765388494	-14.8968881621032	-15.4114613349329	-15.1313534157402	-15.7593846383532	-15.5183765388494	-16.2188162569905	-16.2188162569905	-16.6338537562694	-19.0592863614329	-16.6338537562694	-16.4114613349329	-17.6338537562694	-18.8420904391061	-11.7593846383532	-9.45560389017613	-18.515396986715	-16.8968881621032	-18.8364572394867	-16.4114613349329	-15.7593846383532	-13.2646199466037	-17.2188162569905	-18.4443401343056	-19.0592863614329	-20.1418240063643	-18.8705894809492	-19.0373029594949	-18.9040494899974	-19.5568615056432	-16.971899004922	-20.1418240063643	-17.6338537562694	-19.0106182496565	-18.9040494899974
HEB24088	-1.47602098285646	-1.91628936062664	-7.77587091228476	-9.36759077918123	-9.07623810282087	-3.8913754395461	-9.51984475429648	-10.223738526857	-4.72274152623098	-5.63707413253179	-10.187417013045	-2.87430848980593	-11.2115294691618	-12.2609981454261	-13.6428687807698	-10.7863960921475	-8.06064124776985	-4.74154474366565	-4.40410218259484	-12.5998000588779	-13.072553056013	-12.7803723045197	-6.77325157158697	-13.1954098037985	-14.6872629001282	-14.7803723045197	-8.81998416041856	-13.7803723045197	-16.8705894809492	-14.7803723045197	-14.7803723045197	-15.1023003994071	-16.1023003994071	-14.7803723045197	-19.0592863614329	-18.0686680818985	-15.5173378986859	-19.0592863614329	-16.1023003994071	-17.4523404587737	-18.9040494899974	-18.8420904391061	-11.8417728491838	-10.6051138587744	-18.515396986715	-19.1003594874361	-18.8364572394867	-18.5568615056432	-17.8705894809492	-13.1954098037985	-19.4555519816703	-18.4443401343056	-19.0592863614329	-20.1418240063643	-18.8705894809492	-19.0373029594949	-18.9040494899974	-19.5568615056432	-16.971899004922	-20.1418240063643	-19.0105390327041	-17.6872629001282	-17.6872629001282
