feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	Day_Num	Day_Num	-0.875115494117619	0.286656553170586	24	24	0.00719545338488232	0.21586360154647
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	Day_Num	Day_Num	0.367001531679357	0.151149507155463	24	24	0.0265714365459269	0.329327674097839
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	Day_Num	Day_Num	0.960784437704702	0.4338614403506	24	24	0.0407446868164508	0.329327674097839
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	Day_Num	Day_Num	0.362979616073609	0.166777267626658	24	24	0.0439103565463785	0.329327674097839
k__Bacteria.__.__.__	Day_Num	Day_Num	-0.134174850787839	0.0751640494448139	24	24	0.0920996835472707	0.345373813302265
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	Day_Num	Day_Num	-0.273846683819368	0.150803424283033	24	24	0.087061375645164	0.345373813302265
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	Day_Num	Day_Num	-0.144786703849497	0.0811530101345149	24	24	0.0882045224016703	0.345373813302265
k__Bacteria.p__Bacteroidetes.__.__	Day_Num	Day_Num	-0.445150384910862	0.227990600757138	24	15	0.0637196284217169	0.345373813302265
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	Day_Num	Day_Num	-0.140848374197614	0.0822714246571398	24	24	0.105077507908974	0.350258359696581
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	Day_Num	Day_Num	-0.136716652955125	0.083468388142919	24	23	0.119807953992708	0.359423861978123
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	Day_Num	Day_Num	-0.070263305639621	0.0457012905309693	24	24	0.14258769903466	0.388875542821799
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	Day_Num	Day_Num	-0.216706154564318	0.156658851620808	24	24	0.184471362629757	0.461178406574392
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	Day_Num	Day_Num	-0.059108084622699	0.0559861321888081	24	24	0.30253317869639	0.698153489299362
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	Day_Num	Day_Num	0.264255471413271	0.28321567084435	24	12	0.363856007169946	0.779691443935598
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	Day_Num	Day_Num	0.0543830446063189	0.0744160028421665	24	24	0.472614640274104	0.869799267174865
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	Day_Num	Day_Num	-0.100994630209876	0.132203357232705	24	24	0.4530224584503	0.869799267174865
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	Day_Num	Day_Num	-0.167659310802983	0.239226962218472	24	7	0.49288625139909	0.869799267174865
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	Day_Num	Day_Num	0.160890125494455	0.328848560432535	24	24	0.63091530756326	0.87690319822228
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Day_Num	Day_Num	-0.0745083327217197	0.173103374975762	24	22	0.672292451970414	0.87690319822228
Unassigned.__.__.__	Day_Num	Day_Num	-0.115324188061109	0.205296865771622	24	12	0.579969163699575	0.87690319822228
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	Day_Num	Day_Num	0.097426040410796	0.174672929685291	24	7	0.584277375645562	0.87690319822228
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	Day_Num	Day_Num	0.0688121437054442	0.152985072447742	24	6	0.658539689018589	0.87690319822228
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	Day_Num	Day_Num	0.078126495167995	0.171410933116015	24	5	0.654312946584065	0.87690319822228
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	Day_Num	Day_Num	-0.0412753534129097	0.107399331813022	24	24	0.705508673157604	0.881885841447005
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__	Day_Num	Day_Num	-0.0405216166715274	0.133189669327515	24	3	0.763804222363942	0.91656506683673
k__Bacteria.p__Firmicutes.c__Clostridia.__	Day_Num	Day_Num	-0.0577390904905701	0.299502104018535	24	24	0.84889705295943	0.951491426703967
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	Day_Num	Day_Num	0.0102628447592306	0.0718244616084246	24	24	0.888058664923702	0.951491426703967
k__Bacteria.p__Firmicutes.c__Bacilli.__	Day_Num	Day_Num	-0.0306604528153095	0.200245045607952	24	7	0.880110602812169	0.951491426703967
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	Day_Num	Day_Num	0.000725157088177213	0.0599935714622409	24	24	0.990496726487315	0.990496726487315
k__Bacteria.p__Firmicutes.__.__	Day_Num	Day_Num	0.00459742439619771	0.101510730849971	24	24	0.964403892265191	0.990496726487315
