feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes	Day_Num	Day_Num	0.34477034240259	0.142460903953623	30	30	0.023820686033047	0.23820686033047
k__Bacteria.p__Firmicutes	Day_Num	Day_Num	-0.0983057317991812	0.0505189033636929	30	30	0.0639839255404224	0.293912759933184
k__Bacteria.p__Verrucomicrobia	Day_Num	Day_Num	0.253301276196331	0.142247242317598	30	30	0.0881738279799551	0.293912759933184
k__Bacteria.__	Day_Num	Day_Num	-0.0302118933138039	0.0709198437505223	30	30	0.674067649158729	0.72950365484993
k__Bacteria.p__Proteobacteria	Day_Num	Day_Num	0.0194900061666502	0.0455993044533335	30	30	0.673049252621106	0.72950365484993
k__Bacteria.p__Cyanobacteria	Day_Num	Day_Num	0.0258698016517179	0.0500632230765163	30	30	0.610269273680093	0.72950365484993
k__Bacteria.p__Actinobacteria	Day_Num	Day_Num	0.0446707754055877	0.0505473957278679	30	30	0.385981094861547	0.72950365484993
k__Bacteria.p__Tenericutes	Day_Num	Day_Num	-0.0714793151137359	0.177251627834413	30	30	0.690477905761473	0.72950365484993
k__Bacteria.p__Deferribacteres	Day_Num	Day_Num	0.0495516381836247	0.141565272369726	30	28	0.72950365484993	0.72950365484993
Unassigned.__	Day_Num	Day_Num	0.0910039093716253	0.192541676364177	30	16	0.640129779627016	0.72950365484993
