feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes	Day_Num	Day_Num	0.366972878273943	0.151136999721979	24	24	0.0265708243907386	0.132854121953693
k__Bacteria.p__Firmicutes	Day_Num	Day_Num	-0.11609758022889	0.0474484204701597	24	24	0.0255782876831655	0.132854121953693
k__Bacteria.p__Verrucomicrobia	Day_Num	Day_Num	0.362979719307601	0.166777280244391	24	24	0.0439103172733898	0.146367724244633
k__Bacteria.__	Day_Num	Day_Num	-0.134174747553848	0.075163742317533	24	24	0.0920986917960368	0.230246729490092
k__Bacteria.p__Tenericutes	Day_Num	Day_Num	-0.216706051330326	0.156658877936799	24	24	0.184471630838945	0.368943261677889
k__Bacteria.p__Actinobacteria	Day_Num	Day_Num	-0.0590116169239341	0.0470985158757813	24	24	0.227188338353196	0.378647230588659
k__Bacteria.p__Cyanobacteria	Day_Num	Day_Num	-0.0591079813887068	0.05598576950353	24	24	0.302530946449145	0.432187066355921
k__Bacteria.p__Proteobacteria	Day_Num	Day_Num	-0.0285747675437364	0.0560901231893439	24	24	0.616990375174104	0.672292716303522
k__Bacteria.p__Deferribacteres	Day_Num	Day_Num	-0.0745082294877281	0.173103284204341	24	22	0.672292716303522	0.672292716303522
Unassigned.__	Day_Num	Day_Num	-0.115324167832345	0.205296575868222	24	12	0.579968698450804	0.672292716303522
