feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24007	-1.42254975064822	-0.686112466671507	-9.18672522796145	-10.209876192212	-10.4294425694697	-12.2617151237316	-11.975410938575	-9.25732335461447	-14.7123765327412	-16.2973390334623
HEB24008	-1.31954142880063	-0.748178700799756	-10.6028436384223	-11.0457153458978	-10.8530702679554	-12.668645696818	-12.7681813703689	-8.94909715572921	-17.8705934942268	-17.3125018865927
HEB24010	-3.15000863678356	-0.181013119513651	-10.0208747036093	-10.5689780269198	-10.4421480046843	-12.2548694364918	-12.0779916744077	-8.66364794529892	-15.6409278687988	-19.0592863614329
HEB24017	-2.54816595522139	-0.277351890513581	-10.2075855873681	-10.3755302246822	-10.5454552261245	-12.452345821733	-12.2559486089295	-9.65144592181272	-15.452345821733	-17.0373083224542
HEB24040	-3.56118267131777	-0.13385915878638	-9.92023688509954	-10.2170115027586	-10.6123934522182	-12.4553234791811	-11.8750374656694	-10.0919754569138	-15.971899004922	-17.819895911477
HEB24042	-0.979165875895179	-1.03765078806459	-8.67099344895019	-10.4033321647133	-10.5888878178694	-12.0913881583985	-12.3272010954973	-9.5648423439027	-15.4837055811773	-19.0592863614329
HEB24058	-1.79956335497766	-0.50577434573869	-10.0246970957007	-10.5511074140668	-10.5593279208717	-12.1903600702889	-12.4106261905169	-7.4421078395366	-16.2031841106465	-17.4255765319829
HEB24065	-1.97996163981859	-0.43157283751415	-9.19343326306759	-10.5847025964135	-10.2546254311818	-12.0872029369427	-12.0176620036896	-9.51566095198383	-14.7831967500526	-19.0592863614329
HEB24067	-1.18824005535495	-0.852234096943828	-10.0539140592532	-10.3577340799334	-10.5183812677877	-12.3240032226209	-11.8789709830442	-7.83727803474425	-15.7593893672915	-19.0592863614329
HEB24088	-1.47249793948223	-0.65708612732506	-9.51984475429648	-10.223738526857	-10.6872629001282	-12.2609981454261	-11.9730173824621	-8.81998416041856	-16.1023003994071	-19.0592863614329
HEB24090	-2.40722276999919	-0.358335864585201	-5.12740843007035	-10.40102859059	-10.8687250391414	-12.9178195886696	-11.810904384753	-9.81606608986883	-16.6182593068106	-16.940187401698
HEB24097	-1.24530803023249	-0.818634087446026	-6.75716265458154	-11.1424982575529	-10.7543023704927	-12.3041366478103	-12.5290100586505	-10.7747664730525	-17.8705934942268	-19.0592863614329
HEB24098	-2.32536965486477	-0.334110950677567	-9.05987789515068	-9.17974836765493	-10.052100544559	-12.3058571368047	-11.7332783605394	-8.8650411963348	-15.1318277370297	-19.0592863614329
HEB24099	-1.04588371499097	-1.23628823552422	-3.52180504413475	-10.4178366693653	-10.9860373794022	-12.6669689386541	-11.9789129449689	-8.65414489829654	-16.0592863614329	-18.0592863614329
HEB24100	-1.20674753130758	-0.831928836598702	-9.94351258356374	-10.3380444274079	-10.3458217779997	-12.4848858157372	-12.2333470487412	-8.96581125067252	-14.9703126429075	-16.877203238516
HEB24111	-0.900460671355801	-1.1217941469572	-9.24496127875764	-10.2555047729991	-10.4885183100921	-12.8439989646905	-12.0125985686663	-9.69784212918115	-15.7615368044985	-19.0592863614329
HEB24120	-0.914145452515035	-1.16531968415368	-5.61067849340777	-10.3879053106384	-10.7389797511853	-12.0560090466598	-11.8833696605205	-9.74882753714163	-16.131297173964	-17.9386520960217
HEB24123	-5.24345206562523	-0.0472880734175505	-9.61603124812615	-9.22660980617869	-9.8254846137551	-11.88106196165	-11.5272355153372	-9.7459378145376	-15.2073552490987	-16.9298212735698
HEB24139	-1.11467244463218	-0.906188991661478	-9.0234546088848	-10.4072174028305	-10.8764521964981	-12.7389486727482	-12.3782013289703	-9.86746341327086	-16.3910253693279	-17.6134177906643
HEB24140	-1.27499689392913	-0.774155701389542	-10.8045002904914	-11.6741922681457	-11.0805125503234	-12.7831266396988	-12.36808914042	-11.3894627912126	-16.285626980228	-19.0592863614329
HEB24141	-1.30410747823098	-0.783465588364363	-6.47123455426828	-10.6367910586835	-10.3207635652358	-12.4101986488177	-12.5510611846576	-9.96301929100445	-15.6665384020775	-17.2515009027987
HEB24142	-1.70558966493772	-0.546068510985933	-7.58225807695225	-10.0448339649945	-10.5676747538078	-12.2691512632554	-11.5430126995735	-9.78179955916066	-15.4256557489354	-19.0592863614329
HEB24143	-1.28018187995871	-0.881583433111654	-4.57100386096072	-10.9009671432703	-10.4725624202536	-12.246102629319	-12.0461650588102	-9.1701537760857	-16.8705934942268	-19.0592863614329
HEB24144	-1.28318556800949	-0.773313374260526	-10.2676403112127	-10.71677100916	-10.7613611601841	-12.5849811366044	-12.2047090554863	-9.23358613277641	-15.392336058662	-19.0592863614329
