feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__gordonii	Day_Num	Day_Num	0.159774426220505	0.0526897964101782	30	30	0.00592214261193937	0.342298600592375
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__.__	Day_Num	Day_Num	0.177746443831704	0.0651989289005082	30	30	0.0109256180630291	0.342298600592375
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Plesiomonas.s__shigelloides	Day_Num	Day_Num	0.375319392647855	0.136734212011333	30	9	0.0115381550761475	0.342298600592375
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	Day_Num	Day_Num	0.346878763149257	0.143998682191413	30	30	0.0244084168213844	0.543087274275802
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	Day_Num	Day_Num	0.256052935802248	0.116613230550001	30	10	0.036560209930338	0.647697164813038
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.__.__	Day_Num	Day_Num	0.35144884477481	0.164636181292137	30	9	0.0436649774031261	0.647697164813038
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria.s__	Day_Num	Day_Num	0.308978134739024	0.150374873105005	30	9	0.051437717729268	0.653993839700692
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	Day_Num	Day_Num	0.253301729367093	0.142246885210048	30	30	0.0881725452438012	0.712695210829164
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__.s__	Day_Num	Day_Num	-0.494000711998912	0.302461948855289	30	30	0.116029368537327	0.712695210829164
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	Day_Num	Day_Num	-0.146740323332055	0.079973756191161	30	30	0.0794946544471282	0.712695210829164
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	Day_Num	Day_Num	-0.225617542014376	0.14833574376863	30	30	0.141891705915495	0.712695210829164
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__	Day_Num	Day_Num	0.0933252943808965	0.0614246291122487	30	30	0.139887671871093	0.712695210829164
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium.s__	Day_Num	Day_Num	-0.142076389352823	0.0949822675762656	30	30	0.148296989796203	0.712695210829164
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__longum	Day_Num	Day_Num	0.0888743822622052	0.0600053380924852	30	30	0.15214841579499	0.712695210829164
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas.s__maltophilia	Day_Num	Day_Num	0.256501711074818	0.148585336094421	30	12	0.0977053598689267	0.712695210829164
