feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__.s__	Day_Num	Day_Num	-0.936327713706309	0.311554713066146	24	24	0.00796350855850892	0.185831457731359
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__	Day_Num	Day_Num	-0.130510386461395	0.0440709287543182	24	24	0.00874535111951563	0.185831457731359
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	Day_Num	Day_Num	-0.272152807167761	0.07676308993463	24	24	0.00248695648359443	0.185831457731359
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	Day_Num	Day_Num	-0.457833931386912	0.163392948239534	24	24	0.012252623586683	0.185831457731359
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium.s__	Day_Num	Day_Num	-0.263564269965947	0.0964786583858503	24	24	0.0121750261607896	0.185831457731359
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.__.__	Day_Num	Day_Num	-0.374406882009468	0.123479646156901	24	4	0.00752089522668321	0.185831457731359
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	Day_Num	Day_Num	0.369087242835896	0.153062013198886	24	24	0.0274872588232918	0.260994298373046
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__helveticus	Day_Num	Day_Num	-0.149828973821788	0.0602522824839972	24	24	0.0235808692649674	0.260994298373046
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__	Day_Num	Day_Num	-0.463591186563831	0.189751619220281	24	24	0.0257698703464128	0.260994298373046
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria.s__	Day_Num	Day_Num	0.325536240662237	0.136187833283295	24	6	0.0286806921289061	0.260994298373046
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.__.__	Day_Num	Day_Num	-0.286945821567564	0.127919571655278	24	3	0.0352841707306782	0.291896321499247
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__.s__	Day_Num	Day_Num	-0.0996806600092454	0.0475028644156435	24	24	0.0511165401299552	0.305183748755324
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	Day_Num	Day_Num	-0.0872831582604555	0.0418965565533636	24	24	0.0526314490841997	0.305183748755324
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__	Day_Num	Day_Num	0.960783497813833	0.43386042907624	24	24	0.0407444461928816	0.305183748755324
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	Day_Num	Day_Num	0.36297867618274	0.166776926236343	24	24	0.0439104581444966	0.305183748755324
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__.s__	Day_Num	Day_Num	-0.114798577679229	0.055979541031177	24	24	0.0560370361716795	0.305183748755324
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__gordonii	Day_Num	Day_Num	0.125674784199205	0.0642854324398556	24	24	0.0634119959927826	0.305183748755324
k__Bacteria.p__Bacteroidetes.__.__.__.__.__	Day_Num	Day_Num	-0.445151435627879	0.227991190402166	24	15	0.0637196838060566	0.305183748755324
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__	Day_Num	Day_Num	-0.350405242604575	0.17316464804471	24	23	0.0590306646320162	0.305183748755324
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__	Day_Num	Day_Num	-0.259770221076735	0.137511707813949	24	24	0.0760633130967942	0.346088074590414
k__Bacteria.__.__.__.__.__.__	Day_Num	Day_Num	-0.134175790678706	0.0751652969307293	24	24	0.092102551683804	0.364405747966355
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala.s__biternata	Day_Num	Day_Num	-0.144787643740365	0.0811528765933262	24	24	0.0882021013480872	0.364405747966355
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii	Day_Num	Day_Num	-0.117370858852082	0.0640830596253814	24	24	0.0846013153230179	0.364405747966355
