feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	TimePoint	Intervention	0.748567502199505	0.233159872901961	24	24	0.00512997476310632	0.15389924289319
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	TimePoint	Intervention	-1.77488561396399	1.16395733423145	24	24	0.266789532014575	0.968571895491585
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	TimePoint	Intervention	-0.0958486916811021	0.103314631924074	24	24	0.451484840111094	0.968571895491585
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	TimePoint	Intervention	0.73594025551659	1.2385999908864	24	24	0.612653145883213	0.968571895491585
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	TimePoint	Intervention	0.65981081220699	0.354873167768708	24	24	0.0803837762046798	0.968571895491585
k__Bacteria.__.__.__	TimePoint	Intervention	-0.0904481310372276	0.291049806429545	24	24	0.785376202113268	0.968571895491585
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	TimePoint	Intervention	-0.267255340836494	0.328578919482217	24	24	0.427253112628018	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	TimePoint	Intervention	0.102276904463466	0.118843292394175	24	24	0.401431669223269	0.968571895491585
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	TimePoint	Intervention	0.0175095760194763	0.202383875399301	24	24	0.938936865474855	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	TimePoint	Intervention	-0.061852439756932	0.25267962126761	24	24	0.829446201865773	0.968571895491585
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	TimePoint	Intervention	0.268945627210422	0.60679648303591	24	24	0.663193773456639	0.968571895491585
k__Bacteria.p__Firmicutes.c__Clostridia.__	TimePoint	Intervention	0.365942090378086	1.19849405265314	24	24	0.788959890368491	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	TimePoint	Intervention	0.276258242043261	0.201546685381939	24	24	0.304028868380361	0.968571895491585
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	TimePoint	Intervention	-0.0257243369783211	0.399599779785344	24	24	0.954526916192922	0.968571895491585
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	TimePoint	Intervention	-0.206399103877143	0.492961908428335	24	24	0.680683448632327	0.968571895491585
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	TimePoint	Intervention	0.183801727051506	0.216034450658788	24	24	0.484493184134699	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	TimePoint	Intervention	-0.186529131713099	0.21317007007184	24	24	0.391013507197668	0.968571895491585
k__Bacteria.p__Firmicutes.__.__	TimePoint	Intervention	0.233953959158524	0.274711420554315	24	24	0.484120934126611	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	TimePoint	Intervention	-0.132452049570315	0.328287035521675	24	23	0.725656806102954	0.968571895491585
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	TimePoint	Intervention	0.0792233688889328	0.382436108857601	24	22	0.838350268495642	0.968571895491585
Unassigned.__.__.__	TimePoint	Intervention	-0.0762790815332856	0.559397272732493	24	14	0.904024443237733	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	TimePoint	Intervention	0.471607607215479	0.479751580931516	24	9	0.429239236701172	0.968571895491585
k__Bacteria.p__Bacteroidetes.__.__	TimePoint	Intervention	-0.87757997825349	0.436184626017974	24	17	0.181887492714614	0.968571895491585
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	TimePoint	Intervention	0.395087038930758	0.463996002735307	24	9	0.484175036645483	0.968571895491585
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	TimePoint	Intervention	-0.0193126804878495	0.237757205904105	24	24	0.936208835641933	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	TimePoint	Intervention	1.21596387606367	0.732541545393307	24	15	0.115261553480676	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	TimePoint	Intervention	-0.0680036791703868	0.506896657056684	24	6	0.894498251885373	0.968571895491585
k__Bacteria.p__Firmicutes.c__Bacilli.__	TimePoint	Intervention	0.0355323185526362	0.799054915433756	24	6	0.968571895491585	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	TimePoint	Intervention	0.14598336748859	0.425088316358929	24	8	0.735493842003249	0.968571895491585
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__	TimePoint	Intervention	0.0961016730820144	0.287736061233734	24	3	0.742469967876763	0.968571895491585
