feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__
HEB24007	0.373044963966246	0.0140583791515802	0.00595513040195888	0.39813448959218	0.00171601130431759	0.000844347096191001	0.201096161200761	0.000489224641028315	0.000203636652610771	0.000136585559677956	0.00148009079214658	0.000767362508008881	6.70510929328148e-05	8.69180834314266e-05	0.00163405996851082	5.96009714958354e-05	2.73171119355912e-05	3.47672333725706e-05	0	3.72506071848971e-05	1.24168690616324e-05	0	7.45012143697942e-06	7.45012143697942e-06	9.4368204868406e-05	4.96674762465295e-06	0	0	0	0
HEB24008	0.400656128473395	0.356074615159353	0.00511960419316062	0.149729992074853	0.000643022286660974	0.000473051427448041	0.0828925354123022	0.000350180926812186	0.000153588125794819	0.000106487767217741	0.000962485588314196	0.000526295311056912	5.32438836088704e-05	4.50525168998134e-05	0.00202326757713708	3.2765466836228e-05	1.6382733418114e-05	4.09568335452849e-05	1.43348917408497e-05	0	6.14352503179274e-06	0	6.14352503179274e-06	8.19136670905699e-06	5.73395669633989e-05	0	0	8.19136670905699e-06	0	0
HEB24017	0.170962951397989	0.354404923209603	0.00702386329208974	0.308172698936663	0.000845688753083047	0.000752755923073921	0.153367049364061	0.000436784301042892	0.000178431033617522	0.000122671335612046	0.00198132793579457	0.000128247305412594	5.76183546056581e-05	7.99222338078484e-05	0.00124344126552211	6.87702942067532e-05	2.04452226020077e-05	2.60211924025553e-05	2.04452226020077e-05	2.23038792021902e-05	7.43462640073008e-06	0	9.2932830009126e-06	0	5.57596980054756e-05	1.11519396010951e-05	0	0	0	0
HEB24040	0.0847105134182677	0.566333273690825	0.00624690442417752	0.0127842419307576	0.00103207470353784	0.000840181416950401	0.324785438238454	0.000420955092649018	0.000178063139806361	0.000125335705203506	0.00104763361866655	0.000152131614591842	2.85246777359704e-05	0.000102861716684257	0.000916247224246322	4.92698979075852e-05	2.85246777359704e-05	4.06260561694124e-05	2.59315252145185e-05	1.55589151287111e-05	4.32192086908642e-06	0	7.77945756435556e-06	1.03726100858074e-05	0.000103726100858074	3.45753669526914e-06	1.72876834763457e-06	0	2.59315252145185e-06	1.72876834763457e-06
HEB24042	0.507262033369343	0.039254627659381	0.00543970493556378	0.0760522037079473	0.00245341422871131	0.000738388566980573	0.36323079553184	0.000407386795575488	0.000229155072511212	0.000132764446772369	0.00206421434365259	0.00103847259050716	5.0923349446936e-05	7.27476420670515e-05	0.00132036970351698	4.36485852402309e-05	2.72803657751443e-05	4.00112031368783e-05	2.36429836717917e-05	2.18242926201155e-05	0	7.27476420670515e-06	1.09121463100577e-05	0	7.82037152220804e-05	0	0	0	0	0
HEB24058	0.287248263691653	0.0853744897109056	0.00671801746533064	0.249994319601918	0.000959987275908296	0.000666500041656253	0.359198079268062	0.000443071050419213	0.000213961661099877	0.000113607961645952	0.00243689077730567	0.000501768497269622	4.54431846583809e-05	9.65667673990593e-05	0.00575045632531261	4.54431846583809e-05	3.02954564389206e-05	4.54431846583809e-05	2.4615058356623e-05	1.32542621920278e-05	5.68039808229761e-06	0	1.32542621920278e-05	0	4.16562526035158e-05	0	5.68039808229761e-06	1.32542621920278e-05	0	0
HEB24088	0.360357820573262	0.267306466782434	0.00641537415513929	0.0673874881251614	0.00136220093766805	0.000836272923472736	0.289125372236213	0.00042169002939985	0.000203737879372961	7.81784885966014e-05	0.0037454603173099	0.000142142706539275	4.26428119617826e-05	7.10713532696376e-05	0.00221268813179472	7.10713532696376e-05	3.55356766348188e-05	3.55356766348188e-05	2.8428541307855e-05	1.42142706539275e-05	0	0	0	0	0.000106607029904456	0	0	0	0	0
HEB24090	0.188500504974195	0.573439947832587	0.00533205035427717	0.0262387772467375	0.0286085774041941	0.000739568505514954	0.173689253990091	0.00032803441776873	0.000129225679727075	0.000119285242824993	0.00122664991371701	0.000119285242824993	3.57855728474978e-05	7.55473204558287e-05	0.00110935275827243	4.3737922369164e-05	2.58451359454151e-05	1.78927864237489e-05	2.1868961184582e-05	9.94043690208272e-06	7.95234952166618e-06	0	1.78927864237489e-05	0	0.000159046990433324	0	0	0	3.97617476083309e-06	0
HEB24097	0.42181782600453	0.0132931609836246	0.00479051193245174	0.119638448852621	0.0092446687717739	0.00044235791035831	0.102582187857377	0.000393433533175824	0.00019773602444588	9.78487543649718e-05	0.326543716988786	9.98872700809087e-05	4.28088300346752e-05	7.33865657737288e-05	0.000570784400462335	5.70784400462335e-05	1.63081257274953e-05	2.65007043071799e-05	2.44621885912429e-05	0	0	0	0	0	3.87317986028013e-05	0	0	4.07703143187382e-06	0	4.07703143187382e-06
HEB24098	0.199523467093402	0.0430145643851156	0.00803927724998481	0.0427537626349586	0.00187372131180748	0.00172433001802824	0.697312982356635	0.000627949845038183	0.000197500354487816	0.000126602791338343	0.00139009864889501	0.00070391151984119	8.10257864565398e-05	8.86219539368404e-05	0.00214465128527154	5.8237284015638e-05	4.55770048818036e-05	4.81090607085705e-05	2.78526140944356e-05	2.78526140944356e-05	0	0	0	0	0.000146859237952478	2.78526140944356e-05	0	1.01282233070675e-05	5.06411165353374e-06	0
HEB24099	0.484339590175038	0.0256558578414323	0.00409434443504759	0.236932573286325	0.0870624817707094	0.000731002180802833	0.154961478991925	0.000322177922757843	0.000153766735861698	7.3222255172237e-05	0.000615066943446791	0.00216249726942007	4.88148367814914e-05	5.61370622987151e-05	0.00248223445033884	4.51537240228795e-05	1.46444510344474e-05	4.14926112642677e-05	2.5627789310283e-05	1.46444510344474e-05	3.66111275861185e-06	0	8.54259643676099e-06	0	0.000146444510344474	8.54259643676099e-06	0	0	0	0
HEB24100	0.43324423842545	0.0144857105474664	0.00644640079417	0.0928144645271428	0.00101555734160732	0.000772571229198208	0.445192094021088	0.000529585116789094	0.000174451567883466	0.000107993827737384	0.00104463260292123	0.0017362084613164	4.56896963504317e-05	8.3072175182603e-05	0.00199996261752117	8.72257839417332e-05	3.32288700730412e-05	4.77665007299967e-05	2.07680437956508e-05	3.11520656934761e-05	8.3072175182603e-06	1.03840218978254e-05	0	0	3.73824788321714e-05	4.15360875913015e-06	6.23041313869523e-06	1.03840218978254e-05	1.03840218978254e-05	0
HEB24139	0.461791004582985	0.0189303708776823	0.00477248812696049	0.34248046371762	0.00192162879650516	0.000736402730840646	0.166308993256014	0.000360720976506592	0.000146283160979632	8.64400496697824e-05	0.00093754207718764	0.000144620852332136	3.32461729499163e-05	6.81546545473284e-05	0.0010705267689873	4.4882333482387e-05	2.49346297124372e-05	1.8285395122454e-05	1.8285395122454e-05	1.16361605324707e-05	4.98692594248745e-06	8.31154323747908e-06	4.98692594248745e-06	0	7.48038891373117e-05	0	0	0	0	0
HEB24140	0.413226048737065	0.224584121508846	0.00453710915767219	0.298200178034939	0.000559140981417603	0.000305997552019584	0.0566860465116279	0.000287915878491154	0.000141871592299989	8.06720818960721e-05	0.000609213308111717	9.17992656058752e-05	4.7290530766663e-05	7.6499388004896e-05	0.000372760654278402	4.45087348392122e-05	1.94725714921553e-05	2.22543674196061e-05	1.94725714921553e-05	1.25180816735284e-05	0	0	0	0	6.81540002225437e-05	2.78179592745076e-06	4.17269389117614e-06	0	0	0
HEB24141	0.404973296304209	0.0331104464857936	0.00592822046571245	0.137043366801965	0.0112710959196753	0.000628070925016022	0.250461439863277	0.000561845759453108	0.000183721427045503	9.39970091860714e-05	0.154229865413373	0.000147404400769066	4.05896176030763e-05	4.91348002563555e-05	0.00100192266609699	6.62251655629139e-05	2.34992522965178e-05	5.12710959196753e-05	2.77718436231574e-05	1.92266609698782e-05	6.40888698995941e-06	1.0681478316599e-05	0	4.27259132663961e-06	4.69985045930357e-05	1.92266609698782e-05	0	0	0	0
HEB24142	0.306586438604895	0.0563066943602424	0.00653399247577917	0.299005416908859	0.00521810584272599	0.00094668103097351	0.321934031479038	0.000437366636309762	0.000202589740628331	0.000102241551345139	0.000918280600044305	0.000132535344336291	5.68008618584106e-05	7.00543962920397e-05	0.00113601723716821	5.68008618584106e-05	2.46137068053113e-05	5.30141377345166e-05	2.08269826814172e-05	2.27203447433642e-05	0	0	9.4668103097351e-06	7.57344824778808e-06	0.000200696378566384	1.13601723716821e-05	0	0	5.68008618584106e-06	0
HEB24143	0.411735251654469	0.0327583377146497	0.00569153863486526	0.270996241804157	0.042071764571702	0.000522976179547737	0.232287659153057	0.00047290399214423	0.000205852325992194	0.000125180468508767	0.000770555328376187	0.000242015572450282	4.45086110253393e-05	7.23264929161764e-05	0.00173583582998823	6.95447047270927e-05	3.61632464580882e-05	2.50360937017534e-05	2.50360937017534e-05	8.34536456725112e-06	0	0	8.34536456725112e-06	0	9.4580798428846e-05	0	0	0	0	0
HEB24144	0.410887239489817	0.206847733138368	0.0059781387165861	0.131544886417948	0.000811208105880742	0.000594197020231117	0.239257305394017	0.000408187518245724	0.000162758314237219	8.78378203819912e-05	0.000899045926262733	0.000503775734543773	4.9085840801701e-05	9.55882162980492e-05	0.00166116819134177	6.20031673284644e-05	1.29173265267634e-05	4.13354448856429e-05	1.80842571374688e-05	2.32511877481741e-05	0	0	0	0	5.42527714124063e-05	0	0	0	0	0
HEB24175	0.382917854393107	0.136220957030697	0.00561782804210324	0.29176998921068	0.0015518767150684	0.000738171446326782	0.175561203425459	0.000461786323399777	0.00018282618379954	0.000103859005820396	0.00167118582092819	0.000320160406371965	6.1800400157591e-05	6.60920946129793e-05	0.0024582825840464	5.83670445932804e-05	1.88834556037084e-05	5.32170112468145e-05	2.48918278412519e-05	1.71667778215531e-05	0	4.29169445538827e-06	6.00837223754357e-06	5.15003334646592e-06	9.09839224542312e-05	5.15003334646592e-06	4.29169445538827e-06	4.29169445538827e-06	3.43335556431061e-06	0
HEB24176	0.387468083607249	0.265283800061065	0.00585707048056609	0.0776618243594633	0.000911497506523079	0.00065762028691481	0.25770215393012	0.000427229506124928	0.000221443566001926	0.000115195390394941	0.00110498102631264	0.000155457856940746	5.03280831822559e-05	0.000116313792243436	0.00193259839419863	7.04593164551582e-05	3.35520554548373e-05	4.13808683942993e-05	3.13152517578481e-05	1.45392240304295e-05	6.71041109096745e-06	0	4.4736073939783e-06	0	0.000120787399637414	8.9472147879566e-06	0	0	2.23680369698915e-06	0
HEB24177	0.284128165103262	0.0520460414022496	0.00748002587032742	0.037155042039282	0.0067476816393618	0.00116416473368638	0.546401738952835	0.000592294338191314	0.000272319235950029	0.000132269343175729	0.0623494342081589	0.000238279331456276	5.73815532894705e-05	0.000126433930976799	0.000764438998059725	9.33665951828672e-05	2.82044922948245e-05	4.66832975914336e-05	3.30673357939321e-05	2.9177060994646e-05	0	6.80798089875074e-06	5.8354121989292e-06	1.65336678969661e-05	5.93266906891135e-05	1.55610991971445e-05	4.86284349910767e-06	0	0	4.86284349910767e-06
HEB24178	0.543463798688234	0.0175884201875872	0.0060523185541183	0.0592406581130381	0.00286113631782462	0.00124782461345125	0.357032894576541	0.000510205211772081	0.000251041638209128	0.000162438707076495	0.00179199428215751	0.000568535474767731	6.34987673117206e-05	0.00010632351735916	0.00870671469930011	8.04809957788087e-05	2.73192370992286e-05	4.28247500474395e-05	2.95343103775445e-05	2.06740172642811e-05	1.3290439669895e-05	8.86029311326334e-06	6.64521983494751e-06	8.86029311326334e-06	0.000103370086321406	7.38357759438612e-06	0	0	2.95343103775445e-06	0
HEB24179	0.424786639388466	0.312239040267391	0.00590844770401528	0.0178306982477466	0.0216840623359999	0.000637398570989278	0.214518201087397	0.000405617272447722	0.000185688426672496	0.000114573710074519	0.000652543371746255	0.000164617399532355	5.13606286540947e-05	0.000104696666102578	0.000429980647578511	5.20190982522241e-05	2.43633751307885e-05	4.14835846821534e-05	2.50218447289179e-05	2.0412557542012e-05	5.92622638316478e-06	4.60928718690594e-06	1.11939831682001e-05	4.60928718690594e-06	9.48196221306364e-05	1.97540879438826e-06	0	0	0	0
HEB24180	0.325525060192518	0.44837091994436	0.00641154519465108	0.0253879209594189	0.000895736588060877	0.000716752726030465	0.188264052685003	0.000402918009045632	0.000196963976024335	0.000151196413130714	0.00100933821738612	0.000131581743319162	4.82193966200655e-05	0.000135668132863235	0.00203747382667497	6.78340664316175e-05	3.35083942614014e-05	4.49502849848068e-05	2.04319477203667e-05	2.45183372644401e-05	8.99005699696136e-06	5.72094536170268e-06	5.72094536170268e-06	0	9.6438793240131e-05	6.53822327051735e-06	0	0	0	0
