feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__
HEB24007	-1.42257856257966	-6.15242592002811	-7.39165118493548	-1.32867224026714	-9.18672522796145	-10.209876192212	-2.3140425531222	-10.9972153088933	-12.2617151237316	-12.837907414825	-9.40009860788755	-10.3478041004453	-13.8643796261862	-13.4899841114047	-9.25732335461447	-14.0343046276286	-15.1598355097124	-14.8119122062921	-17.0901094652563	-14.7123765327412	-16.2973390334623	-18.8300212013815	-17.0343046276286	-17.0343046276286	-13.3713396149061	-17.6192671283497	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24008	-1.31956355042692	-1.48974850638973	-7.60975200776444	-2.73956486157542	-10.6028436384223	-11.0457153458978	-3.59261399889238	-11.479611872428	-12.668645696818	-13.1970246691728	-10.0209474407489	-10.89183983812	-14.1970246691728	-14.4380327686766	-8.94909715572921	-14.8974643873139	-15.8974643873139	-14.5755362924265	-16.0901094652563	-17.8705934942268	-17.3125018865927	-18.8300212013815	-17.3125018865927	-16.8974643873139	-14.0901094652563	-19.9494173314223	-20.1418240063643	-16.8974643873139	-19.7701299190099	-20.1418240063643
HEB24017	-2.54824437577274	-1.49652944968307	-7.15351951919421	-1.69818903593308	-10.2075855873681	-10.3755302246822	-2.70493953920033	-11.1607913758892	-12.452345821733	-12.9929142030957	-8.979316599695	-12.928783865676	-14.0831120120673	-13.6110435677521	-9.65144592181272	-13.8278549568252	-15.5778767038169	-15.2299534003966	-15.5778767038169	-15.452345821733	-17.0373083224542	-18.8300212013815	-16.7153802275668	-18.8364572394867	-14.1304177268457	-16.452345821733	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24040	-3.56131515628419	-0.8202768001342	-7.32264282740472	-6.28948957437792	-9.92023688509954	-10.2170115027586	-1.62244114417497	-11.214046044282	-12.4553234791811	-12.9619149163494	-9.8986500228914	-12.682392387727	-15.0974298870059	-13.2470062430564	-10.0919754569138	-14.3089339921996	-15.0974298870059	-14.5872351546867	-15.2349334107558	-15.971899004922	-17.819895911477	-18.8300212013815	-16.971899004922	-16.5568615056432	-13.2349334107558	-18.1418240063643	-19.1418240063643	-18.9040494899974	-18.5568615056432	-19.1418240063643
HEB24042	-0.979196910605062	-4.67099344895019	-7.5222558867791	-3.7168661373218	-8.67099344895019	-10.4033321647133	-1.46104157211086	-11.2613131598409	-12.0913881583985	-12.8788435230184	-8.92019149972018	-9.91132114653561	-14.2613131598409	-13.7467399870111	-9.5648423439027	-14.4837055811773	-15.1617774862899	-14.6092364632612	-15.3682283637574	-15.4837055811773	-19.0592863614329	-17.0686680818985	-16.4837055811773	-18.8364572394867	-13.6424033271964	-19.9494173314223	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24058	-1.79962992254169	-3.55005113943198	-7.21774873840299	-2.00003278070099	-10.0246970957007	-10.5511074140668	-1.47714845927893	-11.1401743131207	-12.1903600702889	-13.1036484370955	-8.68074269448335	-10.9606904832535	-14.4255765319829	-13.3381136907326	-7.4421078395366	-14.4255765319829	-15.0105390327041	-14.4255765319829	-15.310099314563	-16.2031841106465	-17.4255765319829	-18.8300212013815	-16.2031841106465	-18.8364572394867	-14.5511074140668	-19.9494173314223	-17.4255765319829	-16.2031841106465	-19.7701299190099	-20.1418240063643
HEB24088	-1.47249793948223	-1.90343335464234	-7.28425087655322	-3.8913754395461	-9.51984475429648	-10.223738526857	-1.79023287661823	-11.2115294691618	-12.2609981454261	-13.6428687807698	-8.06064124776985	-12.7803723045197	-14.5173378986859	-13.7803723045197	-8.81998416041856	-13.7803723045197	-14.7803723045197	-14.7803723045197	-15.1023003994071	-16.1023003994071	-19.0592863614329	-18.8300212013815	-18.7701299190099	-18.8364572394867	-13.1954098037985	-19.9494173314223	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24090	-2.40735970655103	-0.802285683625147	-7.55109387979354	-5.25215569928408	-5.12740843007035	-10.40102859059	-2.52541959642213	-11.5738651874522	-12.9178195886696	-13.0332968060895	-9.6710607225486	-13.0332968060895	-14.7702624002557	-13.6922598882544	-9.81606608986883	-14.4807557830607	-15.2397476835569	-15.7702624002557	-15.4807557830607	-16.6182593068106	-16.940187401698	-18.8300212013815	-15.7702624002557	-18.8364572394867	-12.6182593068107	-19.9494173314223	-20.1418240063643	-18.9040494899974	-17.940187401698	-20.1418240063643
HEB24097	-1.24530803023249	-6.23317198560044	-7.70560444854506	-3.06324698415813	-6.75716265458154	-11.1424982575529	-3.28514784854988	-11.3115924527293	-12.3041366478103	-13.3190869892763	-1.61465194519566	-13.2893396458822	-14.5117320672187	-13.7341244885551	-10.7747664730525	-14.0966945679398	-15.9040494899974	-15.2036097718563	-15.3190869892763	-17.8705934942268	-19.0592863614329	-18.8300212013815	-18.7701299190099	-18.8364572394867	-14.6561219765538	-19.9494173314223	-20.1418240063643	-17.9040494899974	-19.7701299190099	-17.9040494899974
HEB24098	-2.32536965486477	-4.53903096231959	-6.9587184791201	-4.54780479677216	-9.05987789515068	-9.17974836765493	-0.520121753364208	-10.6370630452801	-12.3058571368047	-12.9474031658923	-9.4905970166618	-10.4723182829435	-13.591259355667	-13.461976338722	-8.8650411963348	-14.06769739961	-14.4213343542247	-14.3433318422234	-15.1318277370297	-15.1318277370297	-19.0592863614329	-18.8300212013815	-18.7701299190099	-18.8364572394867	-12.7332783605394	-15.1318277370297	-20.1418240063643	-16.591259355667	-17.591259355667	-20.1418240063643
