feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes	TimePoint	Intervention	0.748508846172863	0.233150881550355	24	24	0.00513138577850379	0.0513138577850379
k__Bacteria.p__Firmicutes	TimePoint	Intervention	-0.275313642850351	0.114922506754435	24	24	0.0255339205262544	0.127669602631272
k__Bacteria.p__Verrucomicrobia	TimePoint	Intervention	0.659808858946202	0.354873047018023	24	24	0.0803845001151106	0.267948333717035
k__Bacteria.__	TimePoint	Intervention	-0.0904500842980155	0.291048087287922	24	24	0.78537057118178	0.938942824483216
k__Bacteria.p__Proteobacteria	TimePoint	Intervention	0.0812585941743989	0.140308648339268	24	24	0.621030945312439	0.938942824483216
k__Bacteria.p__Cyanobacteria	TimePoint	Intervention	0.0175076227588041	0.202381124271974	24	24	0.938942824483216	0.938942824483216
k__Bacteria.p__Actinobacteria	TimePoint	Intervention	0.0428153137180239	0.253243746599213	24	24	0.88129644898585	0.938942824483216
k__Bacteria.p__Tenericutes	TimePoint	Intervention	-0.206401057137927	0.49296153457982	24	24	0.680680492744191	0.938942824483216
k__Bacteria.p__Deferribacteres	TimePoint	Intervention	0.0792214156281231	0.38243575716439	24	22	0.838354047588659	0.938942824483216
Unassigned.__	TimePoint	Intervention	-0.076281034794069	0.559395865319166	24	14	0.9040217690133	0.938942824483216
