feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	TimePoint	Intervention	0.750911908359777	0.233982769507156	24	24	0.00514403359420721	0.400641345136865
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__gordonii	TimePoint	Intervention	0.398905085469712	0.139244190530793	24	24	0.00900317629521045	0.400641345136865
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__.s__	TimePoint	Intervention	-1.90921363764495	1.27984304899832	24	24	0.274283203360662	0.973000148853353
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__.s__	TimePoint	Intervention	-0.137956132294904	0.134561313805411	24	24	0.413060976678508	0.973000148853353
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	TimePoint	Intervention	-0.135861655950463	0.110150447414046	24	24	0.342708902858505	0.973000148853353
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__	TimePoint	Intervention	-0.223430418954182	0.174435573385201	24	24	0.328697860070128	0.973000148853353
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__	TimePoint	Intervention	0.735941804935104	1.23860112578372	24	24	0.612652711785239	0.973000148853353
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	TimePoint	Intervention	0.659812361625501	0.354873866686499	24	24	0.0803836715457553	0.973000148853353
k__Bacteria.__.__.__.__.__.__	TimePoint	Intervention	-0.090446581618728	0.291044813754803	24	24	0.785376194774333	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__.s__	TimePoint	Intervention	-1.25439761206361	1.12163194641795	24	24	0.379709906854211	0.973000148853353
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__helveticus	TimePoint	Intervention	-0.28616338228277	0.171379187792091	24	24	0.236913972608961	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__	TimePoint	Intervention	-0.152104077319856	0.403676608989473	24	24	0.742545797855037	0.973000148853353
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__.s__	TimePoint	Intervention	-0.178547603502738	0.13992687581569	24	24	0.330103475285688	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__	TimePoint	Intervention	-0.461857459937032	0.609291255008796	24	24	0.527580205386905	0.973000148853353
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__.s__	TimePoint	Intervention	0.0888660434184961	0.121283355377278	24	24	0.47371535101922	0.973000148853353
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala.s__biternata	TimePoint	Intervention	-0.0618508903384787	0.2526779737821	24	24	0.829449270343738	0.973000148853353
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__	TimePoint	Intervention	0.0923915936655691	0.0861645922558909	24	24	0.298585975751234	0.973000148853353
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__	TimePoint	Intervention	-0.137401428390566	0.102214794882581	24	24	0.196535079250398	0.973000148853353
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	TimePoint	Intervention	-0.575357069745611	0.234237631318778	24	24	0.133374408529478	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__	TimePoint	Intervention	-0.0742945277659576	0.46786449342468	24	24	0.888416190547175	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__	TimePoint	Intervention	0.283821670889312	0.436591627186283	24	24	0.524325823808573	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	TimePoint	Intervention	-0.504367992229909	0.574542701245831	24	24	0.472605833856999	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__	TimePoint	Intervention	-0.118689641552366	0.565952063450697	24	24	0.836381452161584	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__	TimePoint	Intervention	-0.399015953785427	0.770338533838118	24	24	0.656079088246477	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii	TimePoint	Intervention	-0.10448400759185	0.242159027191898	24	24	0.708184830514137	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__	TimePoint	Intervention	-0.0472757953975774	0.294363193183057	24	24	0.887159325354023	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__	TimePoint	Intervention	0.0373170983847946	0.193588117299351	24	24	0.864943103892033	0.973000148853353
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	TimePoint	Intervention	0.301435836066919	0.936184420117666	24	7	0.778002647686979	0.973000148853353
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__.__	TimePoint	Intervention	0.406385270423201	0.274586104666337	24	24	0.27700899472149	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__.__	TimePoint	Intervention	0.365943639796673	1.1984845639767	24	24	0.788957441037227	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__	TimePoint	Intervention	0.133663705810613	0.450603610725717	24	24	0.793067317218445	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium.s__	TimePoint	Intervention	0.644283751615987	0.511338908942619	24	24	0.224694514982328	0.973000148853353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4.s__	TimePoint	Intervention	-0.166553087142429	0.170907264158112	24	24	0.343460846237781	0.973000148853353
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__	TimePoint	Intervention	0.300590063511595	0.191601660408411	24	24	0.257239978397504	0.973000148853353
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum.s__	TimePoint	Intervention	-0.125393451310336	0.730256257806673	24	24	0.865691730355801	0.973000148853353
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__.s__	TimePoint	Intervention	-0.24851412211323	0.339007428044958	24	22	0.471258984123882	0.973000148853353
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__.s__	TimePoint	Intervention	-0.206397554458628	0.492960707961935	24	24	0.680684971647574	0.973000148853353
