feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	Day_Num	Day_Num	-0.73792798324061	0.0948802508821876	18	18	1.63812419236357e-05	0.00193298654698901
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	Day_Num	Day_Num	1.31902327802906	0.203119243683119	18	18	8.84966127851634e-05	0.00522130015432464
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	Day_Num	Day_Num	-0.851519677519436	0.137996585464284	18	18	0.00023214137219512	0.00913089397300806
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	Day_Num	Day_Num	-0.53178878913793	0.115681985120159	18	18	0.000951896309034034	0.0224647528932032
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	Day_Num	Day_Num	-0.632070083883724	0.135836324270438	18	18	0.000822873163536513	0.0224647528932032
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	Weight_g	Weight_g	0.182336624206558	0.0474503874525376	18	18	0.00159763197417842	0.0314200954921757
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	Day_Num	Day_Num	-0.264900660524348	0.0825263992741149	18	18	0.00833759534045524	0.122979531271715
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	Weight_g	Weight_g	0.603070863832078	0.198226509918191	18	8	0.00823118674599992	0.122979531271715
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	Day_Num	Day_Num	1.18671399247334	0.40684016196512	18	18	0.0106240206984816	0.125363444242083
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	Weight_g	Weight_g	0.378640381103144	0.128296976696627	18	18	0.0102114278817463	0.125363444242083
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	Day_Num	Day_Num	-0.235118272524925	0.0798059039977834	18	18	0.0154452607816133	0.165685524748215
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	Day_Num	Day_Num	0.460018194934166	0.163620225876822	18	18	0.0173346764921821	0.170457652173124
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	Weight_g	Weight_g	-0.624770055100149	0.236862956261208	18	18	0.019864640230049	0.180309811318906
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	Day_Num	Day_Num	0.509647138498229	0.191994183264823	18	18	0.0245540887491927	0.202871180298425
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	Day_Num	Day_Num	-0.413657421602272	0.160851162878175	18	15	0.0257887093599693	0.202871180298425
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	Day_Num	Day_Num	-0.385316015898226	0.157833674951629	18	18	0.035034669852294	0.258380690160668
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	Weight_g	Weight_g	-0.385090547810198	0.175328652273281	18	18	0.0461863681646821	0.320587731966617
k__Bacteria.__.__.__.__	Day_Num	Day_Num	-0.136836890803601	0.06773052289711	18	18	0.0686148860036632	0.385550311830108
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Day_Num	Day_Num	0.486128005774489	0.247044157833538	18	11	0.067865711577072	0.385550311830108
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	Day_Num	Day_Num	0.470718944277819	0.235108409846626	18	6	0.0636925599820176	0.385550311830108
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae	Day_Num	Day_Num	-0.160620051770696	0.0765752313936877	18	2	0.0595821467706903	0.385550311830108
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	Weight_g	Weight_g	0.212555120430734	0.108353585776107	18	18	0.0765946631519921	0.392963923997177
k__Bacteria.p__Bacteroidetes.__.__.__	Day_Num	Day_Num	0.25859135516011	0.131328430346607	18	4	0.0746332552102242	0.392963923997177
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	Weight_g	Weight_g	1.07863131038252	0.515667868090215	18	18	0.0855239374582569	0.401591637278065
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	Weight_g	Weight_g	0.181933152534644	0.09360729642367	18	18	0.0826282695077278	0.401591637278065
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	Weight_g	Weight_g	0.438983286044587	0.225912080684346	18	4	0.0885944529680379	0.401591637278065
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	Day_Num	Day_Num	-0.213049750543619	0.11261005996276	18	3	0.0918896119195573	0.401591637278065
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	Weight_g	Weight_g	0.262002571509196	0.148726206237349	18	4	0.098491929625478	0.415073131993086
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	Weight_g	Weight_g	0.173824202194939	0.101591004101631	18	18	0.107671697619851	0.423508677304745
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	Day_Num	Day_Num	0.339889452489598	0.198226509918191	18	8	0.106988996866656	0.423508677304745
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	Day_Num	Day_Num	0.125725583123591	0.0758121220106573	18	18	0.125831634825101	0.478972029334257
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	Weight_g	Weight_g	0.0957532576211325	0.0593297251913637	18	18	0.141691204236358	0.506653396966371
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	Weight_g	Weight_g	0.661227306471373	0.423051520041668	18	15	0.138901830625144	0.506653396966371
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	Day_Num	Day_Num	-0.339160150323624	0.220576570517159	18	14	0.15420762225501	0.535191159590918
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	Day_Num	Day_Num	-0.0816003042466081	0.0590519350149517	18	18	0.194135508657114	0.608096894202229
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	Day_Num	Day_Num	0.208676290151875	0.154394096652038	18	18	0.205941034828381	0.608096894202229
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	Weight_g	Weight_g	0.0855405497857657	0.0593312931965427	18	18	0.189124122926906	0.608096894202229
k__Bacteria.p__Firmicutes.__.__.__	Weight_g	Weight_g	-0.193364611679062	0.143294176910107	18	18	0.197217193610705	0.608096894202229
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	Day_Num	Day_Num	-0.500102410691535	0.366193012831162	18	14	0.192169371031651	0.608096894202229
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	Weight_g	Weight_g	-0.192295261327345	0.145511893175408	18	3	0.206134540407535	0.608096894202229
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	Weight_g	Weight_g	-0.122126433730017	0.094851873213403	18	2	0.217414693854875	0.625730094509151
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	Weight_g	Weight_g	0.123302078749986	0.0950342583324973	18	18	0.228422589826348	0.641758704750216
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	Weight_g	Weight_g	0.0843611991127664	0.0711014246289113	18	18	0.264928710528334	0.66922979921049
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	Day_Num	Day_Num	-0.0622126496004332	0.0508373836732863	18	18	0.246334561167395	0.66922979921049
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	Day_Num	Day_Num	-0.0555152727817587	0.0474503874525376	18	18	0.260269526588644	0.66922979921049
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	Day_Num	Day_Num	-0.109458688609966	0.0948518732134029	18	2	0.266557631888924	0.66922979921049
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	Weight_g	Weight_g	-0.197787371322802	0.157894677498144	18	2	0.251851180280936	0.66922979921049
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	Day_Num	Day_Num	-0.0802014871409254	0.0699788663208019	18	18	0.276398593857377	0.679479876566051
k__Bacteria.p__Firmicutes.c__Clostridia.__.__	Day_Num	Day_Num	-0.382105939903909	0.349593001305405	18	18	0.301641237672787	0.690050982381265
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	Weight_g	Weight_g	0.137096168858592	0.125643584664798	18	18	0.292968523926215	0.690050982381265
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	Weight_g	Weight_g	-0.355022007299256	0.32459646789961	18	7	0.29298483101699	0.690050982381265
