feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Thermicanaceae.	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24001	0.346320166607856	0.255796334350416	0.00512000885623154	0.00164324608561485	0.00190616545931323	0.0961904366537283	0.00273643716572915	0.00066421736513274	0.0530681999017512	0.0291494558260858	0.0010655153565671	0.119943126388111	0.000460108903972158	0.000204108461160581	0.000172973272169984	0.000719568812227135	0.000999785513142509	0.0344874110052515	0.0247386373857512	0.000249081511924777	0.000100324497858591	0.000408216922321163	0.020348575738077	6.5729843424594e-05	6.91893088679937e-05	4.84325162075956e-05	0.00209989552414361	7.61082397547931e-05	0	3.11351889905972e-05	4.84325162075956e-05	2.76757235471975e-05	1.38378617735987e-05	1.38378617735987e-05	1.03783963301991e-05	0	0	0	0	1.38378617735987e-05	0	0.000179892203056784	0.000764541862991331	0	0	0	0	0	3.80541198773965e-05	0	0	0	0	0	6.91893088679937e-06	0	0	0	0
HEB24002	0.436220943390126	0.00856206825945923	0.00315217742717662	0.0010480316403177	0.00171349131938832	0.424132208248467	0.00410321899281196	0.000552304591941202	0.0123096569784359	0.0156019311801537	0.000490338710894141	0.045905941180908	0.000398736973694136	0.000161650124470596	9.96842434235341e-05	0.000490338710894141	0.000961818240600045	0.0219574752405893	0.0151708641815654	0.000188591811882362	0.000115849255870594	0.000140096774541183	0.00449387346028256	5.65775435647085e-05	4.84950373411788e-05	0	0.000951041565635339	7.54367247529447e-05	2.15533499294128e-05	4.0412531117649e-05	6.19658810470617e-05	1.61650124470596e-05	1.88591811882362e-05	0	1.61650124470596e-05	1.61650124470596e-05	0	0	0	8.08250622352979e-06	0	7.81308934941213e-05	0.00053883374823532	1.88591811882362e-05	0	0	0	0	6.19658810470617e-05	0	0	0	0	0	0	0	0	0	0
HEB24003	0.468531275453152	0.0104297527506661	0.0041139196819305	0.00127006916354902	0.00180846804809697	0.118092273285752	0.00140121760978505	0.000562557808854591	0.0670444662258238	0.0387509145878488	0.000545301434349849	0.154410039068432	0.000486629761033726	0.000234686693264492	8.97331474246587e-05	0.000548752709250797	0.000790341952317186	0.0570116100887668	0.055054737219929	0.00028300454187777	0.000103538247028452	0.00149440203211066	0.0138050996037936	8.62818725237103e-05	2.76101992075873e-05	0	0.00170147852616757	4.48665737123293e-05	0	2.07076494056905e-05	1.72563745047421e-05	4.48665737123293e-05	2.41589243066389e-05	0	0	0	0	0	3.10614741085357e-05	0	0	0.000317517290887254	0.000700608804892527	0	0	0	0	2.41589243066389e-05	8.62818725237103e-05	0	1.03538247028452e-05	0	0	0	0	0	0	0	0
HEB24004	0.214624078722663	0.0225319547505185	0.00464682383446975	0.00141435976397245	0.00241243633500265	0.514037019111411	0.00376159511694799	0.000877705527287865	0.0167240518899508	0.0229056065321353	0.000827550925728558	0.0846760138125773	0.000561731537464233	0.000178048835535538	0.000147956074599954	0.000614393869101505	0.00389701254115812	0.0626430973475739	0.0228429132801862	0.000218172516782984	8.77705527287865e-05	0.0019961531420604	0.0142739996037786	7.02164421830292e-05	3.51082210915146e-05	4.26314113254106e-05	0.00190838258933161	7.02164421830292e-05	5.26623316372719e-05	3.00927609355839e-05	5.26623316372719e-05	1.75541105457573e-05	1.25386503898266e-05	2.2569570701688e-05	0	0	1.00309203118613e-05	0	0	0	0	0.000152971534755885	0.000529131046450684	0	0	0	0	2.00618406237226e-05	6.26932519491332e-05	0	0	0	0	1.00309203118613e-05	0	0	0	0	0
HEB24005	0.191959955734252	0.0144141411120274	0.0053558991800582	0.00160655611623604	0.00222610568233771	0.264338299699625	0.00105537064018698	0.000818232702817028	0.0688853662392487	0.0366175157344226	0.00101050670608996	0.259642541264137	0.000546912720420781	0.000260638093325528	0.000188001247644643	0.000632367832986528	0.00151896462585615	0.0881747215231519	0.0527557137424639	0.00020936502578608	8.97278681940344e-05	0.000198683136715362	0.00371943377442414	8.5455112565747e-05	5.55458231677356e-05	4.27275562828735e-05	0.00235428835118633	8.11823569374597e-05	4.70003119111609e-05	2.13637781414368e-05	2.99092893980115e-05	3.63184228404425e-05	2.99092893980115e-05	1.28182668848621e-05	8.5455112565747e-06	1.70910225131494e-05	2.99092893980115e-05	8.5455112565747e-06	2.35001559555804e-05	1.28182668848621e-05	0	0.000343956828077132	0.000446502963156028	0	1.28182668848621e-05	0	1.06818890707184e-05	1.49546446990057e-05	3.20456672121551e-05	1.06818890707184e-05	0	0	0	0	0	0	6.40913344243103e-06	0	0
HEB24006	0.341578760428905	0.022851068163246	0.0041703199397924	0.00135616121925352	0.00175357110035345	0.230346218520791	0.000963718961667333	0.000553890021783029	0.186914286140082	0.0261172806235361	0.000715337785979876	0.101662415208876	0.000484343292590541	0.00020118875230684	5.71276704081151e-05	0.000611017692191144	0.00122700300789604	0.0328459266729093	0.0352154830889677	0.000253348799201206	0.000119222964329979	0.000131642023114352	0.00755078774089869	9.19010350043591e-05	3.4773364596244e-05	0	0.000941364655855462	6.70629174356134e-05	4.71924233806168e-05	2.98057410824948e-05	4.96762351374914e-05	0	2.98057410824948e-05	9.93524702749828e-06	1.7386682298122e-05	9.93524702749828e-06	1.7386682298122e-05	9.93524702749828e-06	0	0	0	0.000193737317036216	0.00060853388043427	0	0	1.98704940549966e-05	1.24190587843728e-05	1.7386682298122e-05	9.19010350043591e-05	9.93524702749828e-06	0	0	0	0	0	0	0	9.93524702749828e-06	0
HEB24016	0.156901390972367	0.295323398337841	0.00479960289217136	0.00145813030830605	0.00189429193995204	0.268702939254912	0.00114423992904617	0.000715378073662042	0.00260237023735223	0.0356064836612758	0.000832174493851763	0.143099339005259	0.000476310401086207	0.000197093959070155	0.000162420021826331	0.000551133107770247	0.00121541274759929	0.0350608253857019	0.0386249411455539	0.000184319350611904	7.66476507495045e-05	0.000180669462480975	0.00519561575437713	7.48227066840401e-05	5.47483219639318e-05	6.9347874487647e-05	0.00276296531511309	7.11728185531113e-05	2.55492169165015e-05	3.28489931783591e-05	4.37986575711454e-05	7.29977626185757e-06	1.45995525237151e-05	1.27746084582508e-05	1.09496643927864e-05	7.29977626185757e-06	0	1.09496643927864e-05	0	0	0	0.000271916665754195	0.00133585905591994	0	0	0	0	2.73741609819659e-05	0.00012044630832065	0	0	0	0	9.12472032732197e-06	0	3.10240491128947e-05	0	0	0
HEB24034	0.59670162347327	0.0463212753390093	0.00327281738146557	0.00112055033203512	0.00134341361086825	0.12191400594406	0.00205875798138858	0.000520533812099762	0.0205205649817891	0.0190680574582053	0.00052676774996922	0.0989372694417041	0.000317930831342369	0.00022909721670259	0.00019481055842057	0.00052676774996922	0.000819762829833756	0.0249793890429191	0.0298449775500312	0.000244682061376235	0.000154289962269091	0.000179225713746924	0.0256682391774942	5.92224097598531e-05	5.45469563577595e-05	3.11696893472911e-05	0.00249669211671802	4.36375650862076e-05	0	1.4026360206281e-05	2.33772670104683e-05	2.18187825431038e-05	1.09093912715519e-05	1.09093912715519e-05	6.23393786945822e-06	7.79242233682278e-06	0	0	9.35090680418734e-06	0	3.11696893472911e-06	0.000344425067287567	0.00130912695258623	0	0	0	0	2.96112048799266e-05	5.92224097598531e-05	0	0	0	0	0	0	0	0	0	0
HEB24059	0.449466625694155	0.169911543273557	0.00465605039618956	0.00161603634847121	0.00182455716762879	0.0265452490177572	0.0010453477907768	0.000554226387760925	0.0236479071094625	0.0457511139401655	0.000910906736319937	0.136221712504664	0.000458197063148884	0.000312781228736364	0.00020577712416866	0.000773721986874163	0.000875238701464036	0.0606905331548102	0.0574392545929454	0.000296319058802871	0.000148159529401436	0.00211538883645383	0.00901303803858733	8.23108496674642e-05	6.85923747228868e-05	4.6642814811563e-05	0.00371770670998046	7.13360697118023e-05	5.2130204789394e-05	2.74369498891547e-05	1.64621699334928e-05	0	2.46932549002393e-05	1.92058649224083e-05	1.37184749445774e-05	8.23108496674642e-06	0	0	2.19495599113238e-05	8.23108496674642e-06	0	0.000331987093658772	0.000908163041331021	0	0	1.64621699334928e-05	2.19495599113238e-05	5.48738997783094e-06	5.76175947672249e-05	0	0	0	0	0	0	0	0	0	0
HEB24081	0.0360351490015314	0.687230842173349	0.00468825029045945	0.00134361163413167	0.00144055768214117	0.0086918191168518	0.000860396176084319	0.00085888139408417	0.00206464786620234	0.0246742840004181	0.000931590930091296	0.149156039208617	0.000355973770034885	0.000160566892015736	0.000142389508013954	0.000496848496048691	0.00134209685213153	0.0287626806188187	0.0376953500736941	0.000131786034012915	5.45321520053441e-05	0.00017571471201722	0.00940528143892172	6.96799720068286e-05	3.63547680035628e-05	4.3928678004305e-05	0.00125575427812306	3.78695500037112e-05	3.0295640002969e-05	1.66626020016329e-05	3.18104220031174e-05	2.42365120023752e-05	1.66626020016329e-05	1.3633038001336e-05	1.51478200014845e-05	1.81773840017814e-05	9.08869200089069e-06	3.0295640002969e-06	0	1.21182560011876e-05	9.08869200089069e-06	0.000204495570020041	0.00124818036812232	0	0	0	1.51478200014845e-05	3.78695500037112e-05	0.000143904290014103	0	0	0	7.57391000074224e-06	0	0	0	0	0	0
