feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Thermicanaceae.	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24001	-1.52982169517194	-1.96693250483657	-7.60963797896215	-9.24923573626015	-9.0351109309073	-3.3779627227864	-8.51348555500567	-10.5560569387573	-4.23600857708817	-5.10038723891621	-9.87423289878356	-3.05957761178644	-11.0857370039773	-12.2583763901166	-12.4971632497037	-10.4405797213374	-9.96609375697778	-4.85778636106527	-5.33709015150402	-11.9710944380362	-13.2830384443509	-11.2583763901166	-5.6189283705914	-13.8930919260349	-13.8190913445911	-14.3336645174209	-8.89546673322278	-13.6815878208412	-16.6881728897084	-14.9710944380362	-14.3336645174209	-15.1410194394785	-16.1410194394785	-16.1410194394785	-16.5560569387573	-18.0637163232569	-18.2731353904296	-19.332458386144	-17.7064622921882	-16.1410194394785	-19.2914247929094	-12.4405797213374	-10.353116880087	-16.6943734347608	-18.0863565485147	-17.3989340349768	-17.5144736671158	-18.4754484604218	-14.6815878208412	-19.2081366979644	-17.5594766767074	-19.2081366979644	-18.6231741972432	-17.7417882283695	-17.1410194394785	-16.0674294175739	-18.5699297581031	-18.6881728897084	-18.7208621298642
HEB24002	-1.19686905805923	-6.86782494746984	-8.30943554234759	-9.89810201183217	-9.188845401534	-1.23741405072695	-7.92902813033107	-10.8222482573129	-6.34406562960991	-6.00213157532861	-10.9939337166197	-4.44517530939149	-11.2922749911894	-12.5948377612098	-13.2922749911894	-10.9939337166197	-10.0219480927893	-5.50914401281256	-6.04255292126633	-12.3724453398734	-13.0754636021163	-12.8012886386773	-7.7978247833737	-14.1094109340396	-14.331803355376	-18.6231741972432	-10.0382039835472	-13.6943734347608	-15.5017283568184	-14.5948377612098	-13.9781664007613	-15.9167658560972	-15.6943734347608	-17.886208603077	-15.9167658560972	-15.9167658560972	-18.2731353904296	-19.332458386144	-17.7064622921882	-16.9167658560972	-19.2914247929094	-13.6437473616908	-10.8578721670436	-15.6943734347608	-18.0863565485147	-17.3989340349768	-17.5144736671158	-18.4754484604218	-13.9781664007613	-19.2081366979644	-17.5594766767074	-19.2081366979644	-18.6231741972432	-17.7417882283695	-18.5699297581031	-16.0674294175739	-18.5699297581031	-18.6881728897084	-18.7208621298642
HEB24003	-1.09378274084458	-6.58315123226373	-7.9252706569664	-9.62087722137155	-9.11101617589111	-3.08201352182885	-9.47910326024338	-10.7957110231975	-3.8987379311428	-4.68962582891603	-10.8406584292515	-2.69516154148208	-11.0048878250298	-12.0569763361782	-13.4439994592875	-10.8315562221442	-10.3052353893316	-4.13260044397331	-4.18298948303036	-11.7868871728105	-13.23754858182	-9.38621596270183	-6.17865489276647	-13.5005829876538	-15.1444391774286	-18.6231741972432	-9.19899534105065	-14.4439994592875	-16.6881728897084	-15.5594766767074	-15.8225110825412	-14.4439994592875	-15.337084255371	-17.886208603077	-18.2914247929094	-18.0637163232569	-18.2731353904296	-19.332458386144	-14.9745141759862	-17.9167658560972	-19.2914247929094	-11.6208772213715	-10.4791032602434	-16.6943734347608	-18.0863565485147	-17.3989340349768	-17.5144736671158	-15.337084255371	-13.5005829876538	-19.2081366979644	-16.5594766767074	-19.2081366979644	-18.6231741972432	-17.7417882283695	-18.5699297581031	-16.0674294175739	-18.5699297581031	-18.6881728897084	-18.7208621298642
HEB24004	-2.22011615343851	-5.47188371035376	-7.7495393327238	-9.46563514635227	-8.69529341498102	-0.960055833979292	-8.05443971336782	-10.1539753869187	-5.90193176500292	-5.44815542437271	-10.2388642845052	-3.56190283479138	-10.7978315766935	-12.4554393792464	-12.7225434493892	-10.6685485597485	-8.00341571034335	-3.99670064225575	-5.45210953264438	-12.1622430029023	-13.4759034818061	-8.96856187820742	-6.13046655222458	-13.7978315766935	-14.7978315766935	-14.5177236575007	-9.03343385524752	-13.7978315766935	-14.2128690759723	-15.0202239980299	-14.2128690759723	-15.7978315766935	-16.2832584038637	-15.4352614973088	-18.2914247929094	-18.0637163232569	-16.6051864987511	-19.332458386144	-17.7064622921882	-17.9167658560972	-19.2914247929094	-12.6744491611882	-10.8840873100439	-16.6943734347608	-18.0863565485147	-17.3989340349768	-17.5144736671158	-15.6051864987511	-13.9613303089763	-19.2081366979644	-17.5594766767074	-19.2081366979644	-18.6231741972432	-16.6051864987511	-18.5699297581031	-16.0674294175739	-18.5699297581031	-18.6881728897084	-18.7208621298642
HEB24005	-2.38112270940442	-6.11637131550418	-7.54465548116922	-9.28181291032552	-8.81126219972465	-1.91954262418855	-9.88803453041848	-10.2552011800782	-3.85965865526883	-4.7713222730033	-9.95070538866376	-1.94540131308114	-10.8364017620032	-11.9056644244403	-12.3769701433659	-10.6269483963742	-9.36269601238374	-3.50349107549181	-4.24452883545235	-12.2216919178879	-13.4440843392244	-12.2972429508951	-8.07070127435206	-13.5144736671158	-14.1359620438621	-14.5144736671158	-8.730493253432	-13.5884742485596	-14.3769701433659	-15.5144736671158	-15.0290468399456	-14.7489389207528	-15.0290468399456	-16.251439261282	-16.8364017620032	-15.8364017620032	-15.0290468399456	-16.8364017620032	-15.3769701433659	-16.251439261282	-19.2914247929094	-11.5054848838885	-11.1290426299223	-16.6943734347608	-16.251439261282	-17.3989340349768	-16.5144736671158	-16.0290468399456	-14.9295111663946	-16.5144736671158	-17.5594766767074	-19.2081366979644	-18.6231741972432	-17.7417882283695	-18.5699297581031	-16.0674294175739	-17.251439261282	-18.6881728897084	-18.7208621298642
HEB24006	-1.54970982477833	-5.45159458476272	-7.90562621565743	-9.5262555896746	-9.15548835732328	-2.11812418075719	-10.0190998884073	-10.8181128306742	-2.41955125423777	-5.25885150097532	-10.4490877291521	-3.29814168426401	-11.0116824168448	-12.2791627277098	-14.0954507745374	-10.6764982252552	-9.67064549900978	-4.92814172130214	-4.82764631589945	-11.946587388623	-13.0340502298733	-12.8910922760313	-7.04915712226351	-13.4095593649655	-14.8116578085369	-18.6231741972432	-10.0529586924234	-13.864125228431	-14.3710852171509	-15.0340502298733	-14.2970846357071	-18.0637163232569	-15.0340502298733	-16.6190127305945	-15.8116578085369	-16.6190127305945	-15.8116578085369	-16.6190127305945	-17.7064622921882	-17.9167658560972	-19.2914247929094	-12.3336105117322	-10.6823747915919	-16.6943734347608	-18.0863565485147	-15.6190127305945	-16.2970846357071	-15.8116578085369	-13.4095593649655	-16.6190127305945	-17.5594766767074	-19.2081366979644	-18.6231741972432	-17.7417882283695	-18.5699297581031	-16.0674294175739	-18.5699297581031	-16.6190127305945	-18.7208621298642
HEB24016	-2.6720699526512	-1.75963242981858	-7.70286923907722	-9.42166463032891	-9.04412559489901	-1.89591599227356	-9.77139469045485	-10.4490064791417	-8.585958056813	-4.8117162212157	-10.2308263090921	-2.80491108680627	-11.035810326687	-12.3088288210934	-12.5879828922905	-10.8253115839318	-9.68433795618562	-4.83399623001947	-4.6943234550511	-12.4055048405051	-13.6713989004781	-12.4343597031773	-7.58848954551462	-13.7061643186388	-14.1568257276484	-13.8157888098133	-8.49956683327115	-13.7783141043946	-15.2563614011993	-14.8937913218146	-14.4787538225357	-17.0637163232569	-16.0637163232569	-16.2563614011993	-16.4787538225357	-17.0637163232569	-18.2731353904296	-16.4787538225357	-17.7064622921882	-17.9167658560972	-19.2914247929094	-11.8445478027947	-9.54801648497284	-16.6943734347608	-18.0863565485147	-17.3989340349768	-17.5144736671158	-15.1568257276484	-13.0193222038984	-19.2081366979644	-17.5594766767074	-19.2081366979644	-18.6231741972432	-16.7417882283695	-18.5699297581031	-14.9762534820065	-18.5699297581031	-18.6881728897084	-18.7208621298642
HEB24034	-0.744918392783138	-4.43218121494638	-8.25525118035588	-9.80157683247007	-9.53988073382027	-3.03606421712198	-8.92401004166254	-10.9077205004353	-5.60678573732857	-5.71269831194261	-10.8905453566272	-3.3373421065029	-11.6189994509379	-12.091752448073	-12.3256405082473	-10.8905453566272	-10.2525058036171	-5.32311799847857	-5.06636802120968	-11.9968040440177	-12.6620681728298	-12.445934741965	-5.28387185829565	-14.0434972794658	-14.1621417759644	-14.969496698022	-8.64576636050066	-14.4840698708518	-16.6881728897084	-16.1214997914671	-15.3845341973008	-15.4840698708518	-16.4840698708518	-16.4840698708518	-17.2914247929094	-16.969496698022	-18.2731353904296	-19.332458386144	-16.7064622921882	-17.9167658560972	-18.2914247929094	-11.5035222335179	-9.57717927524324	-16.6943734347608	-18.0863565485147	-17.3989340349768	-17.5144736671158	-15.0434972794658	-14.0434972794658	-19.2081366979644	-17.5594766767074	-19.2081366979644	-18.6231741972432	-17.7417882283695	-18.5699297581031	-16.0674294175739	-18.5699297581031	-18.6881728897084	-18.7208621298642
HEB24059	-1.15371409979969	-2.55714422672184	-7.7466776108791	-9.27332463659131	-9.09823793003322	-5.23540251450263	-9.90180127292845	-10.81723697767	-5.40214368216809	-4.45004931946246	-10.1004090290748	-2.87597142071323	-11.0917441679477	-11.642558446257	-12.2466297699259	-10.335897108023	-10.1580358466569	-4.0423846952997	-4.1218191627941	-11.7205609582583	-12.7205609582583	-8.88486141050673	-6.79377080521208	-13.5685578648133	-13.831592270647	-14.3879856191714	-8.07137132418053	-13.7750087422807	-14.2275209469782	-15.1535203655344	-15.8904859597006	-18.0637163232569	-15.3055234589795	-15.6680935383642	-16.1535203655344	-16.8904859597006	-18.2731353904296	-19.332458386144	-15.4754484604218	-16.8904859597006	-19.2914247929094	-11.5565852231472	-10.1047610536146	-16.6943734347608	-18.0863565485147	-15.8904859597006	-15.4754484604218	-17.4754484604218	-14.083131037643	-19.2081366979644	-17.5594766767074	-19.2081366979644	-18.6231741972432	-17.7417882283695	-18.5699297581031	-16.0674294175739	-18.5699297581031	-18.6881728897084	-18.7208621298642
HEB24081	-4.79445137902498	-0.541133310372478	-7.73673469204236	-9.53966809184292	-9.43915685528342	-6.84612613337532	-10.1827112666393	-10.1852534612018	-8.91988853933877	-5.34084796868103	-10.0680157859174	-2.74510570246442	-11.455941439579	-12.6045379315808	-12.7778695344663	-10.9749063815259	-9.54129549758896	-5.11965805171455	-4.7294696195796	-12.8895148902953	-14.1625333847017	-12.4744773910164	-6.73231316978531	-13.808896430087	-14.7474958854228	-14.4744773910164	-9.63723009464823	-14.6886021963693	-15.0105302912566	-15.8730267675067	-14.9401409633652	-15.332458386144	-15.8730267675067	-16.1625333847017	-16.0105302912566	-15.7474958854228	-16.7474958854228	-18.332458386144	-17.7064622921882	-16.332458386144	-16.7474958854228	-12.2556427890932	-9.64595785896076	-16.6943734347608	-18.0863565485147	-17.3989340349768	-16.0105302912566	-14.6886021963693	-12.762602777813	-19.2081366979644	-17.5594766767074	-19.2081366979644	-17.0105302912566	-17.7417882283695	-18.5699297581031	-16.0674294175739	-18.5699297581031	-18.6881728897084	-18.7208621298642
