feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Day_Num	Day_Num	1.26140713327281	0.210442311366966	18	18	0.000178502237829087	0.0125287189933117
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Day_Num	Day_Num	1.31364336557756	0.230575179116403	18	18	0.000158943745688428	0.0125287189933117
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	Day_Num	Day_Num	-0.851546872903473	0.137994388365967	18	18	0.000232013314690958	0.0125287189933117
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Day_Num	Day_Num	-0.7916682890278	0.1443121956594	18	18	0.000329726972205776	0.0133539423743339
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Day_Num	Day_Num	-0.833292717386869	0.175589880339518	18	18	0.000632537463805146	0.0204942138272867
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Day_Num	Day_Num	-0.531820225517418	0.115677377794239	18	18	0.000951130659975897	0.0220118809880136
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Day_Num	Day_Num	-0.632100183349621	0.135838096160177	18	18	0.000822607188238766	0.0220118809880136
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__	Weight_g	Weight_g	0.182327400007727	0.0474363161947397	18	18	0.0015945498394547	0.0322896342489577
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Weight_g	Weight_g	1.49990393434459	0.40044820258345	18	18	0.00197228415190339	0.035501114734261
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Day_Num	Day_Num	-0.573730646352903	0.168339706756328	18	18	0.00639546720174667	0.103606568668296
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Day_Num	Day_Num	-0.264935471911835	0.0825181292960415	18	18	0.00832645244147468	0.103760407347608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Day_Num	Day_Num	-0.463828624805093	0.13819971289876	18	18	0.00728293432294108	0.103760407347608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__.__	Weight_g	Weight_g	0.60306383976824	0.198239281195304	18	8	0.00823507214199215	0.103760407347608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Day_Num	Day_Num	1.18667840635691	0.406830388178329	18	18	0.0106243957579991	0.105962595920231
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Day_Num	Day_Num	-0.346901701189975	0.11143127710895	18	18	0.0111195316706415	0.105962595920231
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces	Day_Num	Day_Num	-0.627989481676133	0.200801249438962	18	12	0.00968214561190301	0.105962595920231
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	Weight_g	Weight_g	0.378647483439105	0.128312823090804	18	18	0.0102182814713027	0.105962595920231
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Day_Num	Day_Num	-0.326332466065616	0.108530285800581	18	18	0.0134957390814255	0.12146165173283
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	Day_Num	Day_Num	-0.235151984065235	0.0798190122505441	18	18	0.0154477332038866	0.131712251527875
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	Day_Num	Day_Num	0.459986491458499	0.163612505022435	18	18	0.0173365307422156	0.140425899011946
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Weight_g	Weight_g	-0.624787865799875	0.236848926696116	18	18	0.0198543160905025	0.153161866983876
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Day_Num	Day_Num	0.509612204102485	0.191974792045939	18	18	0.0245502896125989	0.160582354480262
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	Day_Num	Day_Num	-0.701771314398737	0.259753566157113	18	18	0.0223942366478292	0.160582354480262
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	Day_Num	Day_Num	-0.413691429093884	0.160842336381194	18	15	0.0257724766449803	0.160582354480262
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas	Day_Num	Day_Num	-0.27295204918553	0.0987924383120923	18	3	0.0253450183617558	0.160582354480262
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__	Day_Num	Day_Num	0.332801703516882	0.132396563263354	18	3	0.0238528871319058	0.160582354480262
