feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Weight_g	Weight_g	0.284451055073046	0.0459749630896854	18	18	1.30364659998767e-05	0.0011211360759894
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Weight_g	Weight_g	0.252917854119981	0.0555182995887152	18	18	0.000324117813456657	0.0139370659786362
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Weight_g	Weight_g	0.19875976929673	0.0510001157257133	18	18	0.00128119588803055	0.0367276154568759
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Weight_g	Weight_g	0.245821834931437	0.0659237614616494	18	18	0.00182745138548268	0.0392902047878776
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Weight_g	Weight_g	0.214613055938314	0.0694645036200016	18	18	0.00703231880435644	0.120955883434931
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Weight_g	Weight_g	1.57173656042472	0.48785209414365	18	18	0.00966754294799473	0.138568115587925
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Weight_g	Weight_g	0.31855439220471	0.105440371385179	18	18	0.0185942058237629	0.228443100120515
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Weight_g	Weight_g	-0.675407341154003	0.223618714339463	18	18	0.0250528564501123	0.25889175588703
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Weight_g	Weight_g	-0.164192767691937	0.0625814975564506	18	18	0.043587402054565	0.25889175588703
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Weight_g	Weight_g	0.171743287178928	0.0770158430642865	18	18	0.0404218630370005	0.25889175588703
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces	Weight_g	Weight_g	0.537865135373599	0.247535761961781	18	13	0.0451555388175052	0.25889175588703
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium	Weight_g	Weight_g	0.550497775239243	0.198550207529852	18	10	0.0370272503830314	0.25889175588703
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	Weight_g	Weight_g	0.670183184237771	0.288655257487766	18	14	0.033768643590718	0.25889175588703
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__	Weight_g	Weight_g	0.478394570342451	0.201963106650072	18	6	0.0307731586401391	0.25889175588703
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.__	Weight_g	Weight_g	0.159031779954718	0.0719293459666692	18	2	0.0419459174703758	0.25889175588703
