feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Weight_g	Weight_g	0.278908249290912	0.0480153444556225	18	18	3.44519866435128e-05	0.0059257417026842
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Day_Num	Day_Num	1.80902000227267	0.352138304065297	18	18	0.000229804117550792	0.0197631541093681
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Weight_g	Weight_g	0.241892947955046	0.0569275187817538	18	18	0.000699942954382019	0.0401300627179024
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Weight_g	Weight_g	0.190737220119323	0.0528683948441056	18	18	0.00258413589359661	0.0774641482527334
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Day_Num	Day_Num	-0.499939396427919	0.137324307168486	18	18	0.00315105137870078	0.0774641482527334
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Day_Num	Day_Num	-0.29782074523608	0.0807222430581989	18	18	0.00315261068470427	0.0774641482527334
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Day_Num	Day_Num	-0.685462090078609	0.181677658055655	18	18	0.00241707609186453	0.0774641482527334
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Weight_g	Weight_g	0.234693620300865	0.0681501717771449	18	18	0.0036177888480702	0.0777824602335092
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Day_Num	Day_Num	-0.719467708010861	0.206928828632008	18	18	0.00434791187463557	0.0830934269374798
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__	Day_Num	Day_Num	-0.545681910798632	0.170905484090123	18	4	0.00796105900401037	0.136930214868978
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Day_Num	Day_Num	-0.525160114683522	0.178820257553954	18	18	0.0118630023073756	0.170036366405717
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	Day_Num	Day_Num	-0.554038214045716	0.187195799213002	18	18	0.0115098217730019	0.170036366405717
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Weight_g	Weight_g	0.199644036767364	0.0708521939429266	18	18	0.0129859054759835	0.171813518605321
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Day_Num	Day_Num	-0.670975902994113	0.240580040392143	18	18	0.0162008180266886	0.199038621470746
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Day_Num	Day_Num	-0.581546677562426	0.220503731236578	18	18	0.0211124915208056	0.242089902771904
k__Bacteria.__.__.__.__.__	Day_Num	Day_Num	-0.201101978495127	0.078308341395336	18	18	0.0239053621423762	0.256982643030544
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	Day_Num	Day_Num	-0.765666606227037	0.313715277903756	18	18	0.0275428585115935	0.278668921411417
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Weight_g	Weight_g	1.41572849549841	0.521285724868351	18	18	0.0303222083719387	0.289745546665192
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Weight_g	Weight_g	-0.60512098773254	0.2275430292977	18	18	0.0425360566899583	0.339691929948583
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Weight_g	Weight_g	0.280728384636547	0.109100296241553	18	18	0.0403993383162246	0.339691929948583
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Weight_g	Weight_g	-0.181416994700934	0.0654968709984797	18	18	0.0434489677841211	0.339691929948583
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	Weight_g	Weight_g	0.687784039844314	0.30381727830008	18	14	0.038843001081573	0.339691929948583
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Day_Num	Day_Num	0.631234545892605	0.286155651128919	18	18	0.0466188822743984	0.348628163095501
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Weight_g	Weight_g	0.171192827580416	0.0812727865114777	18	18	0.0524201198224437	0.35281723477747
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium	Weight_g	Weight_g	0.531553013384595	0.206250387887657	18	10	0.0541117763729433	0.35281723477747
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister	Day_Num	Day_Num	-0.553829618751803	0.261764874950794	18	15	0.0553841008080911	0.35281723477747
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__	Weight_g	Weight_g	0.425067666885686	0.202325055152442	18	6	0.0529640275376044	0.35281723477747
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Jeotgalicoccus	Weight_g	Weight_g	0.456885061194913	0.225425582774326	18	5	0.0608459774097925	0.373768146945868
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Day_Num	Day_Num	-0.266818263212509	0.137451785490213	18	18	0.0757185674360344	0.392098263857292
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Weight_g	Weight_g	0.32409583102829	0.165656548620706	18	18	0.0692972376334818	0.392098263857292
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces	Weight_g	Weight_g	0.488648097177785	0.25380028043308	18	13	0.0733633044263187	0.392098263857292
