feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__
HEB24007	150217	5661	2398	160320	691	340	80977	197	82	55	596	309	27	35	658	24	11	14	0	15	5	0	3	3	38	2	0	0	0	0
HEB24008	195648	173878	2500	73116	314	231	40478	171	75	52	470	257	26	22	988	16	8	20	7	0	3	0	3	4	28	0	0	4	0	0
HEB24010	63317	301317	3973	35352	541	370	153841	248	115	78	535	744	41	73	1386	30	18	20	14	11	0	0	2	0	27	0	3	0	0	2
HEB24065	178685	34494	4954	6704	1204	459	473836	386	162	107	1874	735	36	70	963	57	23	48	18	25	0	3	4	0	43	4	0	3	0	0
HEB24067	267755	97986	3484	4028	574	465	231281	233	119	109	732	457	28	62	2668	38	20	14	20	11	0	0	5	0	62	4	0	0	0	0
HEB24097	206924	6521	2350	58689	4535	217	50322	193	97	48	160187	49	21	36	280	28	8	13	12	0	0	0	0	0	19	0	0	2	0	2
HEB24098	78799	16988	3175	16885	740	681	275394	248	78	50	549	278	32	35	847	23	18	19	11	11	0	0	0	0	58	11	0	4	2	0
HEB24099	396879	21023	3355	194148	71341	599	126979	264	126	60	504	1772	40	46	2034	37	12	34	21	12	3	0	7	0	120	7	0	0	0	0
HEB24100	208611	6975	3104	44691	489	372	214364	255	84	52	503	836	22	40	963	42	16	23	10	15	4	5	0	0	18	2	3	5	5	0
HEB24111	267838	70940	2258	49880	824	409	105616	187	68	124	798	234	17	30	602	23	4	18	12	9	0	4	0	0	68	0	0	0	0	0
HEB24120	266635	10562	2422	882	10283	375	209639	201	118	49	288	220	22	52	584	33	6	17	14	7	2	0	0	0	48	0	2	0	0	0
HEB24123	32948	154196	11260	2768	1591	2084	1038197	940	331	199	1229	496	75	207	1454	106	58	70	44	33	10	8	9	11	99	27	8	12	0	0
HEB24139	277801	11388	2871	206027	1156	443	100047	217	88	52	564	87	20	41	644	27	15	11	11	7	3	5	3	0	45	0	0	0	0	0
HEB24140	297093	161467	3262	214394	402	220	40755	207	102	58	438	66	34	55	268	32	14	16	14	9	0	0	0	0	49	2	3	0	0	0
HEB24141	189568	15499	2775	64150	5276	294	117241	263	86	44	72195	69	19	23	469	31	11	24	13	9	3	5	0	2	22	9	0	0	0	0
HEB24142	161927	29739	3451	157923	2756	500	170033	231	107	54	485	70	30	37	600	30	13	28	11	12	0	0	5	4	106	6	0	0	3	0
HEB24143	148011	11776	2046	97418	15124	188	83503	170	74	45	277	87	16	26	624	25	13	9	9	3	0	0	3	0	34	0	0	0	0	0
HEB24144	159045	80066	2314	50918	314	230	92611	158	63	34	348	195	19	37	643	24	5	16	7	9	0	0	0	0	21	0	0	0	0	0
