feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__
HEB24007	0.373044963966246	0.0140583791515802	0.00595513040195888	0.39813448959218	0.00171601130431759	0.000844347096191001	0.201096161200761	0.000489224641028315	0.000203636652610771	0.000136585559677956	0.00148009079214658	0.000767362508008881	6.70510929328148e-05	8.69180834314266e-05	0.00163405996851082	5.96009714958354e-05	2.73171119355912e-05	3.47672333725706e-05	0	3.72506071848971e-05	1.24168690616324e-05	0	7.45012143697942e-06	7.45012143697942e-06	9.4368204868406e-05	4.96674762465295e-06	0	0	0	0
HEB24008	0.400656128473395	0.356074615159353	0.00511960419316062	0.149729992074853	0.000643022286660974	0.000473051427448041	0.0828925354123022	0.000350180926812186	0.000153588125794819	0.000106487767217741	0.000962485588314196	0.000526295311056912	5.32438836088704e-05	4.50525168998134e-05	0.00202326757713708	3.2765466836228e-05	1.6382733418114e-05	4.09568335452849e-05	1.43348917408497e-05	0	6.14352503179274e-06	0	6.14352503179274e-06	8.19136670905699e-06	5.73395669633989e-05	0	0	8.19136670905699e-06	0	0
HEB24010	0.112652075052753	0.536095918926517	0.0070686655113885	0.0628974233975853	0.000962534115696245	0.000658295051400389	0.273710186493209	0.00044123560201972	0.000204605218678499	0.00013877571353846	0.000951859060808671	0.00132370680605916	7.29462083984215e-05	0.000129879834465482	0.00246593767902957	5.33752744378694e-05	3.20251646627216e-05	3.55835162919129e-05	2.49084614043391e-05	1.95709339605521e-05	0	0	3.55835162919129e-06	0	4.80377469940825e-05	0	5.33752744378694e-06	0	0	3.55835162919129e-06
HEB24065	0.253490935555124	0.0489348089153451	0.00702797713708528	0.00951060935143716	0.0017080509634741	0.000651158963650008	0.672206010239794	0.000547597734137044	0.000229820810700003	0.000151795226820372	0.00265854443982596	0.00104270553002779	5.10712912666673e-05	9.93052885740754e-05	0.00136615704138335	8.08628778388899e-05	3.26288805314819e-05	6.80950550222231e-05	2.55356456333337e-05	3.54661744907412e-05	0	4.25594093888894e-06	5.67458791851859e-06	0	6.10018201240749e-05	5.67458791851859e-06	0	4.25594093888894e-06	0	0
HEB24067	0.438831116683466	0.160591980726209	0.00571002450197081	0.00660160123247372	0.000940744564905639	0.000762101433242373	0.379052863616622	0.000381870180527899	0.00019503240979751	0.000178643131663266	0.0011996951594267	0.000748990010734977	4.58899787758848e-05	0.000101613524432316	0.00437265940621645	6.22792569101294e-05	3.27785562684892e-05	2.29449893879424e-05	3.27785562684892e-05	1.8028205947669e-05	0	0	8.19463906712229e-06	0	0.000101613524432316	6.55571125369783e-06	0	0	0	0
HEB24097	0.42181782600453	0.0132931609836246	0.00479051193245174	0.119638448852621	0.0092446687717739	0.00044235791035831	0.102582187857377	0.000393433533175824	0.00019773602444588	9.78487543649718e-05	0.326543716988786	9.98872700809087e-05	4.28088300346752e-05	7.33865657737288e-05	0.000570784400462335	5.70784400462335e-05	1.63081257274953e-05	2.65007043071799e-05	2.44621885912429e-05	0	0	0	0	0	3.87317986028013e-05	0	0	4.07703143187382e-06	0	4.07703143187382e-06
HEB24098	0.199523467093402	0.0430145643851156	0.00803927724998481	0.0427537626349586	0.00187372131180748	0.00172433001802824	0.697312982356635	0.000627949845038183	0.000197500354487816	0.000126602791338343	0.00139009864889501	0.00070391151984119	8.10257864565398e-05	8.86219539368404e-05	0.00214465128527154	5.8237284015638e-05	4.55770048818036e-05	4.81090607085705e-05	2.78526140944356e-05	2.78526140944356e-05	0	0	0	0	0.000146859237952478	2.78526140944356e-05	0	1.01282233070675e-05	5.06411165353374e-06	0
HEB24099	0.484339590175038	0.0256558578414323	0.00409434443504759	0.236932573286325	0.0870624817707094	0.000731002180802833	0.154961478991925	0.000322177922757843	0.000153766735861698	7.3222255172237e-05	0.000615066943446791	0.00216249726942007	4.88148367814914e-05	5.61370622987151e-05	0.00248223445033884	4.51537240228795e-05	1.46444510344474e-05	4.14926112642677e-05	2.5627789310283e-05	1.46444510344474e-05	3.66111275861185e-06	0	8.54259643676099e-06	0	0.000146444510344474	8.54259643676099e-06	0	0	0	0
HEB24100	0.43324423842545	0.0144857105474664	0.00644640079417	0.0928144645271428	0.00101555734160732	0.000772571229198208	0.445192094021088	0.000529585116789094	0.000174451567883466	0.000107993827737384	0.00104463260292123	0.0017362084613164	4.56896963504317e-05	8.3072175182603e-05	0.00199996261752117	8.72257839417332e-05	3.32288700730412e-05	4.77665007299967e-05	2.07680437956508e-05	3.11520656934761e-05	8.3072175182603e-06	1.03840218978254e-05	0	0	3.73824788321714e-05	4.15360875913015e-06	6.23041313869523e-06	1.03840218978254e-05	1.03840218978254e-05	0
HEB24111	0.535715642957579	0.141890499896992	0.00451633420873145	0.0997673827863262	0.00164812196102512	0.0008180605364797	0.211247632324792	0.000374027678048176	0.000136010064744791	0.000248018353358148	0.00159611811274034	0.000468034634562958	3.40025161861978e-05	6.00044403285843e-05	0.00120408910259359	4.60034042519146e-05	8.00059204381124e-06	3.60026641971506e-05	2.40017761314337e-05	1.80013320985753e-05	0	8.00059204381124e-06	0	0	0.000136010064744791	0	0	0	0	0
HEB24120	0.530658100827726	0.0210205369172931	0.00482027460837757	0.00175536011750166	0.0204652699413487	0.000746326580570432	0.41722442139788	0.000400031047185752	0.000234844097352829	9.75200065278698e-05	0.000573178813878092	0.000437844927267987	4.37844927267987e-05	0.000103490619172433	0.00116227926147502	6.5676739090198e-05	1.19412252891269e-05	3.38334716525263e-05	2.78628590079628e-05	1.39314295039814e-05	3.98040842970897e-06	0	0	0	9.55298023130153e-05	0	3.98040842970897e-06	0	0	0
HEB24123	0.0263907022195167	0.123507973759882	0.00901903930410823	0.00221711374722661	0.00127435981641529	0.00166924315362003	0.831575448348779	0.000752921576009035	0.000265124512403182	0.000159395099601913	0.000984404911611813	0.000397286278404767	6.00735300007209e-05	0.00016580294280199	0.00116462550161398	8.49039224010188e-05	4.64568632005575e-05	5.60686280006728e-05	3.52431376004229e-05	2.64323532003172e-05	8.00980400009612e-06	6.4078432000769e-06	7.20882360008651e-06	8.81078440010573e-06	7.92970596009516e-05	2.16264708002595e-05	6.4078432000769e-06	9.61176480011534e-06	0	0
HEB24139	0.461791004582985	0.0189303708776823	0.00477248812696049	0.34248046371762	0.00192162879650516	0.000736402730840646	0.166308993256014	0.000360720976506592	0.000146283160979632	8.64400496697824e-05	0.00093754207718764	0.000144620852332136	3.32461729499163e-05	6.81546545473284e-05	0.0010705267689873	4.4882333482387e-05	2.49346297124372e-05	1.8285395122454e-05	1.8285395122454e-05	1.16361605324707e-05	4.98692594248745e-06	8.31154323747908e-06	4.98692594248745e-06	0	7.48038891373117e-05	0	0	0	0	0
HEB24140	0.413226048737065	0.224584121508846	0.00453710915767219	0.298200178034939	0.000559140981417603	0.000305997552019584	0.0566860465116279	0.000287915878491154	0.000141871592299989	8.06720818960721e-05	0.000609213308111717	9.17992656058752e-05	4.7290530766663e-05	7.6499388004896e-05	0.000372760654278402	4.45087348392122e-05	1.94725714921553e-05	2.22543674196061e-05	1.94725714921553e-05	1.25180816735284e-05	0	0	0	0	6.81540002225437e-05	2.78179592745076e-06	4.17269389117614e-06	0	0	0
HEB24141	0.404973296304209	0.0331104464857936	0.00592822046571245	0.137043366801965	0.0112710959196753	0.000628070925016022	0.250461439863277	0.000561845759453108	0.000183721427045503	9.39970091860714e-05	0.154229865413373	0.000147404400769066	4.05896176030763e-05	4.91348002563555e-05	0.00100192266609699	6.62251655629139e-05	2.34992522965178e-05	5.12710959196753e-05	2.77718436231574e-05	1.92266609698782e-05	6.40888698995941e-06	1.0681478316599e-05	0	4.27259132663961e-06	4.69985045930357e-05	1.92266609698782e-05	0	0	0	0
HEB24142	0.306586438604895	0.0563066943602424	0.00653399247577917	0.299005416908859	0.00521810584272599	0.00094668103097351	0.321934031479038	0.000437366636309762	0.000202589740628331	0.000102241551345139	0.000918280600044305	0.000132535344336291	5.68008618584106e-05	7.00543962920397e-05	0.00113601723716821	5.68008618584106e-05	2.46137068053113e-05	5.30141377345166e-05	2.08269826814172e-05	2.27203447433642e-05	0	0	9.4668103097351e-06	7.57344824778808e-06	0.000200696378566384	1.13601723716821e-05	0	0	5.68008618584106e-06	0
HEB24143	0.411735251654469	0.0327583377146497	0.00569153863486526	0.270996241804157	0.042071764571702	0.000522976179547737	0.232287659153057	0.00047290399214423	0.000205852325992194	0.000125180468508767	0.000770555328376187	0.000242015572450282	4.45086110253393e-05	7.23264929161764e-05	0.00173583582998823	6.95447047270927e-05	3.61632464580882e-05	2.50360937017534e-05	2.50360937017534e-05	8.34536456725112e-06	0	0	8.34536456725112e-06	0	9.4580798428846e-05	0	0	0	0	0
HEB24144	0.410887239489817	0.206847733138368	0.0059781387165861	0.131544886417948	0.000811208105880742	0.000594197020231117	0.239257305394017	0.000408187518245724	0.000162758314237219	8.78378203819912e-05	0.000899045926262733	0.000503775734543773	4.9085840801701e-05	9.55882162980492e-05	0.00166116819134177	6.20031673284644e-05	1.29173265267634e-05	4.13354448856429e-05	1.80842571374688e-05	2.32511877481741e-05	0	0	0	0	5.42527714124063e-05	0	0	0	0	0
