feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__
HEB24007	-1.42257856257966	-6.15242592002811	-7.39165118493548	-1.32867224026714	-9.18672522796145	-10.209876192212	-2.3140425531222	-10.9972153088933	-12.2617151237316	-12.837907414825	-9.40009860788755	-10.3478041004453	-13.8643796261862	-13.4899841114047	-9.25732335461447	-14.0343046276286	-15.1598355097124	-14.8119122062921	-17.0901094652563	-14.7123765327412	-16.2973390334623	-18.8420904391061	-17.0343046276286	-17.0343046276286	-13.3713396149061	-17.6192671283497	-18.9386520960217	-18.9040494899974	-18.591259355667	-19.1003594874361
HEB24008	-1.31956355042692	-1.48974850638973	-7.60975200776444	-2.73956486157542	-10.6028436384223	-11.0457153458978	-3.59261399889238	-11.479611872428	-12.668645696818	-13.1970246691728	-10.0209474407489	-10.89183983812	-14.1970246691728	-14.4380327686766	-8.94909715572921	-14.8974643873139	-15.8974643873139	-14.5755362924265	-16.0901094652563	-17.8705934942268	-17.3125018865927	-18.8420904391061	-17.3125018865927	-16.8974643873139	-14.0901094652563	-19.4555519816703	-18.9386520960217	-16.8974643873139	-18.591259355667	-19.1003594874361
HEB24010	-3.15005420660702	-0.899436942377525	-7.14434640934803	-3.99085527167912	-10.0208747036093	-10.5689780269198	-1.86927896734647	-11.1461631770493	-12.2548694364918	-12.8149572685739	-10.0369644061476	-9.5612006763281	-13.742807482818	-12.9105349285561	-8.66364794529892	-14.1934688918276	-14.9304344859938	-14.7784313925488	-15.2930045653785	-15.6409278687988	-19.0592863614329	-18.8420904391061	-18.1003594874361	-18.8364572394867	-14.3454719852727	-19.4555519816703	-17.515396986715	-18.9040494899974	-18.591259355667	-18.1003594874361
HEB24065	-1.97999393528588	-4.35299512369263	-7.15267478658093	-6.71624650612794	-9.19343326306759	-10.5847025964135	-0.573024652949003	-10.8345959025592	-12.0872029369427	-12.6855859534261	-8.5551477021681	-9.90545250010357	-14.257127938385	-13.2977699228823	-9.51566095198383	-13.5941629256626	-14.9034909837703	-13.8420904391061	-15.257127938385	-14.7831967500526	-19.0592863614329	-17.8420904391061	-17.4270529398273	-18.8364572394867	-14.0007881851252	-17.4270529398273	-18.9386520960217	-17.8420904391061	-18.591259355667	-19.1003594874361
HEB24067	-1.18826226674587	-2.63852824222757	-7.45228734839167	-7.24296828898375	-10.0539093303148	-10.3577293509951	-1.39952903076759	-11.3546301123363	-12.3239984936826	-12.4506319322136	-9.70311641870649	-10.3827659019325	-14.4114613349329	-13.2646199466037	-7.83727330580595	-13.9708887435469	-14.8968881621032	-15.4114613349329	-14.8968881621032	-15.7593846383532	-19.0592863614329	-18.8420904391061	-16.8968881621032	-18.8364572394867	-13.2646199466037	-17.2188162569905	-18.9386520960217	-18.9040494899974	-18.591259355667	-19.1003594874361
HEB24097	-1.24530803023249	-6.23317198560044	-7.70560444854506	-3.06324698415813	-6.75716265458154	-11.1424982575529	-3.28514784854988	-11.3115924527293	-12.3041366478103	-13.3190869892763	-1.61465194519566	-13.2893396458822	-14.5117320672187	-13.7341244885551	-10.7747664730525	-14.0966945679398	-15.9040494899974	-15.2036097718563	-15.3190869892763	-17.8705934942268	-19.0592863614329	-18.8420904391061	-19.1003594874361	-18.8364572394867	-14.6561219765538	-19.4555519816703	-18.9386520960217	-17.9040494899974	-18.591259355667	-17.9040494899974
HEB24098	-2.32536965486477	-4.53903096231959	-6.9587184791201	-4.54780479677216	-9.05987789515068	-9.17974836765493	-0.520121753364208	-10.6370630452801	-12.3058571368047	-12.9474031658923	-9.4905970166618	-10.4723182829435	-13.591259355667	-13.461976338722	-8.8650411963348	-14.06769739961	-14.4213343542247	-14.3433318422234	-15.1318277370297	-15.1318277370297	-19.0592863614329	-18.8420904391061	-19.1003594874361	-18.8364572394867	-12.7332783605394	-15.1318277370297	-18.9386520960217	-16.591259355667	-17.591259355667	-19.1003594874361
HEB24099	-1.04590916046989	-5.2845679248032	-7.93215181106649	-2.07745154220117	-3.52180504413475	-10.4178366693653	-2.69001846631799	-11.5998547427956	-12.6669689386541	-13.7373582665455	-10.6669689386541	-8.85308597359902	-14.3223207672667	-14.120686906097	-8.65414489829654	-14.4347954965251	-16.0592863614329	-14.5567860209037	-15.2519314393753	-16.0592863614329	-18.0592863614329	-18.8420904391061	-16.8368939400964	-18.8364572394867	-12.7373582665455	-16.8368939400964	-18.9386520960217	-18.9040494899974	-18.591259355667	-19.1003594874361
HEB24100	-1.20674753130758	-6.10922573691206	-7.27729039632885	-3.42950653231595	-9.94351258356374	-10.3380444274079	-1.16750012219367	-10.8828498016571	-12.4848858157372	-13.1767635203749	-9.90278864871045	-9.16984410643509	-14.4177716198787	-13.5552751436286	-8.96581125067252	-13.4848858157372	-14.877203238516	-14.353641282459	-15.5552751436286	-14.9703126429075	-16.877203238516	-16.5552751436286	-19.1003594874361	-18.8364572394867	-14.7072782370737	-17.877203238516	-17.2922407377948	-16.5552751436286	-16.5552751436286	-19.1003594874361
HEB24111	-0.900460671355801	-2.8171500961183	-7.79063203516785	-3.32528796122382	-9.24496127875764	-10.2555047729991	-2.24299292320815	-11.3845673460532	-12.8439989646905	-11.977265495554	-9.29121686971851	-11.0610970863574	-14.8439989646905	-14.0245712103323	-9.69784212918115	-14.4078998498838	-16.9314618059409	-14.7615368044985	-15.3464993052197	-15.7615368044985	-19.0592863614329	-16.9314618059409	-19.1003594874361	-18.8364572394867	-12.8439989646905	-19.4555519816703	-18.9386520960217	-18.9040494899974	-18.591259355667	-19.1003594874361
