feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Verrucomicrobia	Weight_g	Weight_g	-0.558851657415753	0.178062387667782	24	24	0.00523339813211633	0.0523339813211633
k__Bacteria.p__Cyanobacteria	Weight_g	Weight_g	0.0956689010285887	0.0531505448465085	24	24	0.0857764974451605	0.428882487225802
Unassigned.__	Weight_g	Weight_g	0.371021046655872	0.27533070152874	24	13	0.196389486514437	0.654631621714789
k__Bacteria.p__Tenericutes	Weight_g	Weight_g	0.205212309435406	0.214142071903844	24	24	0.350684305208618	0.876710763021544
k__Bacteria.p__Firmicutes	Weight_g	Weight_g	0.0262575483111731	0.0731422909616088	24	24	0.724652913888054	0.94429577064003
k__Bacteria.__	Weight_g	Weight_g	-0.0463069651141055	0.132735000310185	24	24	0.730910140898129	0.94429577064003
k__Bacteria.p__Proteobacteria	Weight_g	Weight_g	-0.0188776275212198	0.0589767480556014	24	24	0.755436616512024	0.94429577064003
k__Bacteria.p__Deferribacteres	Weight_g	Weight_g	0.0468805749932436	0.0951717656243033	24	24	0.631441592614827	0.94429577064003
k__Bacteria.p__Actinobacteria	Weight_g	Weight_g	-0.0124192972008767	0.0662771977915498	24	24	0.85309165420108	0.947879615778977
k__Bacteria.p__Bacteroidetes	Weight_g	Weight_g	-0.000269848602312367	0.221559704730901	24	24	0.999043960612965	0.999043960612965
