feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Cyanobacteria	Weight_g	Weight_g	0.182333721625587	0.0474506959458896	18	18	0.00159791313906941	0.0319582627813882
k__Bacteria.p__Bacteroidetes	Day_Num	Day_Num	0.5064220630748	0.190800982244479	18	18	0.0245739493669411	0.16382632911294
k__Bacteria.p__Verrucomicrobia	Weight_g	Weight_g	-0.624771499821184	0.236861774343689	18	18	0.0198639068738026	0.16382632911294
k__Bacteria.__	Day_Num	Day_Num	-0.136833991694451	0.0677317897735311	18	18	0.0686243266103775	0.343121633051887
k__Bacteria.p__Proteobacteria	Day_Num	Day_Num	-0.108120821965637	0.0595029860290877	18	18	0.0971503169260223	0.388601267704089
k__Bacteria.p__Firmicutes	Day_Num	Day_Num	-0.108361500539363	0.0716653228987022	18	18	0.161125063108309	0.532693827629418
k__Bacteria.p__Verrucomicrobia	Day_Num	Day_Num	0.208679174039242	0.154393371263476	18	18	0.205933283191209	0.532693827629418
k__Bacteria.p__Cyanobacteria	Day_Num	Day_Num	-0.0555125562826007	0.0474506959458896	18	18	0.260294834709832	0.532693827629418
k__Bacteria.p__Actinobacteria	Weight_g	Weight_g	0.118836936026944	0.094309389049898	18	18	0.234554990520694	0.532693827629418
k__Bacteria.p__Actinobacteria	Day_Num	Day_Num	-0.0738204254310187	0.0658807480879597	18	18	0.292545921229585	0.532693827629418
k__Bacteria.p__Deferribacteres	Weight_g	Weight_g	0.137094513922662	0.125645591500513	18	18	0.29298160519618	0.532693827629418
k__Bacteria.__	Weight_g	Weight_g	-0.0922483353755935	0.10660156624492	18	18	0.401077420037218	0.633283151651446
k__Bacteria.p__Tenericutes	Weight_g	Weight_g	0.226687637625706	0.26458397447369	18	18	0.41163404857344	0.633283151651446
k__Bacteria.p__Tenericutes	Day_Num	Day_Num	0.138729567048532	0.209114589277963	18	18	0.520664035701361	0.743805765287659
k__Bacteria.p__Firmicutes	Weight_g	Weight_g	-0.0505432581463809	0.0873739329108684	18	18	0.57833229679534	0.761916580082416
k__Bacteria.p__Proteobacteria	Weight_g	Weight_g	0.0344138421193188	0.064564811046081	18	18	0.609533264065933	0.761916580082416
k__Bacteria.p__Bacteroidetes	Weight_g	Weight_g	0.0918577626145502	0.244064466602032	18	18	0.715556556607638	0.795062840675153
Unassigned.__	Day_Num	Day_Num	-0.0996638021812685	0.263706850195713	18	7	0.714054126595815	0.795062840675153
k__Bacteria.p__Deferribacteres	Day_Num	Day_Num	0.00459668620398655	0.078888025487599	18	18	0.954591558782418	0.993005626151132
Unassigned.__	Weight_g	Weight_g	-0.00273252470800458	0.299546958485543	18	7	0.993005626151132	0.993005626151132
