feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes	Weight_g	Weight_g	0.176660853276507	0.0427820814174573	72	72	0.000164147533051894	0.00164147533051894
k__Bacteria.p__Bacteroidetes	Weight_g	Weight_g	-0.4427304045312	0.12385687782436	72	72	0.000962947738320816	0.00481473869160408
k__Bacteria.p__Verrucomicrobia	Weight_g	Weight_g	-0.462574645755299	0.159653260171901	72	72	0.00501946417031525	0.0167315472343842
k__Bacteria.p__Proteobacteria	Weight_g	Weight_g	0.0822947207108273	0.0326013629185283	72	72	0.0138643796173788	0.0346609490434469
k__Bacteria.p__Cyanobacteria	Weight_g	Weight_g	0.074498213075374	0.0296981856029158	72	72	0.0183940435116752	0.0367880870233504
k__Bacteria.p__Actinobacteria	Weight_g	Weight_g	0.0851252740848398	0.0362472976538494	72	72	0.0262375471342412	0.0437292452237354
k__Bacteria.p__Deferribacteres	Weight_g	Weight_g	0.131937346478933	0.0673458735298582	72	70	0.0540849622443759	0.0772642317776798
k__Bacteria.__	Weight_g	Weight_g	0.0900235962709877	0.0736267109306236	72	72	0.226334711465571	0.282918389331964
k__Bacteria.p__Tenericutes	Weight_g	Weight_g	0.0637245236558969	0.129516681100657	72	72	0.625865857099568	0.695406507888409
Unassigned.__	Weight_g	Weight_g	-0.016577244275158	0.144005033563319	72	35	0.908682972589461	0.908682972589461
