feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24001	0.34740297929164	0.645937549729816	0.00273643716572915	0.00066421736513274	0.00076800132843473	0.000204108461160581	0.000172973272169984	0.00209989552414361	1.38378617735987e-05	0
HEB24002	0.437015723168774	0.556423975946461	0.00410321899281196	0.000552304591941202	0.000603493798023558	0.000161650124470596	0.000169732630694126	0.000951041565635339	1.88591811882362e-05	0
HEB24003	0.469463330457291	0.525763589301122	0.00140120793787748	0.000562553925798102	0.000669542709232097	0.000234685073339085	0.00017946505608283	0.00170146678170837	2.41587575496117e-05	0
HEB24004	0.215566985231978	0.776706698397811	0.00376159511694799	0.000877705527287865	0.000802473624948905	0.000178048835535538	0.000185572025769434	0.00190838258933161	1.25386503898266e-05	0
HEB24005	0.192927734884059	0.801445045953487	0.00105537064018698	0.000818232702817028	0.000865233014728189	0.000260638093325528	0.000235001559555804	0.00235428835118633	2.99092893980115e-05	8.5455112565747e-06
HEB24006	0.342584704190439	0.653875864056015	0.000963718961667333	0.000553890021783029	0.000615985315704893	0.00020118875230684	0.000223543058118711	0.000941364655855462	2.98057410824948e-05	9.93524702749828e-06
HEB24007	0.373052414087683	0.621526380880008	0.00171601130431759	0.000844347096191001	0.00072514515319933	0.000203636652610771	0.000248337381232647	0.00163405996851082	3.72506071848971e-05	1.24168690616324e-05
HEB24008	0.400662271998427	0.595354675939294	0.000643022286660974	0.000473051427448041	0.000540630202797761	0.000153588125794819	0.000143348917408497	0.00202326757713708	0	6.14352503179274e-06
HEB24010	0.112655633404382	0.882083343711859	0.000962534115696245	0.000658295051400389	0.000718787029096641	0.000204605218678499	0.000231292855897434	0.00246593767902957	1.95709339605521e-05	0
HEB24016	0.157725402169847	0.836401959979196	0.00114423366455887	0.000715374157108574	0.000748222970445193	0.000197092880019709	0.000279214913361255	0.00276295018842444	1.45994725940525e-05	1.09496044455394e-05
HEB24020	0.381252130983453	0.613946551445679	0.000897256190569239	0.000542341519632962	0.000699859828644007	0.000183439043405267	0.000281140273045028	0.00217335388382327	2.3926831748513e-05	0
HEB24027	0.602572246218858	0.394072868051191	0.000737172200751548	0.000419569665280359	0.000504820872169994	0.000162144452319501	0.000167159229195362	0.00134730338731462	1.67159229195362e-05	0
HEB24028	0.481748772012573	0.513632226517159	0.00093596040961165	0.000355591257982379	0.000578526709878067	0.000178716849866791	0.000165819757608363	0.00238411962605802	2.02668592632444e-05	0
HEB24029	0.31921575622558	0.657062235876572	0.0141144144263813	0.00046870937931113	0.000538920905766643	0.000172682402904101	0.000184068055842832	0.00822233903058756	2.08736970543418e-05	0
HEB24030	0.394689296985193	0.602520437574002	0.000792501426974296	0.000452857958271026	0.000603810611028035	0.000165104463952978	0.000191049451145589	0.000568431083038111	1.65104463952978e-05	0
HEB24031	0.449604712205487	0.547668895694019	0.000749953127929504	0.000589025685894632	0.000512467970751828	0.000181238672582964	0.000214049121929879	0.000459346290856821	2.03112305480907e-05	0
HEB24032	0.218604032155209	0.77653276056791	0.000789277653830584	0.00072458276417234	0.000695007957471428	0.000225507901094453	0.000242143729863716	0.00216635459084179	2.03326796068769e-05	0
HEB24033	0.361603341735443	0.634093035803104	0.00149214725891706	0.000522673051146087	0.000765041603088829	0.000189679736303015	0.00017914197317507	0.00114018597044368	1.47528683791234e-05	0
HEB24034	0.597619645019473	0.396294662824603	0.00205869381254198	0.000520517587728252	0.00060623156175536	0.000229090076036087	0.000163635768597205	0.00249661429802593	1.09090512398137e-05	0
HEB24055	0.296212269996817	0.699895932801033	0.00111516694771583	0.000476316246898865	0.000887167227636275	0.000227999720079552	0.000264118487616906	0.000898454342491698	2.25742297108467e-05	0
HEB24056	0.285289747399703	0.710599206121963	0.00120859944121113	0.000459629463303485	0.00083336096133386	0.000248652004737951	0.000283312587216574	0.00105036634728698	2.71256732441401e-05	0
