feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24001	-1.52531796838412	-0.630533405278228	-8.51348555500567	-10.5560569387573	-10.3466035731284	-12.2583763901166	-12.4971632497037	-8.89546673322278	-16.1410194394785	-19.5616198473859
HEB24002	-1.19424290822888	-0.845743508878849	-7.92902813033107	-10.8222482573129	-10.6943734347608	-12.5948377612098	-12.5244484333184	-10.0382039835472	-15.6943734347608	-19.5616198473859
HEB24003	-1.09091562078569	-0.927513860412535	-9.47911321848338	-10.7957209814375	-10.5445362934814	-12.0569862944182	-12.4440094175275	-9.19900529929065	-15.337094213611	-19.5616198473859
HEB24004	-2.21379185320361	-0.364558186925306	-8.05443971336782	-10.1539753869187	-10.2832584038637	-12.4554393792464	-12.3957331331221	-9.03343385524752	-16.2832584038637	-19.5616198473859
HEB24005	-2.37386753779655	-0.319324494842472	-9.88803453041848	-10.2552011800782	-10.1746236642312	-11.9056644244403	-12.0550420484785	-8.730493253432	-15.0290468399456	-16.8364017620032
HEB24006	-1.54546735584497	-0.612911323551662	-10.0190998884073	-10.8181128306742	-10.6648164202076	-12.2791627277098	-12.1271596342648	-10.0529586924234	-15.0340502298733	-16.6190127305945
HEB24007	-1.42254975064822	-0.686112466671507	-9.18672522796145	-10.209876192212	-10.4294425694697	-12.2617151237316	-11.975410938575	-9.25732335461447	-14.7123765327412	-16.2973390334623
HEB24008	-1.31954142880063	-0.748178700799756	-10.6028436384223	-11.0457153458978	-10.8530702679554	-12.668645696818	-12.7681813703689	-8.94909715572921	-17.8705934942268	-17.3125018865927
HEB24010	-3.15000863678356	-0.181013119513651	-10.0208747036093	-10.5689780269198	-10.4421480046843	-12.2548694364918	-12.0779916744077	-8.66364794529892	-15.6409278687988	-19.5616198473859
HEB24016	-2.66451306549323	-0.257731652222241	-9.77140258894648	-10.4490143776333	-10.3842441222431	-12.3088367195851	-11.8063363790559	-8.49957473176279	-16.0637242217485	-16.4787617210274
HEB24020	-1.39118269345387	-0.703815031019364	-10.1221924076795	-10.8485107576462	-10.480646378592	-12.4124116428395	-11.7964222464977	-8.84586117923222	-15.3510110981754	-19.5616198473859
HEB24027	-0.730793869290713	-1.34346567166249	-10.4057107125337	-11.2188020041405	-10.9519408187662	-12.5904327159041	-12.5464893683165	-9.53570952956328	-15.8684174632039	-19.5616198473859
HEB24028	-1.05364710582071	-0.961192371442105	-10.0612648733144	-11.4574925228185	-10.7553288111949	-12.4500367178994	-12.5580964637569	-8.71232765809406	-15.5905179414493	-19.5616198473859
HEB24029	-1.6473962313362	-0.605898068117378	-6.14668691374518	-11.0590187147725	-10.8576388268525	-12.4995913061585	-12.40747310417	-6.92623542508529	-15.5479543277199	-19.5616198473859
HEB24030	-1.34121069751028	-0.730917916305619	-10.3012988465852	-11.1086537686428	-10.693616269364	-12.564333252419	-12.3537662664794	-10.780726933134	-15.8862613473064	-19.5616198473859
HEB24031	-1.15327093868826	-0.868624148613029	-10.3809119495633	-10.7293818319032	-10.9302505405538	-12.4298215500443	-12.1897704622113	-11.0881302003355	-15.5873628270308	-19.5616198473859
HEB24032	-2.19360808309678	-0.364881304193828	-10.3071794755851	-10.4305618910903	-10.4906828835279	-12.1145343976427	-12.0118487336681	-8.8505148807833	-15.5858401165683	-19.5616198473859
HEB24033	-1.46752008449357	-0.65723356296975	-9.38839436352888	-10.901803603225	-10.3521741756161	-12.3641468172822	-12.4466089774742	-9.77651512978506	-16.0486449915543	-19.5616198473859
HEB24034	-0.742700521548801	-1.3353545572265	-8.92405500931798	-10.9077654680908	-10.6878434155786	-12.0917974157284	-12.5772242428987	-8.64581132815609	-16.4841148385072	-19.5616198473859
HEB24055	-1.75529669228585	-0.514787670534377	-9.80852457755502	-11.0357926204325	-10.1385063068811	-12.0986803263879	-11.8865270895563	-10.120267188596	-15.4349637142523	-19.5616198473859
HEB24056	-1.80950019388916	-0.492892017989332	-9.69244810453331	-11.087241098538	-10.2287708607535	-11.9735843167424	-11.7853176793106	-9.89489168511981	-15.1699815295459	-19.5616198473859
HEB24059	-1.14967747957825	-0.88197709286816	-9.90180127292845	-10.81723697767	-10.3617062943726	-11.642558446257	-12.0491837057197	-8.07137132418053	-15.3055234589795	-19.5616198473859
HEB24065	-1.97996163981859	-0.43157283751415	-9.19343326306759	-10.5847025964135	-10.2546254311818	-12.0872029369427	-12.0176620036896	-9.51566095198383	-14.7831967500526	-19.5616198473859
HEB24067	-1.18824005535495	-0.852234096943828	-10.0539140592532	-10.3577340799334	-10.5183812677877	-12.3240032226209	-11.8789709830442	-7.83727803474425	-15.7593893672915	-19.5616198473859
HEB24071	-2.10788688510538	-0.390081238180633	-9.75828226699307	-9.83284961137515	-9.94785451088585	-11.8585871727888	-11.8020036444224	-9.84995686764532	-15.0170165353932	-19.5616198473859
HEB24081	-4.76622592541788	-0.0600290703983125	-10.1827112666393	-10.1852534612018	-10.7400013488759	-12.6045379315808	-11.864852836061	-9.63723009464823	-15.8730267675067	-18.332458386144
HEB24084	-1.01853966143222	-0.999035531063317	-9.68987702596491	-10.8287751317866	-10.4369450236691	-11.9683264841854	-12.1869667706607	-8.34170483182702	-16.1609715621278	-16.9683264841854
HEB24093	-2.72019692524183	-0.243022870152311	-10.0845692472605	-11.0519645818286	-10.3759090223145	-12.1095156043908	-12.1782283544748	-10.5932658537536	-14.8353406409518	-17.5357803590929
HEB24097	-1.24530803023249	-0.818634087446026	-6.75716265458154	-11.1424982575529	-10.7543023704927	-12.3041366478103	-12.5290100586505	-10.7747664730525	-17.8705934942268	-19.5616198473859
HEB24098	-2.32536965486477	-0.334110950677567	-9.05987789515068	-9.17974836765493	-10.052100544559	-12.3058571368047	-11.7332783605394	-8.8650411963348	-15.1318277370297	-19.5616198473859
HEB24099	-1.04588371499097	-1.23628823552422	-3.52180504413475	-10.4178366693653	-10.9860373794022	-12.6669689386541	-11.9789129449689	-8.65414489829654	-16.0592863614329	-18.0592863614329
HEB24100	-1.20674753130758	-0.831928836598702	-9.94351258356374	-10.3380444274079	-10.3458217779997	-12.4848858157372	-12.2333470487412	-8.96581125067252	-14.9703126429075	-16.877203238516
HEB24105	-4.70566449426773	-0.0626528401611785	-10.0099134219203	-10.3118037635711	-10.0752671599144	-12.096535776668	-12.0132802730187	-9.96684470002838	-15.4328191645324	-19.5616198473859
HEB24110	-3.24835392668733	-0.1673756417726	-9.72862750412212	-9.53467243331674	-9.9650676999442	-12.2600744955163	-11.87876785355	-11.7798528274773	-15.4544525406831	-18.1548922588242
HEB24111	-0.900460671355801	-1.1217941469572	-9.24496127875764	-10.2555047729991	-10.4885183100921	-12.8439989646905	-12.0125985686663	-9.69784212918115	-15.7615368044985	-19.5616198473859
HEB24113	-2.47449910893806	-0.293380149942901	-9.68140729006527	-10.186110218871	-10.0392688305417	-12.186110218871	-11.6715370460412	-10.9371969212818	-15.2829717581236	-19.5616198473859
HEB24120	-0.914145452515035	-1.16531968415368	-5.61067849340777	-10.3879053106384	-10.7389797511853	-12.0560090466598	-11.8833696605205	-9.74882753714163	-16.131297173964	-17.9386520960217
HEB24123	-5.24345206562523	-0.0472880734175505	-9.61603124812615	-9.22660980617869	-9.8254846137551	-11.88106196165	-11.5272355153372	-9.7459378145376	-15.2073552490987	-16.9298212735698
HEB24129	-1.34427511875554	-0.734609245035563	-8.40000459720297	-11.1842759061475	-10.8423018690584	-12.4086486916122	-11.7781715316387	-10.3948428920872	-15.939163408311	-17.5241259090322
HEB24130	-0.998788926113875	-1.01202563736653	-10.4584584568358	-10.7279914999684	-10.7214928626696	-12.4638719530222	-11.9877729280071	-9.48298077596991	-15.8187146703823	-19.5616198473859
HEB24131	-0.888129045365845	-1.1301291559389	-10.499681533581	-10.4775425563117	-10.8659746990084	-12.4557381859934	-12.2416133806405	-11.0015622928076	-16.514631875047	-19.5616198473859
HEB24132	-1.29532681549046	-0.761794575118704	-10.3173716167393	-10.7620799826944	-10.7214379981971	-12.6783692763052	-12.2215116013317	-11.0934067755841	-15.8913629996394	-17.3507946182767
HEB24133	-1.51957095865221	-0.629034221241848	-9.4776881463912	-10.5409530398492	-10.6228300469036	-11.979395143463	-12.1973001738071	-9.46583356004542	-15.7208621298642	-19.5616198473859
