feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes	Weight_g	Weight_g	0.184651706036239	0.0435627155286983	72	72	0.000186917721051494	0.00560753163154481
k__Bacteria.p__Bacteroidetes	Weight_g	Weight_g	-0.415465584422687	0.130659976451223	72	72	0.00323503441065207	0.0378384791810324
k__Bacteria.p__Verrucomicrobia	Weight_g	Weight_g	-0.472396552609362	0.157470001353457	72	72	0.00378384791810324	0.0378384791810324
k__Bacteria.p__Verrucomicrobia	Hormone	PL	1.3118786059207	0.650213943682504	72	72	0.0626005396569283	0.278961991081754
k__Bacteria.p__Proteobacteria	Weight_g	Weight_g	0.0714772576984042	0.0344339938039497	72	72	0.0496229910741763	0.278961991081754
k__Bacteria.p__Cyanobacteria	Weight_g	Weight_g	0.0695699097123827	0.0319139358808839	72	72	0.0394675195978586	0.278961991081754
k__Bacteria.p__Deferribacteres	Weight_g	Weight_g	0.13526554326215	0.0700316405227915	72	70	0.0650911312524092	0.278961991081754
k__Bacteria.__	Hormone	PL	0.382716484707276	0.234272303265743	72	72	0.123851216378676	0.464442061420034
k__Bacteria.p__Actinobacteria	Weight_g	Weight_g	0.0550174491029422	0.0373779995937965	72	72	0.153965553716821	0.513218512389405
k__Bacteria.__	Hormone	PGH	0.323851515350296	0.23609752834136	72	72	0.190687010321225	0.572061030963676
k__Bacteria.p__Firmicutes	Hormone	PGH	0.163548405654292	0.128918395330388	72	72	0.230836760897728	0.629554802448349
k__Bacteria.p__Actinobacteria	Hormone	PL	0.103219594377378	0.0901372339649232	72	72	0.270906209604904	0.67726552401226
k__Bacteria.p__Tenericutes	Hormone	PGH	0.380042233423743	0.350322609478813	72	72	0.295383090858386	0.681653286596276
k__Bacteria.p__Bacteroidetes	Hormone	PGH	-0.323105596157919	0.357556377547427	72	72	0.383089297671039	0.744057142301174
k__Bacteria.p__Tenericutes	Hormone	PL	0.302457313355581	0.346463554533337	72	72	0.396830475893959	0.744057142301174
Unassigned.__	Hormone	PL	0.296937646161714	0.32224420616353	72	35	0.360213255379681	0.744057142301174
k__Bacteria.p__Proteobacteria	Hormone	PGH	0.0584007496424345	0.0823385299708584	72	72	0.489382674375097	0.772709485855417
k__Bacteria.p__Deferribacteres	Hormone	PL	-0.126853933131892	0.169433188118515	72	70	0.466122966698829	0.772709485855417
Unassigned.__	Hormone	PGH	0.246661270338782	0.326565332713585	72	35	0.452782660289293	0.772709485855417
k__Bacteria.p__Tenericutes	Weight_g	Weight_g	0.0805273652490966	0.136463107745124	72	72	0.55983827818723	0.810209522242613
Unassigned.__	Weight_g	Weight_g	-0.080137544423973	0.139342026735918	72	35	0.567146665569829	0.810209522242613
k__Bacteria.p__Verrucomicrobia	Hormone	PGH	0.199411047653706	0.652961475613358	72	72	0.764366910092139	0.881275001001321
k__Bacteria.__	Weight_g	Weight_g	0.0231528807373713	0.0771086252420194	72	72	0.765312646782788	0.881275001001321
k__Bacteria.p__Proteobacteria	Hormone	PL	0.0217173118105621	0.0812922212738315	72	72	0.793147500901189	0.881275001001321
k__Bacteria.p__Cyanobacteria	Hormone	PGH	0.0259563417041643	0.0776848360445873	72	72	0.743077956955026	0.881275001001321
k__Bacteria.p__Cyanobacteria	Hormone	PL	-0.0235330193219698	0.0767324461085535	72	72	0.763497463720775	0.881275001001321
k__Bacteria.p__Actinobacteria	Hormone	PGH	0.0250405672813995	0.0912494182396314	72	72	0.787631894307202	0.881275001001321
k__Bacteria.p__Bacteroidetes	Hormone	PL	0.045268542294698	0.354092445359941	72	72	0.900317350133053	0.900317350133053
k__Bacteria.p__Firmicutes	Hormone	PL	-0.0212723603750376	0.127851218899148	72	72	0.870935977028794	0.900317350133053
k__Bacteria.p__Deferribacteres	Hormone	PGH	0.0218693830532975	0.171510282295004	72	70	0.900283512379735	0.900317350133053
