SampleID	k__Bacteria	Unassigned	k__Archaea
HEB24001	289062	0	0
HEB24002	371172	0	0
HEB24003	289750	0	0
HEB24004	398767	0	0
HEB24005	468078	4	0
HEB24006	402603	4	0
HEB24007	402673	5	0
HEB24008	488316	3	0
HEB24009	720402	74	0
HEB24010	562058	0	0
HEB24011	499341	4	0
HEB24012	533215	11	0
HEB24013	720389	1571	64
HEB24014	375840	0	0
HEB24015	812708	11	0
HEB24016	547959	6	0
HEB24017	538019	4	0
HEB24018	767223	869	95
HEB24019	573701	1001	50
HEB24020	501529	0	0
HEB24021	512143	0	0
HEB24022	709750	15	2
HEB24023	533621	7	2
HEB24024	785997	3173	564
HEB24025	426674	0	0
HEB24026	774032	12	0
HEB24027	598232	0	0
HEB24028	542758	0	0
HEB24029	526979	0	0
HEB24030	423974	0	0
HEB24031	640040	0	0
HEB24032	541001	0	0
HEB24033	474484	0	0
HEB24034	641669	0	0
HEB24035	577955	6	2
HEB24036	691539	1343	130
HEB24037	501119	5	0
HEB24038	533344	0	0
HEB24039	655643	24	0
HEB24040	1156888	5	0
HEB24041	485600	0	0
HEB24042	549846	0	0
HEB24043	506025	0	0
HEB24044	566579	4	0
HEB24045	471071	4	0
HEB24046	593189	1895	21
HEB24047	674646	11	0
HEB24048	656757	833	73
HEB24049	932513	2333	533
HEB24050	761241	1819	253
HEB24051	705500	2040	97
HEB24052	752091	2482	24
HEB24053	818412	1328	269
HEB24054	787350	1849	183
HEB24055	442983	0	0
HEB24056	663578	0	0
HEB24057	564934	5	0
HEB24058	528129	3	0
HEB24059	364472	0	0
HEB24060	822300	3	0
HEB24061	851028	0	0
HEB24062	889697	2572	69
HEB24063	748635	77	7
HEB24064	921082	3975	444
HEB24065	704897	0	0
HEB24066	754252	4	0
HEB24067	610157	0	0
HEB24068	632392	6	0
HEB24069	757413	0	0
HEB24070	633257	3	0
HEB24071	464195	0	0
HEB24072	561238	285	71
HEB24073	754843	781	602
HEB24074	868730	2352	123
HEB24075	726188	1523	60
HEB24076	1047690	3162	156
HEB24077	815135	1942	243
HEB24078	1003397	2515	72
HEB24079	621519	1825	42
HEB24080	307690	989	10
HEB24081	660159	2	0
HEB24082	684723	26	0
HEB24083	797889	175	6
HEB24084	512899	4	0
HEB24085	587450	3	0
HEB24086	643076	18	0
HEB24087	578331	0	0
HEB24088	422111	0	0
HEB24089	437884	3	0
HEB24090	502992	4	0
HEB24091	1477559	895	60
HEB24092	865627	27	3
HEB24093	380035	2	0
HEB24094	467751	0	0
HEB24095	806196	685	30
HEB24096	756649	0	0
HEB24097	490553	0	0
HEB24098	394936	0	0
HEB24099	819420	3	0
HEB24100	481505	4	0
HEB24101	763819	1713	141
HEB24102	667627	1022	48
HEB24103	553773	1093	50
HEB24104	706872	1538	0
HEB24105	442325	0	0
HEB24106	598120	0	0
HEB24107	487579	0	0
HEB24108	729772	85	5
HEB24109	490335	0	0
HEB24110	583708	2	0
HEB24111	499963	0	0
HEB24112	885219	3368	97
HEB24113	358819	0	0
HEB24114	589260	44	0
HEB24115	829424	1482	174
HEB24116	710480	1739	61
HEB24117	649322	42	0
HEB24118	629293	1204	87
HEB24119	534287	15	0
HEB24120	502459	2	0
HEB24121	697795	0	0
HEB24122	775180	5	0
HEB24123	1248477	10	0
HEB24124	585840	171	20
HEB24125	623348	0	0
HEB24126	598901	38	0
HEB24127	466835	0	2
HEB24128	804354	1497	1691
HEB24129	565466	3	0
HEB24130	751365	0	0
HEB24131	561760	0	0
HEB24132	668601	4	0
HEB24133	432057	0	0
HEB24134	605655	0	0
HEB24135	527831	0	0
HEB24136	633566	3	0
HEB24137	556628	3	4
HEB24138	656463	0	0
HEB24139	601570	3	0
HEB24140	718960	0	0
HEB24141	468099	3	0
HEB24142	528161	0	0
HEB24143	359481	0	0
HEB24144	387077	0	0
HEB24145	2017548	3494	303
HEB24146	2785800	5835	1226
HEB24147	1947215	2456	1269
HEB24148	2344276	3422	1035
HEB24149	1818067	7947	385
HEB24150	1891217	5015	830
HEB24151	1950655	6176	640
HEB24152	1946749	5393	1105
HEB24153	1849219	4609	1874
HEB24154	1222773	2077	34
HEB24155	1174393	1937	15
HEB24156	1508524	172	11
HEB24157	1452308	1697	336
HEB24158	1800841	1426	157
HEB24159	1251713	457	131
HEB24160	1027630	650	60
HEB24161	3557392	6598	2139
HEB24162	1250362	1946	259
HEB24163	1160712	3	0
HEB24164	1265441	5	0
HEB24165	963531	8	0
HEB24166	1145578	10	0
HEB24167	1105353	7	0
HEB24168	971678	6	0
HEB24169	1335670	4	0
HEB24170	1347733	10	0
HEB24171	1014684	7	0
HEB24172	1361003	13	0
HEB24173	1251365	9	0
HEB24174	1499896	5	0
HEB24175	1165041	0	0
HEB24176	894135	6	0
HEB24177	1028205	0	0
HEB24178	1354345	18	0
HEB24179	1518668	9	0
HEB24180	1223568	11	0
HEB24181	1680200	3140	109
HEB24182	1667024	1969	644
HEB24183	1609862	4882	223
HEB24184	1767444	4259	1194
HEB24185	914716	2938	397
HEB24186	1552818	802	115
HEB24187	1211475	3573	162
HEB24188	1725549	3804	485
HEB24189	1842916	3879	626
HEB24190	1971861	6801	609
HEB24191	1303675	2067	99
HEB24192	1446905	2099	91
HEB24193	1325421	9189	965
HEB24194	1821199	3795	250
HEB24195	2197586	2830	256
HEB24196	2082799	8563	269
HEB24197	1662148	2709	189
HEB24198	1958378	6013	1012
