SampleID	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Firmicutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;__	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Tenericutes	k__Bacteria;p__Deferribacteres	Unassigned;__	k__Archaea;p__Euryarchaeota	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Spirochaetes	k__Bacteria;p__[Thermi]
HEB24001	100421	186716	791	192	222	59	50	607	4	0	0	0	0	0
HEB24002	162208	206529	1523	205	224	60	63	353	7	0	0	0	0	0
HEB24003	136027	152340	406	163	194	68	52	493	7	0	0	0	0	0
HEB24004	85961	309725	1500	350	320	71	74	761	5	0	0	0	0	0
HEB24005	90306	375142	494	383	405	122	110	1102	14	4	0	0	0	0
HEB24006	137927	263255	388	223	248	81	90	379	12	4	0	0	0	0
HEB24007	150220	250275	691	340	292	82	100	658	15	5	0	0	0	0
HEB24008	195651	290723	314	231	264	75	70	988	0	3	0	0	0	0
HEB24009	2633	700895	418	5625	6017	1941	1686	1177	7	74	0	0	0	3
HEB24010	63319	495782	541	370	404	115	130	1386	11	0	0	0	0	0
HEB24011	203850	294203	353	186	239	88	104	315	3	4	0	0	0	0
HEB24012	3583	518276	550	9062	787	457	247	235	18	11	0	0	0	0
HEB24013	2811	531567	548	92513	24843	54963	13010	126	8	1571	64	0	0	0
HEB24014	41317	332789	345	220	297	54	84	724	10	0	0	0	0	0
HEB24015	3920	802200	728	3217	1233	624	515	255	16	11	0	0	0	0
HEB24016	86428	458319	627	392	410	108	153	1514	8	6	0	0	0	0
HEB24017	91987	443925	455	405	360	96	110	669	12	4	0	0	0	0
HEB24018	2966	370246	341	77633	150455	159073	6388	26	6	869	95	0	11	78
HEB24019	1818	208106	241	30741	159740	157722	15283	8	7	1001	50	0	0	35
HEB24020	191209	307912	450	272	351	92	141	1090	12	0	0	0	0	0
HEB24021	197734	311110	1186	387	350	86	114	1165	11	0	0	0	0	0
HEB24022	3389	695804	521	7144	1547	540	467	329	9	15	2	0	0	0
HEB24023	20075	511028	689	619	506	113	152	421	18	7	2	0	0	0
HEB24024	3811	551500	495	110331	25506	68486	25746	17	9	3173	564	0	0	96
HEB24025	150453	274093	1209	179	254	78	100	298	10	0	0	0	0	0
HEB24026	3125	755758	540	2971	7895	2278	427	1029	9	12	0	0	0	0
HEB24027	360478	235747	441	251	302	97	100	806	10	0	0	0	0	0
HEB24028	261473	278778	508	193	314	97	90	1294	11	0	0	0	0	0
HEB24029	168220	346258	7438	247	284	91	97	4333	11	0	0	0	0	0
HEB24030	167338	255453	336	192	256	70	81	241	7	0	0	0	0	0
HEB24031	287765	350530	480	377	328	116	137	294	13	0	0	0	0	0
HEB24032	118265	420105	427	392	376	122	131	1172	11	0	0	0	0	0
HEB24033	171575	300867	708	248	363	90	85	541	7	0	0	0	0	0
HEB24034	383474	254290	1321	334	389	147	105	1602	7	0	0	0	0	0
HEB24035	3543	572368	530	529	507	186	186	92	14	6	2	0	0	0
HEB24036	60864	400864	422	51855	49465	107604	19464	890	8	1343	130	15	0	88
HEB24037	169196	330276	488	370	336	111	111	218	13	5	0	0	0	0
HEB24038	196523	333926	434	357	304	92	112	1586	10	0	0	0	0	0
HEB24039	209357	392939	396	927	24085	25648	424	1858	9	24	0	0	0	0
HEB24040	98010	1054381	1194	972	739	206	308	1060	18	5	0	0	0	0
HEB24041	246841	235894	489	408	343	107	143	1365	10	0	0	0	0	0
HEB24042	278922	267841	1349	406	357	126	107	726	12	0	0	0	0	0
HEB24043	147492	356318	487	501	391	87	147	592	10	0	0	0	0	0
HEB24044	234629	330108	517	368	426	103	159	260	9	4	0	0	0	0
HEB24045	175555	293527	405	199	320	98	89	872	6	4	0	0	0	0
HEB24046	3793	402875	314	114758	16114	47772	7516	36	11	1895	21	0	0	0
HEB24047	2504	668928	369	781	729	287	584	455	9	11	0	0	0	0
HEB24048	5508	429483	353	42024	66362	103670	9197	105	8	833	73	0	0	47
HEB24049	9405	494897	432	117424	90537	192191	27568	59	0	2333	533	0	0	0
HEB24050	7010	551359	325	161119	10564	21311	9523	24	6	1819	253	0	0	0
HEB24051	10914	485413	621	105165	28791	51072	23174	283	43	2040	97	6	18	0
HEB24052	5459	450034	419	144845	26939	113151	11208	36	0	2482	24	0	0	0
HEB24053	9887	528221	458	146219	34106	87196	12127	125	11	1328	269	0	0	62
HEB24054	7807	450507	348	183907	25524	79291	39928	33	5	1849	183	0	0	0
HEB24055	131217	310042	494	211	393	101	117	398	10	0	0	0	0	0
HEB24056	189312	471538	802	305	553	165	188	697	18	0	0	0	0	0
HEB24057	151180	411613	638	450	469	132	147	293	12	5	0	0	0	0
HEB24058	151712	371954	507	352	350	113	97	3037	7	3	0	0	0	0
HEB24059	164277	197771	381	202	277	114	86	1355	9	0	0	0	0	0
HEB24060	286861	524180	2792	1052	603	170	287	6332	23	3	0	0	0	0
HEB24061	366227	482430	609	719	424	113	156	338	12	0	0	0	0	0
HEB24062	7820	430044	574	46121	172753	220793	11417	74	13	2572	69	0	0	88
HEB24063	5066	700417	475	6665	17042	17285	1609	64	9	77	7	0	0	3
HEB24064	11027	595860	926	100481	61793	116382	34417	12	9	3975	444	158	17	0
